Herr Präsident! Das Tempo der Konjunktur in der EU lässt merklich nach.	Mr President, there has been a marked slowdown in the rate of growth in the EU economy.
Die Wachstumsprognosen wurden von der Kommission und vom IWF von über 3% auf 2,8% korrigiert.	The Commission and the IMF have revised growth forecasts from above 3% to 2.8%.
Die Inflationsrate überschritt um 0,3 die zulässige 2%-Grenze.	The rate of inflation is 0.3 of a percentage point above the 2% ceiling.
Die Gründe dafür sind bekannt.	We all know why this is.
Explodierende Erdölpreise, Agrarprobleme, Abwertung des Euro.	Exploding oil prices, agricultural problems, the depreciation in the euro.
Speziell unsere exportorientierten Mitgliedstaaten sind betroffen von der harten Bauchlandung der Konjunktur in den USA.	Our export-orientated Member States in particular have been hit by the hard landing in the US economy.
Im Initiativbericht des Kollegen Katiforis, der durch zahlreiche Änderungsanträge der EVP-Fraktion an Präzision gewonnen hat, wird die Bedeutung der Kontrolle der Stabilitäts- und Konvergenzprogramme für die wirtschaftliche Zusammenarbeit in Europa herausgestellt.	The own initiative report by Mr Katiforis, which has been clarified as the result of numerous amendments proposed by the PPE-DE Group, underlines the importance of controls on stability and convergence programmes to economic collaboration in Europe.
Einen Anlass für Passivität, Herr Herzog hat davon gesprochen, gibt es überhaupt nicht.	There is absolutely no cause for the passivity which Mr Herzog referred to.
Der Abbau der Staatsverschuldung muss nach wie vor höchste Priorität haben.	Reducing government debt must continue to be our top priority.
Doch es muss auch gezielt in Informationsnetze, in Technologie, Forschung und Entwicklung investiert werden.	We also need, however, targeted investments in information networks, technology and research and development.
Auf diese Weise nähern wir uns dem sehr ehrgeizigen Ziel von Lissabon, dass wir die wettbewerbsfähigste, dynamischste auf Wissen basierte Wirtschaft in Europa werden sollen.	This will bring us closer to the very ambitious objective set in Lisbon of making Europe the most competitive, dynamic, knowledge-based economy.
Vor allem müssen wir konsequent umsteuern zugunsten von Bildung und Ausbildung.	Most importantly, we must redirect our efforts towards education and training.
Life long learning ist mir viel zu oft Floskel und viel zu wenig Notwendigkeit, in Lehr- und Lernplänen fehlt das Ganze.	For me, lifelong learning is far too often a set phrase and far too seldom a requirement, conspicuous by its absence from curricula and syllabuses.
Über Stabilität des Euro haben meine Kollegen von Wogau und Karas schon gesprochen und unterstützt, wie wichtig die ruhige Hand der EZB - auch Wim Duisenbergs - war; der Euro bleibt stabil, allen politischen Forderungen unterschiedlicher Lager zum Trotz.	Mr von Wogau and Mr Karas have already spoken about the stability of the euro and agreed how important the steady hand of the ECB - and Wim Duisenberg - was; the euro has remained stable, all the political demands of the various camps notwithstanding.
Mir geht es um die Stabilität der Struktur.	What I am interested in is structural stability.
In der Wirtschafts- und Sozialpolitik sollen unsere Mitgliedstaaten von bench marking-Verfahren und vom Austausch der besten Praktiken profitieren.	Our Member States should make use, in their economic and social policy, of benchmarking procedures and exchanges of best practices.
Das Gegenteil aber davon - nämlich schlechte Praktiken - wird derzeit in meinem Land geliefert.	However, it is the opposite of this - namely poor practices - which my country is currently delivering.
Deutschland ist Schlusslicht beim Wachstum im Euro-Land mit nicht einmal 2,2%.	Germany is bringing up the rear when it comes to growth in the euro zone at under 2.2%.
Die Zeit des Schönfärbens, des Hinweglächelns von Problemen durch Kanzler Schröder ist endlich zu Ende!	Chancellor Schröder' s days of talking it up and laughing it off are finally at an end!
Angesichts ausbleibender Beschäftigungserfolge unter anderem, weil Programme nicht effektiv genug sind, versucht er, von eigenen Fehlern abzulenken, diffamiert Arbeitslose generell als Faulenzer.	Faced with a lack of success with employment, one reason being that the programmes are not effective enough, he is trying to deflect attention from his own mistakes by slagging off the unemployed in general as good-for-nothings.
Wer versucht, die zweifellos vorhandenen Sozialschmarotzer und Arbeitsunwilligen in einen Topf mit all den Hunderttausenden zu werfen, die sich seit Jahren verzweifelt darum bemühen, arbeiten zu können, der macht Opfer zu Tätern, und das ist absolut verantwortungslos!	Anyone who tries to lump social spongers and shirkers - and they undoubtedly exist - together with the hundreds of thousands who have been desperately looking for work for years is making criminals out of victims and that is totally irresponsible.
Das Beispiel zeigt: Durch stärkere Vernetzung der Daten, der Informationen wissen wir sehr wohl, welche Versäumnisse es in einzelnen Mitgliedstaaten gibt.	This example shows that, with better data networking, we know full well where the shortcomings lie in each Member State.
Sie werden nicht mehr unter den Teppich gekehrt, sie gehören ins Scheinwerferlicht der europäischen Öffentlichkeit.	They can no longer be swept under the carpet, they are in the spotlight of European public opinion.
In keinem Land der EU geht es ohne Haushaltsdisziplin, ohne nachhaltigen Abbau von Schulden, ohne substantielle Strukturreformen, denn die Ziele lohnen sich - Wettbewerbsfähigkeit und Stabilität!	No country in the EU will get on without budgetary discipline, without permanently reducing debts or without substantial structural reforms and the aims - competitiveness and stability - are well worth it.
