Frau Präsidentin, ich möchte vor allem einmal Herrn Elchlepp gratulieren.	Madam President, I would like first and foremost to congratulate Mr Elchlepp.
Ich bin jetzt zwanzig Jahre im Parlament, und es hat nicht häufig so gute Berichte gegeben wie die, die er geschrieben hat.	I have been in Parliament for 20 years now and rarely has there been such a good report as the one he has written.
Danke vielmals dafür.	Many thanks.
Beifall	Applause
Ich möchte dieses Thema allerdings etwas ausweiten auf ein Gebiet, das mir besonders naheliegt.	However, I would like to broaden the subject somewhat to include an area which lies particularly close to my heart.
Wir haben ja einen gewaltigen Markt für erneuerbare Energie gerade vor unserer Türe, nämlich in den Ländern Mittel- und Osteuropas.	We have a massive market for renewable energies on our very doorstep, that is, in the countries of Central and Eastern Europe.
Ich möchte die Länder als Beispiel anführen, in denen ich mich häufig aufhalte: Ungarn, Kroatien, die Tschechische Republik und Litauen.	I should like to cite as examples the countries which I frequently visit: Hungary, Croatia, the Czech Republic and Lithuania.
In all diesen Gebieten ist noch ungeheuer viel zu tun.	In all these regions there is still a tremendous amount of work to be done.
Hier, Herr Elchlepp, möchte ich einen Punkt zu Ihrem ausgezeichneten Bericht hinzufügen.	In this regard, Mr Elchlepp, I should like to add one point to your excellent report.
Die Menschen dort wissen noch nicht genug über die erneuerbaren Energien.	The people in these countries do not yet know enough about renewable energies.
Sie müssen informiert werden, und die Regierungen müssen informiert werden, denn wir haben es in diesen Ländern mit gewissen großen wirtschaftlichen Interessen zu tun, die kein Interesse an der Nutzung erneuerbarer Energien haben und die daher alles tun, um das zu ersticken.	They must be informed and the governments must be informed, because we are dealing here in with certain large commercial concerns which have no interest whatsoever in the use of renewable energies and will therefore do everything they possibly can to stifle it.
Ich möchte Sie bitten, dafür zu sorgen, daß diese Länder informiert werden, einschließlich der Regierungen, die auch zu wenig davon wissen.	I should therefore like to ask you to ensure that both the people of these countries, and their governments, who also do not know enough, are informed.
Das gilt beispielsweise für zwei Punkte.	In this context, two points are of particular relevance.
Man darf nicht vergessen, daß bereits unter dem russischen Regime auf allen Gebieten ungeheure Umweltsünden begangen wurden, aber daß jetzt in diesen Ländern die Umwelt schwer belastet wird durch die Braunkohle.	It must not be forgotten that under the Russian regime many dreadful sins were committed against the environment, but now in these countries the environment is being severely damaged by lignite.
Der massive Einsatz von Braunkohle, das sehe ich zum Beispiel besonders in Ungarn in der Gegend von Obosar ist zu ersetzen durch solche Energiequellen, die keine so schweren Umweltschäden anrichten.	The massive utilisation of lignite, which I see especially in Hungary, for example, in the region of Obosar, must be replaced by energy sources which have no such harmful impact on the environment.
Das ist eine Aufgabe, die uns gestellt ist, denn wir können hier sehr viel ausrichten.	This is a task which it behoves us to carry out because we can achieve so much in this field.
Wir können diesen Ländern sehr viel geben, und wir sollten es ihnen geben, denn dort kann man bei Null anfangen und in eine gute Richtung gehen.	We can and should give these countries a great deal, because in these countries we can start from scratch and carve out the correct path.
Beifall	Applause
