Frau Präsidentin, ich habe gegen die Entschließung gestimmt.	Madam President, I voted against the resolution.
Ich hätte erwartet, daß das Europäische Parlament ein sehr viel deutlicheres Zeichen setzt, daß in der Europäischen Union der Verbraucherund der Gesundheitsschutz nicht den Wirtschaftsinteressen nachgeordnet werden.	I should have expected the European Parliament to signal far more clearly that consumer protection and public health are not subordinated to economic interests in the European Union.
Die Entscheidung der Kommission ist eine Verhöhnung des Verbraucher- und Gesundheitschutzes.	The decision taken by the Commission makes a mockery of consumer protection and public health.
Gerade dann das Exportverbot zu lockern, wenn immer mehr Fälle von Creutzfeldt-Jakob-Krankheiten deutlich werden, macht deutlich, daß das nur als blanker Zynismus gewertet werden kann.	The relaxation of the export ban at a time when more and more cases of Creutzfeldt-Jakob disease are coming to light can only lead one to conclude that such a decision is based on sheer cynicism.
Offensichtlich gehen die Kommission, der Rat, aber auch zunehmend das Europäische Parlament vor dem Erpressungsmanöver der britischen Regierung in die Knie.	The Commission, the Council and even, to an increasing extent, the European Parliament are buckling under the blackmail tactics of the British Government.
Es ist zu befürchten, daß die Entscheidung der Kommission eine Türöffnerfunktion für die völlige Aufhebung des Exportverbots hat.	It is to be feared that the Commission's decision will pave the way for the complete lifting of the export ban.
Ich denke, es ist eine völlig falsche Entscheidung, denn der Verbraucher- und Gesundheitsschutz muß Vorrang haben.	I believe it is a totally misguided decision, because consumer protection and public health must take priority.
Es muß auch um einen vorbeugenden Gesundheitsschutz gehen.	We must practise preventive health care.
So lange Schäden wissenschaftlich nicht auszuschließen sind, muß es hier darum gehen, ein Exportverbot aufrechtzuerhalten.	As long as scientists cannot rule out a health risk, we must try to have the export ban maintained.
Das hätte unsere Funktion sein müssen.	That should have been our aim.
Ich denke, die Entscheidung der Kommission tritt den Verbraucher- und Gesundheitsschutz in der Europäischen Union mit Füßen.	I believe that this decision taken by the Commission shows total disregard for consumer protection and public health in the European Union.
Von daher bedaure ich es, daß wir hier nicht eine weitergehende Entschließung beschlossen haben.	That is why I regret that we did not adopt a more radical resolution.
