Frau Präsidentin! Das Ergebnis von Kyoto war enttäuschend.	Madam President, the outcome of the Kyoto Conference was disappointing.
Das Klimaabkommen ist nichts Halbes und nichts Ganzes.	The climate agreement is neither one thing nor another.
Es trägt nicht dazu bei, daß die globale Erwärmung verhindert wird, sie wird höchstens verlangsamt, und wir müssen davon ausgehen, daß die Emissionen höchstens um 5 % gesenkt werden, obwohl wir wissen, daß eine Reduzierung von 60 % bis 80 % in den Industrieländern notwendig wäre.	It will not prevent global warming, at best it will only slow it down, and we must assume that emissions will be reduced at most by 5 %, though we know that a reduction of between 60 % and 80 % is required in the industrialized nations.
Von daher sind wir sehr enttäuscht, daß die EU ihre Position von 15 % Reduzierung aufgegeben hat, und auch hier erwarten wir eine klare Aussage von Ihnen, Frau Kommissarin, ob Sie bereit sind, jetzt auch eine Vorreiterrolle zu übernehmen und es künftig bei diesen 15 % zu belassen.	We are very disappointed that the EU abandoned its position on a 15 % reduction and in this respect we await a clear statement from you, Madam Commissioner, on whether or not you are now prepared to take the lead here and stick with 15 % in the future.
Es ist unverständlich, warum Sie sich haben herunterhandeln lassen, warum Sie sich dem Wettbewerbsgejammere der Industrie gebeugt haben, anstatt die dringende Lösung der Klimaprobleme in Angriff zu nehmen.	It is incomprehensible that you allowed yourself to be beaten down on this issue, that you gave in to industry's moaning about competitive advantage, instead of seriously tackling the issue of how to solve our climate problems.
Die globale Erwärmung ist zu wichtig, als daß wir es bei diesen Trippelschritten bewenden lassen können.	Global warming is too important an issue to be dealt with at such a toddling pace.
Wir erwarten, daß Sie jetzt endlich Taten folgen lassen, denn wir alle wissen, es ist nicht so wichtig, was auf der Gipfelhöhe geredet wird, sondern was in den Tiefen des Alltags getan wird.	We now expect you to take real steps here, since we all know that it is not the summit debate itself which is important, but rather the actions which are taken as part of our everyday affairs.
Wenn Sie jetzt weiterhin die Klimawende vor sich herschieben, wenn Sie nicht dazu bereit sind, jetzt eine klimafreundliche Energieversorgung, die Einführung der Ökosteuer oder auch die Beruhigung des Straßenverkehrs anzugehen, dann machen Sie aller Welt deutlich, daß Sie in Kyoto nur Theater gespielt haben und daß es der EU nicht darauf ankommt, hier endlich eine Wende einzuleiten.	If you continue to procrastinate on this issue, if you are not prepared to contemplate an environmentally-friendly energy policy, the introduction of an eco-tax and even the reduction of road traffic levels, then you are demonstrating to the whole world that you were only play-acting at Kyoto and that the EU is not really serious about tackling the environmental issue.
Von daher ist unser Plädoyer, schon jetzt Buenos Aires vorzubereiten, die 15 % weiterhin zu verfolgen und endlich eine klimafreundliche Energie- und Umweltpolitik einzuleiten.	In preparation for Buenos Aires we are therefore pleading for the 15 % reduction and for the ultimate introduction of an environmentally-friendly energy and environment policy.
Dazu, Frau Kommissarin, haben Sie herzlich wenig getan, denn wo sind jetzt die Instrumente, um dieses Reduktionsziel zu erreichen?	You have done seriously little to bring this about, Madam Commissioner, for where are the instruments needed to achieve this reduction target?
Genau das muß auf der Tagesordnung stehen, und nicht diplomatische Rhetorik, sondern endlich Taten.	This is what should be on the agenda, the means for real action, and not merely diplomatic rhetoric.
