Herr Präsident! Die Realität ist aber oft anders als der Schein, Herr Kollege Harbour.	– Mr President, I have to tell Mr Harbour that appearance and reality are often not the same.
Ich möchte vor allem den Mitarbeiterinnen und Mitarbeitern der verschiedenen Ministerien danken, die ungeheure Arbeit geleistet haben und wirklich sehr viel vorangebracht haben.	I wish to thank, above all, the staff of the various ministries, who have done an extraordinary amount of work and really have made a great deal of progress possible.
Ich hoffe, die besten Leute können Sie nicht nur behalten, sondern auch zusätzlich engagieren.	I hope that you will be able not only to keep the best of them, but also to find more for them to do.
Herr Bundeskanzler, ich habe Sie in meiner ersten Rede auf die Minderheitenfrage in Kärnten angesprochen. Das ist ein europäisches Problem.	In my first speech, Mr Federal Chancellor, I raised with you the issue of minorities in Carinthia, which is a European problem, and I am much obliged to you for coming up with a proposal that constitutes a considerable step forward.
Ich bin sehr dankbar, dass Sie einen Vorschlag gemacht haben, der einen wesentlichen Schritt nach vorne bedeutet. Ich hoffe, dass er auch umgesetzt werden kann und dass letztendlich alle — auch in diesem Bundesland an der Grenze zu Slowenien — anerkennen, dass Mehrsprachigkeit und Vielfalt in Europa ein Trumpf sind und kein Nachteil.	I hope that it will also be possible to put this proposal into effect, and that eventually everyone – not least those who live in this province on the border with Slovenia – will recognise that, in Europe, multilingualism and diversity are winners rather than hindrances.
Diese Mehrsprachigkeit und diese Vielfältigkeit, die wir in Europa haben und die wir fördern müssen, steht nicht im Gegensatz dazu, dass die Verfassung und der Verfassungsprozess vorangetrieben werden müssen.	There is no contradiction between the need for us to promote this multilingualism and this diversity in Europe and the need to make progress with the Constitution and move the constitutional process forward.
Ich bin sehr froh, dass es auch ein klares Bekenntnis dazu gibt.	I am very glad that a firm commitment has been made to this.
Ich trete für die Erweiterung ein, aber wenn wir weitere Erweiterungsschritte unternehmen wollen und wenn einige heute schon so tun, als ob die Ukraine in den nächsten Jahren Mitglied in der Europäischen Union sein wird, dann muss auch dafür gesorgt werden, dass Europa erweiterungsfähig wird.	I am all in favour of enlargement, but if we are to take it further – and there are those who are already, today, acting as if Ukraine is going to be a Member State of the European Union within the next few years – then it also has to be ensured that Europe is capable of sustaining such an enlargement.
Gerade diejenigen, die dies wollen, müssen sich darum kümmern, dass wir einen Verfassungsprozess bekommen, der auch eine klare Stärkung der Europäischen Union mit sich bringt. Denn dieser Verfassungsprozess ist kein Hindernis, sondern eine Voraussetzung dafür, dass es zu weiteren Erweiterungsschritten kommt.	It is those very persons who want this to happen who must make it their business to ensure that we end up with a constitutional process that also results in a definite strengthening of the European Union, for this constitutional process is not an obstacle to future enlargement, but rather the precondition that it should happen at all.
Ich möchte noch ein Wort zur Türkei und zu Kroatien sagen.	I would like to say something else about Turkey and Croatia.
Ich bin sehr froh, dass wir mit den Verhandlungen begonnen haben.	I am very glad that we have made a start on the negotiations.
Bei Kroatien war das auch längst überfällig, aber was die Türkei betrifft, möchte ich als einer, der immer dafür eingetreten ist, die Verhandlungen mit der Türkei zu beginnen, auch ein klares Wort sagen. Wie Kollege Schulz schon zum Ausdruck gebracht hat: Wir erwarten von der Türkei, dass sie alle Verpflichtungen, die sie übernommen hat, auch wirklich umsetzt, inklusive der Anerkennung Zyperns und inklusive der Öffnung der Häfen und der Flughäfen.	Where Croatia was concerned, that was long overdue, but, as regards Turkey, let me – as one who has always argued in favour of negotiations being commenced with that country – make something clear: as Mr Schulz has already said, our expectation of Turkey is that it should actually discharge all those obligations to which it has committed itself, and that includes the recognition of Cyprus and the opening of harbours and airports.
Natürlich bin ich auch dafür, dass die griechisch-zyprische Regierung, also die Regierung von Zypern, alles unternimmt, um der türkischsprachigen Bevölkerung den Weg in einen gemeinsamen Staat und damit in die Europäische Union möglich zu machen.	I am, of course, also in favour of the Greek Cypriot Government, that is to say the Government of Cyprus, doing everything in its power to pave the way for the Turkish-speaking population to share in a single state and hence in the European Union.
Wenn beide Seiten, die Regierung in Nikosia und die Regierung in Ankara, wirklich wollen, dass es einen Fortschritt gibt, dann kann es ihn geben. Aber unbeschadet dessen muss die Türkei all das umsetzen, was sie an Verpflichtungen übernommen hat, und manche Äußerung von Erdogan wäre besser unterlassen geblieben.	If both sides – the governments in Nicosia and Ankara respectively – really want progress, then it can happen, but, quite apart from that, Turkey must discharge all those obligations to which it has committed itself, and there have been quite a few utterances from Mr Erdogan that had been better left unsaid.
