Frau Präsidentin! Ja, ich gebe meinem Kollegen vollkommen recht.	Madam President, my colleague is quite right.
Seit anderthalb Jahren - mit nur ganz wenigen Unterbrechungen - bombardieren russische Truppen tschetschenische Siedlungen.	For a year and a half - with very few interruptions - Russian troops have been bombarding Chechen settlements.
Tausende Zivilisten sind auf der Flucht, ohne Anerkennung und ohne Rechte.	Thousands of civilians have fled, without recognition and without rights.
Die Menschenrechtsverletzungen in den Filtrationslagern werden ja erst gar nicht genannt.	Human rights violations in the filtration camps are hardly even mentioned.
Und die westlichen Regierungen schauen zu, klopfen Jelzin auf die Schulter und loben seinen demokratischen Kurs!	And western governments look on, pat Yeltsin on the back and praise his democratic reform process!
Ich erinnere damit an die Ratserklärung nach der Wahl.	I cannot help thinking of the Council statement after the elections.
Was ist das für eine Demokratie?	What a democracy!
Was ist das für eine Verlogenheit?	And what mendacity!
Statt der erwarteten Friedensgespräche setzt Jelzin einen Tag nach der Wahl wieder schweres Geschütz gegen die Zivilbevölkerung ein.	Instead of the expected peace talks, Yeltsin again deploys heavy artillery against the civilian population one day after the elections.
Damit macht er das Vertrauen aller Wähler in seinem Land zunichte.	In so doing, he destroys the confidence of all the voters in his country.
Es gibt kaum noch Hoffnung auf eine demokratische Entwicklung.	There is not much hope left for a democratic development.
Das Abkommen, das wir mit Rußland geschlossen haben, setzt aber eine demokratische Entwicklung und auch die Einhaltung der Menschenrechte voraus.	Yet the agreement we have concluded with Russia sets democratic development and respect for human rights as preconditions.
Ich erinnere die Kommission daran, daß das die Begründung für die Einsetzung des Interimsabkommens war; Sie haben gesagt, mit dem Interimsabkommen könnten wir da stärker Einfluß nehmen.	I remind the Commission that that was the basis for the interim agreement; you said that we could exert greater influence through the interim agreement.
Aber wie ich sehe, passiert überhaupt nichts!	But, as I see things, absolutely nothing is happening.
Ich möchte an dieser Stelle die Kommission fragen: Wird sie dem Rat vorschlagen, daß das Interimsabkommen ausgesetzt wird?	At this point, I would like to ask the Commission: will it propose to the Council that the interim agreement be suspended?
Wird sie dafür sorgen, daß eine Schlichtungskommission laut Klausel des Interimsabkommens eingesetzt wird?	Will it ensure that a conciliation committee, as provided for under the interim agreement, is brought into operation?
Hat die Kommission ein Konzept, auf welche Weise sie konkrete Schritte gegen die russische Regierung unternehmen will?	Has the Commission formulated a basis for concrete steps to be taken against the Russian Government?
Oder akzeptiert die Kommission diese Attacken gegen die Zivilbevölkerung im Nordkaukasus?	Or does the Commission accept these attacks on the civilian population in the northern Caucasus?
Wird sie weiter zuschauen?	Will it continue to look on?
Ich möchte auf diese Fragen eine sehr konkrete Antwort, denn wir hier im Parlament haben die Aufgabe, die demokratischen Kräfte in diesem Land zu unterstützen, und die werden immer schwächer!	I would like a very concrete answer to these questions for, in this Parliament, it is our job to support democratic forces Russia, and they are growing ever weaker.
Wir hoffen, daß wir die Soldatenmütter, die Friedensgruppen unterstützen können, denn die sind die Hoffnung für dieses Land.	We hope that we can support the soldiers' mothers, the peace groups, because they are the hope for that country.
