Herr Präsident! Ich darf Stéphane Le Foll recht herzlich für seinen Bericht danken.	Mr President, I would like to thank Mr Le Foll most sincerely for his report.
Er enthält ganz wesentliche Punkte, die wir in Zukunft beachten müssen.	It contains very important points that we will need to take heed of in future.
Klimaschutz muss auch ein Teil der neuen Agrarreform sein, er muss darin eingearbeitet sein.	Climate protection must also be part of the new agricultural reform; it needs to be incorporated into this reform.
Wir brauchen in Zukunft nachhaltige und ökologische Verfahren, die Klimaschutz gewährleisten.	In future, we will need sustainable and ecologically sound procedures which ensure that the environment is protected.
Landwirtschaft ist nicht nur ein Opfer beim Klimaschutz, sondern auch ein wesentlicher Teil der Ursache.	Agriculture is not only a victim in relation to climate protection; it is also a significant part of the cause.
Immerhin stammen 10 % der Klimagase aus der Landwirtschaft.	Ten per cent of greenhouse gases still originate from agriculture.
Auch da muss eine Reduktion stattfinden.	There needs to be a reduction here, too.
Man muss auch ein Thema beachten, das im Bericht von Stéphane Le Foll angesprochen wurde: Wir importieren sehr viel Soja aus z. B. Brasilien.	We also need to take note of a subject that is mentioned in the Le Foll report, namely, the fact that we import a great deal of soya from Brazil, for example.
Die europäische Landwirtschaft hat auch damit zu tun, dass in anderen Ländern Flächen von Urwald in sehr intensiv bewirtschaftete Agrarflächen umgewandelt werden, was sich letztlich auch wieder hier auswirkt.	European agriculture is also partly responsible for the fact that areas of primary forest in other countries are being turned into very intensively farmed agricultural land, which then ultimately has an impact back here, too.
Das muss man in Zukunft betrachten.	That it something that we need to consider in future.
Wir müssen auch anstreben, in Zukunft in Europa wieder eine eigene Eiweißversorgung aufzubauen.	In future, we will also need to endeavour to re-establish our own protein supply in Europe.
Auch das ist ein Teil der Lösung der Umweltproblematik im Zusammenhang mit dem Klimaschutz.	That is also part of the solution to the environmental problems relating to climate protection.
