Bienvenido al Parlamento Europeo, Presidente Arias!	Bienvenido al Parlamento Europeo, Presidente Arias!
Herr Präsident der Republik Costa Rica, meine sehr verehrten Damen und Herren! Im Namen des Europäischen Parlaments möchte ich Sie, sehr verehrter Herr Präsident Arias, auf das Herzlichste begrüßen.	President of the Republic of Costa Rica, ladies and gentlemen, on behalf of the European Parliament, I would like to extend a very warm welcome to you, President Arias.
Herr Präsident, Ihr Besuch ist ein Meilenstein in den Beziehungen zwischen dem Europäischen Parlament, der Europäischen Union, Costa Rica und Lateinamerika.	Your visit is a milestone in relations between the European Parliament, the European Union, Costa Rica and Latin America.
Dr. Oscar Arias, Sie waren bereits zwischen 1986 und 1990 Präsident von Costa Rica und wurden 2006 erneut für vier Jahre in dieses Amt gewählt.	Dr Óscar Arias, you have been President of Costa Rica already, from 1986 to 1990, and in 2006 you were re-elected for a four-year term.
Vor allem sind Sie uns als Träger des Friedensnobelpreises bekannt, der Ihnen 1987 verliehen wurde. Damit wurden Ihre enormen Anstrengungen bei der Suche nach Wegen zum Frieden in Mittelamerika gewürdigt.	You are best known as a winner of the Nobel Peace Prize, which was awarded to you in 1987 to acknowledge the enormous efforts you have made in the quest for paths to peace in Central America.
Die Anstrengungen von Präsident Arias in seiner Rolle als internationaler Vermittler mündeten in die Abkommen von Esquipulas, die am 7. August 1987 von allen Präsidenten der mittelamerikanischen Länder unterzeichnet wurden.	President Arias's efforts in his role as an international broker came to fruition in the Esquipulas Peace Agreement, which was signed by the presidents of all Central American countries on 7 August 1987.
Die Europäische Union hat diese Anstrengungen uneingeschränkt unterstützt.	The European Union supported these efforts wholeheartedly.
Der Präsident von Costa Rica ist damit ein Vorbild für die Menschen überall in der Welt.	The President of Costa Rica is therefore a role model for people throughout the world.
Er sagte einmal, es sei notwendig, Werte, Prinzipien und Ideale zu haben und für diese zu kämpfen.	He once said it was vital to have values, principles and ideals and to fight for them.
Dies haben Sie, Herr Präsident, mit Engagement über die Jahre gemacht. Die Bürgerinnen und Bürger Costa Ricas haben Ihre großen Verdienste mit Ihrer Wiederwahl vor zwei Jahren auch entsprechend gewürdigt.	President Arias, you have been committed to this for many years and the citizens of Costa Rica honoured the results of that work by re-electing you two years ago.
Beim 5. Gipfeltreffen EU-Lateinamerika/Karibik in Lima, das im Mai dieses Jahres stattfand, habe ich in meiner Ansprache die grundlegende Bedeutung der regionalen Integration für das 21. Jahrhundert betont.	In my speech at the 5th EU-Latin America and Caribbean (LAC) summit meeting in Lima, Peru, which took place in May this year, I emphasised the foundational significance of regional integration for the 21st century.
Wie es einer der Gründerväter der Europäischen Union, Jean Monnet, prägnant darstellte, geht es nicht darum, Staaten miteinander zu verbünden, sondern Menschen zu vereinen.	As Jean Monnet, one of the founding fathers of the European Union, expressed it so succinctly, it is a case of 'building union among people, not cooperation between states'.
Herr Präsident, auch Sie haben sich diesem Ideal verschrieben und sich aktiv dafür eingesetzt.	President Aria, you too have subscribed to this ideal and worked actively to achieve it.
Aus der Sicht des Europäischen Parlaments wäre der baldige Abschluss des Assoziationsabkommens - ich habe das in Lima auch so gesagt - zwischen Mittelamerika und der Europäischen Union wünschenswert, und ich möchte hinzufügen - wir haben das gerade in unserem Gespräch vertieft: Wenn irgendwo ein Krieg ausbricht, dann sind sofort Milliardenbeträge in Dollar oder in Euro oder in welcher Währung auch immer verfügbar. Wenn es aber darum geht, den Frieden zu stabilisieren, dann streiten wir um wenige Millionen.	From the point of view of the European Parliament, it is desirable to conclude an association agreement between Central America and the European Union in the near future - and I said so in Lima as well - and I would like to add, as we discussed in detail in our meeting just now: whenever war breaks out somewhere, vast amounts of money are made available in dollars or euros or whichever currency, but when support is required to establish peaceful relations, then countries argue about far smaller amounts of money.
Wir müssen dem Frieden eine Chance geben!	We must give peace a chance!
(Beifall)	(Applause)
Das ist unsere Botschaft heute an die anderen europäischen Institutionen.	That is our message today to the other European institutions.
Herr Präsident, lassen Sie mich abschließend sagen: Wir glauben, dass Costa Rica und Sie, Herr Präsident Arias, auch weiterhin eine entscheidende Rolle dabei spielen werden, diese Verhandlungen zu einem erfolgreichen Abschluss zu bringen.	President Aria, let me say, in conclusion, that we believe that you and your country will continue to play a crucial role in bringing these negotiations to a successful conclusion.
Im Namen aller Mitglieder des Europäischen Parlaments möchte ich Sie noch einmal willkommen heißen.	On behalf of all the Members of the European Parliament, I would like to welcome you again.
Ich hoffe, Ihr Besuch gibt uns die Möglichkeit, die freundschaftlichen Bande zwischen Europa, Costa Rica und Lateinamerika zu festigen.	I hope that your visit will give us the opportunity to strengthen the bonds of friendship between Europe, Costa Rica and Latin America.
Meine Damen und Herren, lassen Sie mich etwas unprotokollarisch hinzufügen: Es ist schön, dass der Präsident Costa Ricas hier ist, und es ist ein schöner Zufall - ausnahmsweise darf man jetzt einmal das Alter nennen -, dass das Mitglied der Europäischen Kommission, das für die Außenpolitik zuständig ist, Kommissarin Benita Ferrero-Waldner, heute ihr sechzigstes Lebensjahr vollendet.	Ladies and gentlemen, allow me to add something a little 'off the record': it is wonderful that the President of Costa Rica is here; and it is a very nice coincidence - by way of exception, I am allowed to mention somebody's age today - that the Member of the European Commission responsible for external policy, Commissioner Ferrero-Waldner, is celebrating her 60th birthday today.
Auch das ist ein Anlass zur Freude sowie ein Anlass dafür, ihr herzlichst zu gratulieren.	That is another happy occasion, and good reason to wish her many happy returns of the day.
(Beifall)	(Applause)
