Herr Präsident, meines Erachtens ist es doch eine verkehrte Welt, mit der wir es hier zu tun haben.	Mr President, I think it really is a perverse world we have to deal with here.
Dabei meine ich nicht den vorzüglichen Bericht der Kollegin Palacio, sondern das Abkommen, das Gegenstand ihres Berichtes ist.	I do not refer to the excellent report by Mrs Palacio Vallelersundi, but to the convention that is the object of the report.
Es gibt keine Grundrechtscharta, keine gemeinsame Justizpolitik, keine Europäisierung der Innenpolitik in den Mitgliedstaaten der Europäischen Union, die die einzige denkbare rechtstaatliche Voraussetzung für das wäre, was hier getan wird.	There is no basic charter of rights, no common justice policy, no Europeanization of the internal policies of the Member States of the European Union, which might be the only imaginable constitutional basis for what is happening here.
Statt aber die fälligen Schritte endlich zu tun, was tut das Amsterdamer Abkommen?	Instead of at last taking the necessary steps, however, what does the Amsterdam Treaty do?
Es formuliert im Artikel K3 eine Reihe von Absichtserklärungen, deren rechtlicher Inhalt, milde gesagt, völlig unklar ist.	It formulates in Article 3 a series of declarations of intention whose legal content is, to put it mildly, entirely unclear.
Freilich, das jetzt uns vorgelegte Abkommen gibt eine gewisse Klarheit, nämlich darüber, daß ausgerechnet die Rechtstaatsgarantien des alten Auslieferungsabkommens von 1957 außer Kraft gesetzt werden.	I admit that the convention we have before us creates some clarification, particularly that the very constitutional rights of the previous extradition agreement are to be discontinued.
Das ist nun ein weiteres Beispiel dafür, wie in vielen Mitgliedsländern der berechtigte Kampf gegen die organisierte Kriminalität so geführt wird, daß die Grundrechte aller Bürgerinnen und Bürger eingeschränkt werden.	This is a further example of how in many Member States the justified battle against organized crime is being so conducted that the basic rights of citizens are being limited.
Aber das K3-Abkommen geht ja noch einen Schritt weiter, indem es diese Rechtseinschränkung von Bürgerinnen und Bürgern über ein internationales Abkommen durchführt.	The K3 convention goes a step further, however, in that it conducts this limitation of citizens' legal rights by means of an international agreement.
Das ist ein Schritt, den kein Parlament dieser Welt, wenn es denn rechtsstaatlichen Prinzipien verpflichtet ist, zulassen darf.	That is a step that no parliament in the world which is committed to constitutional principles can permit.
Darum hat der Institutionelle Ausschuß doch recht, wenn er verlangt, daß die Parlamente der Mitgliedsländer ein solches Abkommen nicht ratifizieren dürfen.	For this reason the Committee on Institutional Affairs is absolutely right to demand that the parliaments of the Member States do not ratify such an agreement.
Was aber soll das Europäische Parlament tun?	So what should the European Parliament do now?
Es soll nicht dauernd darüber klagen, daß es nicht gefragt wird.	It should not continuously complain about how it was not consulted.
Man braucht es ja nicht zu fragen, wenn es keine Meinung hat in Sachen Bürgerrechte!	It has no need to be consulted if it has no opinion on civil rights!
