. Herr Präsident, ich habe im Namen der Kommission auf fünf Themen zu antworten.	Mr President, I have to reply on five issues, on the Commission' s behalf.
Ich will deshalb zusammenfassend zu den Menschenrechtsfragen sagen, daß die Außenpolitik der Kommission ganz unverändert immer dem Ziel dient, zur Vermeidung von Konflikten beizutragen, zur Vermeidung von Menschenrechtsverletzungen beizutragen, Demokratie und Menschenrechte zu fördern.	On the question of human rights let me therefore sum up by saying that the Commission' s foreign policy remains, as ever, directed at helping to prevent conflicts, prevent infringements of human rights and promote democracy and human rights.
Wo wir gewaltsame Konflikte und Menschenrechtsverletzungen vorfinden, nutzen wir mit Entschiedenheit unsere Möglichkeiten, sei es durch Dialog, sei es durch diplomatische Maßnahmen oder sei es durch die Form unserer wirtschaftlichen Zusammenarbeit und die Form unserer Hilfe für diese Länder, positiven Einfluß zu nehmen auf die Lösung der Konflikte und die Förderung von Demokratie und Menschenrechten.	Wherever we encounter violent conflicts and infringements of human rights, we resolutely apply the means at our disposal, be it through dialogue, be it through diplomatic measures or be it in the form of economic cooperation and aid to these countries, in order to play a positive part in resolving the conflicts and promoting democracy and human rights.
Das gilt ganz besonders für die heute hier angesprochenen Konflikte - Uganda, Sudan und Indonesien.	That is particularly true with regard to the conflicts addressed here - Uganda, Sudan and Indonesia.
Zur Todesstrafe in den USA möchte ich nur sagen, daß sich ja bedauerlicherweise hier nichts verändert hat.	On the death penalty in the USA let me just say that regrettably nothing has changed.
Die Haltung der Europäischen Union ist und bleibt völlig unverändert.	The European Union' s position is and will remain quite unchanged.
Die Verhängung der Todesstrafe ist in unserem europäischen Wertekatalog ein barbarischer Akt, der durch nichts zu rechtfertigen ist.	Under our European system of values, imposing the death penalty is an act of barbarism that can never be justified.
Deshalb werden wir in unseren Bemühungen nicht nachlassen, die weltweite Ächtung der Todesstrafe zu erreichen.	That is why we will not relax our efforts to have the death penalty outlawed throughout the world.
Die Diskussion in den USA, die jetzt eingetreten ist, muß man begrüßen.	The discussions that have now begun in the USA are welcome.
Sie zeigt ja sehr deutlich, daß ein wesentliches Argument unserer Ablehnung der Todesstrafe jetzt auch in Amerika eine gewisse Wirkung zeigt, nämlich daß die Verhängung der Todesstrafe schon deshalb eines Rechtsstaates nicht würdig ist, weil ein Fehlurteil nicht mehr korrigiert werden kann.	They show very clearly that one major argument against the death penalty is now having a certain effect in America too, namely that to impose the death penalty is not worthy of a constitutional state, if only because a miscarriage of justice cannot be rectified.
Wir haben nun erlebt, daß es viele Urteile gegeben hat, die zur Hinrichtung von unschuldigen Menschen geführt haben.	We have now seen that many verdicts led to the execution of innocent people.
Zum Irak möchte ich sagen, daß die Kommission der Auffassung ist, daß die Verantwortung für die schrecklichen Zustände in diesem Land ausschließlich und allein bei Saddam Hussein und seinem Regime liegen.	On Iraq let me say that the Commission takes the view that responsibility for the dreadful conditions in that country lies solely and entirely with Saddam Hussein and his regime.
Die Zustände könnten sich über Nacht verändern, wenn das Regime bereit wäre, die Auflagen, die Forderungen der internationalen Gemeinschaft vollständig zu erfüllen, Forderungen, deren Erfüllung es ja teilweise versprochen hat.	These conditions could change overnight if the regime was prepared to satisfy the conditions and demands of the international community in full, as in fact he has promised in part.
Es hat sich leider nichts daran geändert, daß das irakische Regime als ein Regime angesehen werden muß, das den Frieden und die Stabilität nicht nur der Region, sondern den gesamten Weltfrieden stören kann, und daß aus diesem Grunde die Aufhebung der Sanktionen nur erreicht werden kann durch die vollständige Erfüllung der Resolutionen des Sicherheitsrates, was dem irakischen Regime wohl bewußt ist.	Unfortunately, nothing has changed in the sense that the Iraqi regime must still be regarded as a regime that can undermine peace and stability not just in the region but worldwide, and for that reason the embargo can only be lifted if the Iraqi regime complies with the Security Council resolutions in full, as it is well aware.
Die Europäische Union bemüht sich, mit ihren Möglichkeiten den humanitären Folgen dieser Politik Rechnung zu tragen und zu helfen, wo Hilfe möglich ist.	The European Union is endeavouring to use the means at its disposal to take account of the humanitarian consequences of that policy and to help where help is possible.
Aber jedem in diesem Hause ist auch bekannt, daß das Programm Öl gegen Nahrungsmittel an Schwächen leidet, die wiederum das irakische Regime zu verantworten hat, und daß wir deshalb auch noch mit unserem Instrument ECHO im Irak tätig sind.	But everyone in this House also knows that the oil for food programme has certain weaknesses, which once again the Iraqi regime has to answer for, and that is also why we are still using ECHO as an instrument in Iraq.
Ich möchte etwas mehr zu dem Thema sagen, das heute zum ersten Mal behandelt wird, nämlich zu dem Thema Hooligans und Fußball.	I would like to say a little more on an issue that is being discussed here for the first time today, namely hooligans and football.
