. – Frau Präsidentin!	.
Herr Kommissionspräsident, Kolleginnen und Kollegen! Selbst wenn das Thema der Aussprache „Gesetzgebungs- und Arbeitsprogramm der Kommission für 2005“ lautet, lässt sich diese Debatte natürlich nur in einen gesamtstrategischen Rahmen einordnen, welcher durch die Lissabon-Strategie geprägt ist und leider vorrangig auf die Stärkung des Wettbewerbs zielt – und dies in meinen Augen auch noch mit den falschen Mitteln.	Madam President, Mr President of the Commission, ladies and gentlemen, even though the subject of this debate is the Commission’s legislative and work programme for 2005, it must, of course, be seen in the wider strategic framework, which is strongly influenced by the Lisbon strategy and, regrettably, is designed primarily to intensify competition. To make matters worse, I believe it is also using the wrong means to pursue that goal.
Die operationellen Gewinne der Großkonzerne der Europäischen Union haben sich 2004 um 78 % gesteigert.	The operating profits of the large conglomerates in the European Union increased by 78% in 2004.
Das Verhältnis zwischen Erlös und Bruttoinlandsprodukt ist fast an den höchsten Wert der letzten 25 Jahre herangerückt.	The ratio of profits to GDP is at what is nearly its highest level in the last 25 years.
Die Handels- und Währungsbilanzen sind in den letzten zwölf Monaten wieder von einem starken Plus gekennzeichnet.	Over the past 12 months, another substantial surplus has been registered in the balance of trade and the balance of payments.
Selbst in der Bundesrepublik Deutschland, wo die großen Unternehmen permanent weinerlich erklären, sie hätten keine Chance im Standortwettbewerb, haben 46 der 50 im Dax geführten Unternehmen in den ersten drei Quartalen Gewinnzuwächse von ungeahnter Größe eingefahren.	Even in the Federal Republic of Germany, where the large companies are constantly bleating about being shackled by an uncompetitive location, 46 of the 50 companies listed in the Dax index clocked up staggering increases in their profits over the first three quarters.
Gleichzeitig steigt die Arbeitslosigkeit.	At the same time, unemployment is rising.
Die Debatten um Verlängerung der Arbeitszeit, egal in welcher Form, nehmen zu.	There are more and more debates on the introduction of longer working hours in various different forms.
Von den Arbeitnehmern wird Lohnzurückhaltung gefordert, was in Wirklichkeit ein Absinken des Realeinkommens darstellt.	Employees are expected to practise wage restraint, which effectively amounts to a drop in real incomes.
Sozialleistungen werden gekürzt bzw. drastisch verteuert, solidarisch aufgebaute Systeme immer mehr in Richtung Privatfinanzierung verlagert.	Welfare benefits are being cut or recipients’ contributions drastically increased, and schemes based on solidarity are increasingly being shunted towards dependence on private funding.
Dieses Agieren führt nicht zur Stärkung, sondern zu einer Schwächung der Nachfrage.	These actions are weakening demand instead of strengthening it.
Diese Tendenz halten wir für falsch!	We regard this as a pernicious trend.
Jawohl, wir benötigen Wettbewerb – aber in Einklang mit den Göteborg-Kriterien, um die geringstmögliche Arbeitslosigkeit, hohen Verbraucherschutz, soziale Sicherheit der Bürger in einer gesunden Umwelt, soziale Kohäsion durch Solidarität und nachhaltige Entwicklung zu erreichen.	Of course we need competition, but it must be compatible with the Gothenburg criteria, so as to minimise unemployment, maximise consumer protection and guarantee social security within a healthy environment, and so as to achieve social cohesion through solidarity and sustainable development.
Deshalb können wir die Kommission nur auffordern: Stoppen Sie Ihre neoliberale Wirtschaftspolitik, ziehen Sie Ihre Richtlinien zu den Dienstleistungen im Binnenmarkt zurück, ebenso wie Ihre Arbeitszeitrichtlinie, und legen Sie stattdessen Richtlinien für verbesserten Arbeitsschutz oder für eine Harmonisierung von Sozialstandards vor!	Accordingly, we must make the following pleas to the Commission: abandon your neo-liberal economic policies and scrap your directives on service provision in the single market as well as the Working Time Directive and present replacements in the form of directives on improved health and safety at work or on the harmonisation of welfare standards.
Schützen Sie den Klein- und Mittelstand, indem Sie die vom letzten Parlament verabschiedeten Richtlinien, z. B. für die Software-Patente, als Basis für einen neuen Vorschlag nehmen!	Protect small and medium-sized enterprises by using the directives adopted by the last Parliament, such as the directive on software patents, as the basis for a new proposal.
Verändern Sie gemeinsam mit dem Rat den Stabilitätspakt, indem Ausgaben für Bildung und Ausbildung als Investition angerechnet und aus der Verschuldungsquote herausgerechnet werden!	Together with the Council, amend the Stability Pact to make expenditure on education and training count as investment, thereby eliminating it from the calculation of the debt ratio.
Setzen Sie sich für einen demokratischen und sozial gerechten Welthandel ein, indem Sie versuchen, die WTO zu reformieren und nach Hongkong nicht mit denselben Vorstellungen zu gehen, wie die alte Kommission dies in Cancún getan hat!	Strive for democratic and socially just world trade by trying to reform the WTO, and do not go to Hong Kong with the same ideas that the old Commission took to Cancún.
Setzen Sie sich nicht für eine Stärkung der militärischen Optionen ein, sondern ausschließlich für friedliche Lösungen!	Do not argue for more effective military options, but only for peaceful solutions.
Setzen Sie sich für höheren Umweltschutz ein, wobei auch hier innerhalb der Europäischen Union durchaus noch Nachholbedarf besteht, wie z. B. auf dem Gebiet der biologischen Vielfalt, der Vermeidung und Verarbeitung von Abfall und der nachhaltigen Nutzung der Ressourcen!	Campaign for better protection of the environment, and remember that there is certainly still work to be done here in the European Union in fields such as biodiversity, the avoidance and recycling of waste and the sustainable use of resources.
Verstärken Sie Ihre Einflussnahme beim Klimaschutz, da sowohl die USA als auch China, Indien und Brasilien hier stärker eingebunden werden müssen!	Exert more influence in the struggle to protect the global climate, because not only the United States but also China, India and Brazil must be motivated to commit themselves more firmly to this effort.
Dies wäre der richtige Weg für die Europäische Union, und dies würde die nachhaltige Entwicklung fördern, und dies würde Arbeitsplätze schaffen – und nicht die Fortführung bzw. Verstärkung der alten, längst überholten Wege, die sich als falsch herausgestellt haben.	This would be the right course for the European Union; it would promote sustainable development and create jobs. It is wrong to perpetuate and even intensify the pursuit of the old roads to nowhere that have long been discredited.
