Herr Präsident!	.
Meine sehr verehrten Damen und Herren! Wir haben von Herrn Solana eine ernüchternde Eröffnungsbilanz für das Jahr 2006 gehört.	Mr President, ladies and gentlemen, the account that Mr Solana has given us of the way 2006 has started is a sobering one.
Herr Staatssekretär Winkler hat im Prinzip unterstrichen, dass wir in diesem Jahr nach der Einschätzung der amtierenden Ratspräsidentschaft schweren Zeiten entgegengehen. Frau Ferrero-Waldner hat aus ihrer Sicht das Gleiche dargestellt.	In essence, what Mr Winkler had to say stressed the current presidency’s view that there are hard times ahead of us this year, and Commissioner Ferrero-Waldner, for her part, said much the same thing.
Wir sind also herausgefordert!	There are, then, challenges for us to face.
Die Europäer müssen sich auch darüber im Klaren sein, dass das, was Solana, Winkler und Ferrero-Waldner beschreiben, nichts anderes ist als Nachbarschaftspolitik der Europäischen Union. Denn die Krisenregionen, die hier benannt werden, liegen vor der Haustür der Europäischen Union.	Europeans must be aware that what Mr Solana, Mr Winkler and Mrs Ferrero-Waldner have set out is none other than the neighbourhood policy of the European Union, on whose doorstep lie the crisis regions that they have described.
Sie bergen in ihrer krisenhaften Entwicklung Risiken in sich, die jeden einzelnen Bürger und jede einzelne Bürgerin unserer Union bedrohen, denn so muss man das nennen.	They are at a critical stage in their development, and there are risks inherent in that which threaten every single citizen of this Union of ours; there is no other way of putting it.
Wenn ich dem gegenüberhalte, was Elmar Brok als Berichterstatter für den Bericht zur Lage der europäischen Außenpolitik im Verhältnis zu den Exekutivorganen an Beschreibung der Instrumentarien dagegen hält, die für die Organe selbst und für uns als Parlament zur Verfügung stehen, dann ist die Bilanz genauso ernüchternd.	If one turns from that to consider Mr Brok’s description, in his report on the current state of European foreign policy in the hands of the executive institutions, of the instruments available to the institutions themselves and to us in this House, one finds that an equally sobering account.
Die Außenpolitik der Europäischen Union ist mehr denn je zuvor ein Kernbestandteil – übrigens, wie Elmar Brok richtigerweise sagt, ein von der Bevölkerung unterstützter und gewollter Kernbestandteil – der europäischen Politik.	More than ever before, the European Union’s foreign policy is a core element in European policymaking, and it is worth noting, as Mr Brok rightly points out, that it is one that the people want and support.
Aber seien wir ehrlich zu uns selbst: Die Instrumente, die für eine effiziente, ihrem Auftrag gerecht werdende europäische Politik notwendig wären, stehen nicht in ausreichendem Maße zur Verfügung. Deshalb müssen wir als Parlament darauf drängen, dass das besser wird.	Let us, though, be honest with ourselves: we do not have enough of the instruments that a European policy requires in order to be effective and faithful to its task, and so we in this House must insist on improvements being made in this area.
Neben wir das Beispiel Ukraine: Wir haben alle vor einem Jahr gesehen, wie effizient wir handeln können, wenn wir vor Ort mit der modulartigen Zusammensetzung unserer Fähigkeiten präsent sind. Da ist Javier Solana, der Hohe Beauftragte unserer Union, der im Namen aller handeln und sprechen kann, der polnische Staatspräsident Kwaśniewski als Staatspräsident eines unmittelbaren Nachbarlandes mit guten Einflüssen im Land und einer ständigen Rückkoppelung zu anderen Regierungschefs, die ihrerseits wiederum aus der Europäischen Union heraus Einflüsse auf Beteiligte nehmen konnten, z. B. auf die russische Regierung – sie haben dazu beigetragen, dass es im Rahmen dieser orangefarbenen Revolution eine friedliche Lösung gab.	Let us take Ukraine as an example: a year ago, we all saw how effectively we can act when we are present on the ground with all our capacities bundled together in the persons of Javier Solana, the High Representative of our Union, empowered to speak and act on behalf of all of us; the Polish President, Mr Kwasniewski, as the head of an immediately adjoining state, with good opportunities for exercising influence in the country and with constant backup from other Heads of Government, who can in turn influence other stakeholders – the Russian Government, for example – through the European Union – these men helped to bring the Orange Revolution to a peaceful conclusion.
Und jetzt ist ein Jahr vergangen und wir hören heute: Es gibt ein . Diejenigen, die heute aus der Ukraine hier waren, haben uns gesagt, viele Errungenschaften des vergangenen Jahres seien wieder in Gefahr.	A year has now gone by, and today we hear, from Ukrainian visitors to this House, that many of the things achieved over the past year are again at risk and are being rolled back.
Der Beschreibung der Bedrohungslage aufgrund der Energiesituation, von der ja auch die Ukraine stark betroffen ist, brauche ich hier nichts hinzuzufügen.	I do not need to add to the description of the threat presented by the energy situation, by which, of course, Ukraine is also seriously affected.
Wie ist es eigentlich möglich, dass es innerhalb von einem Jahr so weit kommt; dass das, was wir vor einem Jahr so enthusiastisch gefeiert haben, jetzt ein solches erlebt? Darüber müssen wir nachdenken.	How, actually, is it possible that what we celebrated with such enthusiasm a year ago should now – within the space of a year – be rolled back in such a way?
