Herr Präsident! Ich habe für die Ablehnung des Vorschlags der Kommission gestimmt.	Mr President, I voted to reject the Commission's proposal.
Der Vorschlag verletzt das Subsidiaritätsprinzip.	The proposal breaches the principle of subsidiarity.
Boden hat keine grenzüberschreitenden Aspekte, weshalb dieses Thema in den Mitgliedstaaten genauso gut oder sogar besser geregelt werden kann als auf europäischer Ebene.	Soil has no cross-border aspects, which is why this matter can be regulated equally well or even better in the Member States than at European level.
In vielen Ländern bestehen bereits Bodenschutzgesetze.	Many countries already have soil protection legislation.
Dies wird vom Vorschlag der Kommission nur unzureichend berücksichtigt.	The Commission's proposal takes scant account of that.
Ich habe in der Endabstimmung auch gegen den Bericht und gegen die meisten Kompromisse gestimmt. Zwar bin ich der Ansicht, dass der vom Parlament angenommene Bericht den Kommissionsvorschlag durchaus verbessert.	In the final vote I also voted against the report and most of the compromises, although I do believe that the report adopted by Parliament is a marked improvement on the Commission's proposal.
So hat es Verbesserungen bei der Ausweisung von potentiell verunreinigten Standorten gegeben.	There were improvements, for example, with regard to the identification of potentially contaminated sites.
Wir haben hier mehr Flexibilität bei den Kriterien des Anhangs II. Insgesamt sind aber immer noch viele Bestimmungen enthalten, die diese Richtlinie zu einem aufwendigen bürokratischen und teuren Gebilde machen.	The redraft offers greater flexibility in the application of the criteria enumerated in Annex II. In general, however, there are still many provisions that make this directive an elaborate bureaucratic and expensive instrument.
Positiv ist zu bewerten, dass die Kriterien aus Anhang I künftig wenigstens nicht mehr verpflichtend sind.	One good thing is that the criteria listed in Annex I will at least be non-binding now.
Positiv ist auch, dass die Richtlinie die Besonderheiten der Bodennutzung für landwirtschaftliche Zwecke anerkennt.	Another is that the directive recognises the special character of agricultural land use.
Die negativen Punkte überwiegen allerdings.	The cons outweigh the pros, however.
So hätten wir auch bezüglich der Finanzierung deutlicher klarstellen müssen, dass die Bodenschutzrichtlinie keine Auswirkungen auf den Gemeinschaftshaushalt hat und dass keine neuen Fonds zur Umsetzung der Richtlinie eingerichtet werden.	On the question of funding, for example, we ought to have spelled out more clearly that the Soil Protection Directive will have no impact on the Community budget and that no new funds will be set up to implement the directive.
Nur bereits bestehende Fördertatbestände sollen weiter genutzt werden.	Only the existing support mechanisms are to be used.
Aus den genannten Gründen habe ich gegen die Richtlinie gestimmt, und ich hoffe, dass der Rat diese Richtlinie jetzt korrigiert.	For these reasons I have voted against the directive, and I hope that the Council will now make the necessary corrections.
