Herr Präsident! Alexander Nikitin steht am 23. November wieder vor Gericht.	Mr President, on 23 November, Alexander Nikitin will appear in court again.
Immer noch muß er sich vor Gericht verantworten für einen alten sogenannten Spionagefall.	He still has to face trial on an old case of "spying" .
Dabei ist längst geklärt, daß er die Informationen im Bellona-Bericht aus öffentlich zugänglichen Quellen hat.	It became clear a long time ago that he has the information in the Bellona report from sources that are accessible to the general public.
Sein Sachverstand hat es aber ermöglicht, daß wir alle auf eine riesige Gefahr, die auf uns zukommt und die im Nordmeer schlummert, aufmerksam gemacht wurden.	However, his expert knowledge made it possible for us to be made aware of an enormous hazard that is heading for us and is slumbering in the Arctic Ocean.
Er hat zutiefst human gehandelt.	He acted with a great sense of humanity.
Die EU hat hier eine besondere Verantwortung, weil sie bis heute das Material benutzt, das Alexander Nikitin zusammengestellt hat.	The EU has a special responsibility here because until now it has used the material that Alexander Nikitin compiled.
Die nördliche Dimension, die in Helsinki beschlossen wird, umfaßt als wesentlichen Teil die Frage der Reinigung des Nordmeers und die Bannung der Gefahr, die dort auf uns alle zukommen kann.	One of the essential components of the Northern dimension that was decided on in Helsinki is the issue of cleaning the Arctic Ocean and averting the danger that could affect us all.
Deshalb müssen wir hier wesentlich stärker intervenieren, damit Alexander Nikitin endlich freikommt, damit die Vorwürfe fallengelassen werden, weil wir alle wissen, daß das Verfahren rein politischen Charakter hat, und deshalb werden auch die Gesetze in Rußland bei diesem Verfahren verletzt, weil hier wieder die alte Nomenklatura gewinnt.	We must therefore intervene more forcefully here so that Alexander Nikitin can finally be released and so that the accusations are dropped, because we all know that these proceedings are purely political and therefore the laws in Russia will also be infringed by these proceedings, because the old nomenclature will win again.
Ich denke, es ist eine zutiefst humane Tat und eine wirklich bemerkenswerte Verantwortung, mit der Alexander Nikitin gehandelt hat, indem er uns dieses Material zugänglich gemacht hat.	I believe that Alexander Nikitin has acted with enormous consideration for others and with remarkable responsibility in making this material available to us.
Deswegen ist es notwendig, daß die EU-Mission in Moskau diesen Fall zumindest beobachtet, daß aber auch politisch im Dialog interveniert wird, daß das als politischer Fall deklariert wird und Alexander Nikitin endlich freigelassen wird.	It is therefore necessary for the EU Mission in Moscow at least to observe this case, but also to intervene in the political dialogue, so that it is declared a political case and Alexander Nikitin can finally be released.
Alexander Nikitin gehört frei und geehrt!	Alexander Nikitin should be free and honoured!
