Herr Präsident, Herr Abgeordneter Crowley! Danke auch Ihnen für Ihre Begrüßung hier.	Mr President, Mr Crowley, thank you for your kind welcome.
Ich darf Ihnen sagen, ja.	In a word, yes.
Unser Außenminister hat heute hier über das Beschäftigungsprogramm gesprochen, das für die österreichische Präsidentschaft zweifellos zu den ersten Prioritäten gehört.	Our Foreign Minister did address the subject of the job creation programme, which will no doubt figure among the top priorities of the Austrian presidency.
Ich halte es für enorm wichtig, daß wir in den Prozeß der Revision im Rahmen des Europäischen Rates von Wien eintreten und dort voneinander lernen.	To my mind, it is extremely important for us to enter into the revision process under the auspices of the Vienna European Council and use this to learn from one another.
Sie wissen, daß die best practices etwas sehr, sehr Wichtiges sind.	You are well aware of the great importance attached to best practices.
So wie Österreich zum Beispiel von der Mobilität, der Flexibilität und vielen anderen spezifischen Programmen anderer Mitgliedstaaten wird lernen können, so werden sicher auch andere Mitgliedstaaten von uns lernen können, und zwar, wenn ich daran denke, daß wir ein ausgezeichnetes System der Lehrlingsausbildung haben, ein System, das es ermöglicht, daß junge Leute mit 14, 15 Jahren eine Lehre beginnen bei einem Unternehmer oder bei einem Handwerker und gleichzeitig dazu eine Schulbildung erhalten.	Just as Austria, for example, can learn about mobility, flexibility and many other specific programmes from other Member States, by the same token, other Member States can learn from us, and here I am thinking of our excellent apprenticeship training scheme, which allows young people of 14 or 15 to start training with a firm or workshop while at the same time continuing to receive school education.
Das sind zum Beispiel Maßnahmen.	These are just some of the measures available.
Ich werde mich natürlich jetzt nicht nur über dieses Thema auslassen, aber ich möchte Ihnen sagen, daß das natürlich Maßnahmen sind, die notwendig sind.	I do not want to go on about this, of course, but I would like to put it to you that such measures are important.
Auch Umschulungen im Rahmen des Bildungsbereichs sind natürlich auch ganz wesentliche Maßnahmen.	Retraining under the umbrella of education would be an important measure, too.
Um noch einmal auf die ursprüngliche Frage einzugehen: Hier hat eben ein Zeitraum von fünf Jahren grundsätzlich die Möglichkeit gegeben, all das mit den Personen zu machen, die derzeit im duty free -Bereich tätig sind.	Returning to the original question: the five-year transition period has basically provided the opportunity of operating such a scheme with people who are currently employed in the duty-free sector.
Was allgemein die Frage der Steuerharmonisierung betrifft, die, wenn ich das richtig verstanden habe, ebenfalls von Ihnen angesprochen wurde, darf ich sagen, daß unser Finanzminister sehr bemüht ist, soweit Vorschläge der Kommission vorliegen, diese Initiativen voranzutreiben.	Regarding the general question of the harmonization of taxes - which if I have understood correctly you were also asking about - I must say that our Finance Minister is very concerned about driving this issue forward as soon as the proposals of the Commission have been received.
Ich sage aber auch dazu, daß es im Rat vorläufig nicht sehr einfach sein wird, aber es ist zumindest das österreichische Bestreben.	I would hasten to add, however, that as things are at present the Council will not be facing an easy task here, but at least this is what the Austrian presidency will be trying to achieve.
Umsetzung des Binnenmarktes heißt natürlich, eine verstärkte Ausrichtung auf Beschäftigung, eine verstärkte Ausrichtung auf Wettbewerb, und das bringt durch verstärkte Möglichkeiten eben auch eine Ausweitung des Handels, was wir nötig haben, um der Globalisierung ins Auge zu schauen.	Naturally, the completion of the single market also means gearing up in terms of employment and competition, and that greatly improves prospects of expanding trade, which is essential if we are to face up to the challenge of globalization.
