, Berichterstatterin.	, rapporteur.
Herr Präsident, ich bin gebeten worden, ganz kurz etwas zu der Abstimmung zu sagen, damit die Kollegen zu Hause sich nicht prügeln lassen müssen für eine Sache, die so nicht ist.	Mr President, I have been asked to briefly say something about the vote so that colleagues do not have to be attacked at home for something which is not the case.
Ich möchte Ihnen also sagen, worüber wir abstimmen: Wir wollen keine Verzögerung der Kosovo-Hilfe, sondern wir wollen mehr Effizienz haben.	I should like therefore to say what we are voting about. We want no delay in providing aid to Kosovo, but we do want more efficiency.
Der Rat hat ein ineffizientes Verfahren vorgeschlagen, und deswegen bitte ich zu verstehen, daß wir den Sitz in Thessaloniki akzeptieren als operationellen Teil, als einen Teil der Wiederaufbauagentur für ganz Südosteuropa mit Sitz in Thessaloniki, der aber eng an den Sitz des Stabilitätspaktes in Thessaloniki gebunden werden muß.	The Council has proposed an inefficient procedure, and I would therefore ask it to be understood that we accept the headquarters in Thessaloniki as an operational component of the Reconstruction Agency for the whole of South-East Europe with its headquarters in Thessaloniki, but which must be closely linked with the headquarters of the Stability Pact in Thessaloniki.
Das ist ein hoher, politischer Punkt.	That is an important political point.
Ich bitte Sie alle, dies im Auge zu behalten, das ist ein essential.	I would ask you all to bear this in mind. It is one of the essential points.
Außerdem gibt es noch zwei andere Dinge, die ich hier anmerken muß.	There are also two further points I must make here.
Wir möchten eine Vereinfachung der Verwaltung, wir möchten mehr Transparenz, mehr Flexibilität, das steht in unseren Änderungsanträgen.	We should like to see a simplification of the administration. We should like to see more transparency and more flexibility.
Wir möchten außerdem, daß der Rat uns einbezieht, sobald er die Arbeit auf andere Regionen ausweitet, wir müssen dazu angehört werden, wir möchten außerdem, daß die Arbeit der Agentur zunächst einmal auf dreißig Monate befristet wird.	In fact, these points are to be found in our amendments. We should also like the Council to include us as soon as it extends the work into other regions.
Denn je länger wir das hinausschieben, desto ineffizienter wird die Arbeit.	We must be made a part of this. We should also like there, for the time being, to be a time limit of thirty months on the Agency' s work, for the longer we extend this, the more inefficient it becomes.
Wir sollten uns ein Limit setzen und versuchen, bis dahin alles zu erreichen.	We should set ourselves a limit and try to achieve everything by then.
Ein ganz wichtiger Punkt ist auch, daß OLAF eingesetzt werden muß ...	Another really important point is that OLAF must be deployed...
(Der Präsident entzieht der Rednerin das Wort.)	(The President cut the speaker off)
