Herr Präsident! Ich möchte zuerst einmal Dank sagen.	Mr President, first of all, I would like to say thank you.
Die schwedische Ratspräsidentschaft hat trotz vielfältiger Probleme hervorragende Arbeit geleistet.	Despite many problems, the Swedish Council Presidency has done a splendid job.
Schweden ist ein mittelgroßes Land in der Europäischen Union, und das muss man in jeder Hinsicht positiv würdigen.	Sweden is a medium-sized country in the European Union and we should view that as a positive thing in all respects.
Vielen Dank an Sie und an Ihre gesamte Regierung, Herrn Ministerpräsident!	I would like to thank you and your entire government, Mr Reinfeldt.
Sie haben mit Klima, Finanzmarktkrise, Lissabon-Vertrag und der neuen Kommission wirklich schwere Brocken und Themen gehabt.	With the climate, the financial market crisis, the Treaty of Lisbon and the new Commission, you have had really difficult tasks and issues to deal with.
Ich möchte zwei Themen herausgreifen.	I would like to single out two issues.
Einmal die Finanzmarktkrise: Dass Schweden mit der Kommission in den Fragen der Konsolidierungsanstrengungen einzelner Mitgliedstaaten hart geblieben ist, ist absolut positiv.	The first is the financial market crisis. The fact that, together with the Commission, Sweden remained firm with regard to the consolidation efforts of individual Member States is extremely positive.
Dass Sie nicht gesagt haben: "Wir werden Griechenland jetzt von seiner Verantwortung in der Euro-Zone entbinden", kann ich nur ausdrücklich unterstützen.	The fact that you did not say 'we will now release Greece from its responsibilities within the euro area' is something that I can only wholeheartedly support.
Der zweite Bereich ist die Klimapolitik.	The second area is climate policy.
Wir haben hier Kritik von den Kommunisten und den Grünen gehört.	We have listened to the criticism from the Communists and the Greens.
Sie sind nirgendwo in Europa in der tatsächlichen Verantwortung.	They do not have any actual responsibility anywhere in Europe.
Wir können Klimapolitik à la China und USA machen, indem wir große Proklamationen erlassen, aber keine Ergebnisse haben.	We can pursue climate policy in the style of China or the US by making grand proclamations but not achieving any results.
Europa hat Ergebnisse.	Europe has achieved results.
Ich wehre mich dagegen, dass Greenpeace der Maßstab für europäische Klimapolitik wird.	I reject the claim that Greenpeace is the yardstick for European climate policy.
Wir müssen realistisch bleiben!	We must remain realistic!
Auch dort hat die schwedische Ratspräsidentschaft in ihrer Zeit zusammen mit der Kommission erstaunlicherweise sehr gute Ergebnisse erzielt.	Here, too, the Swedish Presidency surprisingly achieved very good results during its term, together with the Commission.
Ich möchte auch dafür ein ausdrückliches Wort des Dankes sagen.	I would like to express my sincere thanks for this, too.
Zum Thema Lissabon-Vertrag: Der Kollege Schulz ist jetzt weg.	With regard to the subject of the Treaty of Lisbon: Mr Schulz is not here at the moment.
Er hat gesagt, die Kommission mit den stellvertretenden Vorsitzenden der europäischen Parteien.	He said that the Commission is influenced by it being made up of deputy leaders of European parties.
Ich kann mich nur wundern, dass der Vorsitzende einer politischen Fraktion das politische Engagement von einzelnen Mitgliedern der Kommission thematisieren will.	I am only surprised that the chair of a political group wants to make an issue of the political commitment of individual members of the Commission.
Was soll denn das?	What is the point of that?
Ich kann das nur zurückweisen.	I can only reject that argument.
Ich möchte Sie zum Schluss ermuntern - wie bei Ihrem Amtsantritt -, dass Sie endlich dem Euro beitreten.	Finally, I would like to encourage you - as I did when you took office - to finally join the euro.
Kann ich sagen: Schweden ante portas, Herr Ministerpräsident?	Can I say 'Sweden ante portas', Mr Reinfeldt?
