Vizepräsident der Kommission.	Vice-President of the Commission.
Herr Präsident, meine sehr verehrten Damen und Herren Abgeordneten! Ich möchte zunächst dem Berichterstatter, Herrn Abgeordneten Schlyter, für seine intensive Arbeit an diesem Vorschlag danken, die es ermöglicht hat, eine Übereinkunft mit dem Rat in erster Lesung zu erreichen.	Mr President, ladies and gentlemen, I should like to start by thanking the rapporteur, Mr Schlyter, for his hard work on this proposal, which has made it possible to reach agreement with the Council at first reading.
Das ist eine wichtige Richtlinie.	This is an important directive.
Es geht darum, das Inverkehrbringen und die Verwendung von perfluorierten Octansulfonaten (PFOS) und damit zusammenhängenden Substanzen zu beschränken.	It is concerned with restricting the marketing and use of perfluorooctane sulfonates (PFOS) and related substances.
Diese Substanzen sind persistent, bioakkumulierend und giftig.	These substances are persistent, bioaccumulative and toxic.
Sie haben das Potenzial, zu unannehmbaren Risiken für die Gesundheit der Menschen und für den Zustand der Umwelt zu führen.	They have the potential to cause unacceptable risks to human health and the state of the environment.
Die vorgeschlagene Richtlinie basiert auf gezielten Risikobewertungen und Folgenabschätzungen möglicher Maßnahmen.	The proposed Directive is based on specific risk assessments and impact assessments of possible measures.
Einbezogen wurden ausführliche Beratungen mit allen Betroffenen.	It takes into account detailed discussions with all interested parties.
Die Richtlinie verbietet im Prinzip die Vermarktung und Verwendung von PFOS und damit zusammenhängenden Substanzen mit sehr begrenzten Ausnahmemöglichkeiten.	The Directive prohibits in principle, with very limited derogation, the marketing and use of PFOS and related substances.
Ausnahmeregelungen werden für unverzichtbare Anwendungen in kleinen Mengen vorgesehen, die nach der Stellungnahme des wissenschaftlichen Ausschusses der Kommission für Gesundheit und Umweltrisiken keine unannehmbaren Risiken darstellen.	Derogations are envisaged for essential applications in small quantities, which do not pose any unacceptable risks according to the opinion of the Commission's Scientific Committee on Health and Environmental Risks.
Verwendungsmöglichkeiten im großen Maßstab - zum Beispiel im Bereich von Textilien und Teppichen - sind schon früher von der Industrie beendet worden, und diese Richtlinie wird zuverlässig verhindern, dass solche Verwendungen wieder eingeführt werden.	Large-scale uses - for example in the field of textiles and carpets - have already been discontinued by industry, and this Directive will reliably prevent the reintroduction of such uses.
Die vorgeschlagene Richtlinie sorgt nicht nur für den Schutz der menschlichen Gesundheit und der Umwelt, sie wird auch der Stärkung des Binnenmarktes dienen, da sie überall in der Gemeinschaft harmonisierte Regeln für die Vermarktung und die Verwendung von PFOS und damit zusammenhängenden Substanzen einführt.	The proposed Directive will not only ensure the protection of human health and of the environment, but also serve to strengthen the internal market, as it introduces Community-wide harmonised rules for the marketing and use of PFOS and related substances.
Im Hinblick auf die Ausnahmeregelungen, die im Vorschlag enthalten sind, stimme ich damit überein, dass die Verwendung von PFOS und damit zusammenhängenden Substanzen in Fotoresists, in fotografischen Materialien, bei der Galvanisierung mit sechswertigem Chrom und anderen Metallen sowie hydraulischen Flüssigkeiten erlaubt bleiben sollte, weil die Risiken, die mit diesen Verwendungsmöglichkeiten zusammenhängen, akzeptabel sind, weil es keine gleichwertigen Alternativen gibt und weil es nicht sicher ist, dass die toxikologischen Profile von möglichen Alternativen günstiger sind.	With regard to the derogations contained in the proposal, I agree that the use of PFOS and related substances should continue to be permitted in photoresists and photographic materials, when plating with hexavalent chromium and other metals, and in hydraulic fluids, as the risks connected with these uses are acceptable since there are no equivalent alternatives and it is not certain that the toxicological profiles of the alternatives are any better.
Hinsichtlich der Feuerbekämpfungsschäume kann ich dem zustimmen, dass das Inverkehrbringen und die Verwendung von neuen Feuerbekämpfungsschäumen verboten werden sollten und dass ein Zeitraum von 54 Monaten für die weitere Verwendung von bereits bestehenden Vorräten gewährt wird.	With regard to fire-fighting foams, I can agree that the marketing and use of new foams should be prohibited and that a period of 54 months should be granted for the continued use of existing stocks.
Andererseits möchte ich zu diesem Zeitpunkt eine Ausdehnung der vorgesehenen Beschränkungen auf andere perfluorierte Alkylverbindungen wie zum Beispiel PFOA nicht unterstützen, da dies angesichts des Fehlens einer abgeschlossenen Risikobewertung und ausreichender Kenntnisse über derzeitige Verwendungsmöglichkeiten und Alternativen verfrüht ist, aber wir können auf dieses Thema zurückkommen.	On the other hand, I am not prepared, at present, to support the extension of the envisaged restrictions to other perfluorinated alkyl compounds such as PFOA, as this would be premature given the absence of a completed risk assessment and of sufficient knowledge of current uses and alternatives, but we can return to this subject.
Abschließend möchte ich noch bemerken, dass der Wandlungsprozess sehr von der engen Zusammenarbeit zwischen Parlament, Rat und Kommission profitiert hat.	By way of conclusion, I should like to say that the transformation process has benefited greatly from the close cooperation between Parliament, the Council and the Commission.
Die Kommission kann daher auch allen Kompromissanträgen zustimmen, die vom Berichterstatter, Herrn Schlyter, vorgeschlagen werden.	The Commission can therefore endorse all the compromise amendments proposed by the rapporteur, Mr Schlyter.
