Herr Präsident!	.
Danke schön, Frau Kommissarin, für Ihre Erklärung zu der Frage.	Mr President, I thank the Commissioner for her statement on this issue.
Ich möchte auch unsere Sichtweisen, wovon es zwei gibt, unverblümt darlegen.	Our group has two points of view on this subject, and I do not propose to mince my words in setting them out.
Fakt ist, dass die Zugeständnisse der Kommission im Weinhandelsabkommen der EU mit den USA mehr als unverschämt und nicht akzeptabel sind. Ich spreche als Abgeordnete einer der ältesten Weinregionen Deutschlands auch für die Winzer von der Mosel.	The fact is that the Commission has acted – to say the least – shamelessly and unacceptably in making these concessions in the EU-US Wine Agreement, and that I say, as a Member for one of the oldest vine-growing regions in Germany, also on behalf of the vine-growers of the Moselle.
Natürlich brauchen wir ein Handelsabkommen mit klaren Regelungen – Sie haben es betont –, und die Verhandlungen dauern auch schon viel zu lange. Aber wir brauchen ein Abkommen mit fairen Bedingungen für beide Seiten.	You yourself stressed the obvious need for a trade agreement with unambiguous rules, and the negotiations have also been going on too long already, but what we need is an agreement with fair conditions for both parties.
Was hier mit langen, nicht definierten Fristen zu Papier gebracht wurde und vor allem das Zugeständnis der uneingeschränkten gegenseitigen Anerkennung der önologischen Verfahren in der Weinbereitung ist ein Schlag ins Gesicht für alle weinrechtlichen Bestrebungen der Europäischen Union und der Mitgliedstaaten.	This document, with its long and vague deadlines and, worst of all, the concession of unconditional mutual recognition of oenological processes in wine-making, is a slap in the face for all the efforts the European Union and its Members have put in to legislation on vine products.
Frau Kommissarin, Sie haben gesagt, es muss nachverhandelt werden. Aber wir haben so lange verhandelt, und ich stelle die Frage: Warum verschieben wir solche wichtigen Entscheidungen?	The Commissioner said that there is a need for further discussions, yet we have negotiated for so long that I have to ask why we are putting off such important decisions.
Wir haben in Europa klar definierte Produktions- und Herstellungsbedingungen für den Wein.	The production and manufacturing of wine in Europe is subject to clearly defined conditions.
Wasser im Wein ist für uns unvorstellbar und für die Verbraucher unzumutbar.	Adding water to it is something we see is unthinkable and which the consumer would not stand for.
Wir sollen nun anerkennen, dass Amerika 7% Wasser in den Wein geben darf?	Are we now to accept that the Americans may add water to wine up to 7%?
Moderne Methoden, die den Wein in seine einzelnen Bestandteile zerlegen, sind heute machbar. Wir sollen im Rahmen der gegenseitigen Anerkennung akzeptieren, ihn dann wieder willkürlich industriell zusammenzusetzen?	Modern methods involving the breaking-down of wine into its individual components are a workable proposition these days, but are we, by way of mutual recognition, to accept that it can be put together industrially and any old how?
Wir brauchen keinen Kunstwein!	We have no need of synthetic wine!
Wein ist Vielfalt, ist Natur, die sich in der Unterschiedlichkeit zeigt und die geprägt ist von Witterung und Jahrgang.	Wine is diverse, its diversity a manifestation of nature itself, owing its character to climate and vintage.
Ist die Kommission sich darüber im Klaren, was ein solches Zugeständnis auch für weitere notwendige Abkommen für die Verhandlungen in der WTO bedeutet?	Is the Commission not aware of the likely effect of such a concession, which affects future agreements, on negotiations within the WTO?
Das in der WTO festgelegte Meistbegünstigtenprinzip bedeutet, dass später auch in anderen Staaten gleiche Zugeständnisse gemacht werden müssen.	The ‘most favoured nation’ principle laid down by the WTO means that, later on, the same concessions will have to be made to other states.
Die Bestrebungen des Internationalen Weininstituts, eine weltweit gültige Definition des Weines zu finden, werden hier geführt.	The International Wine Institute is endeavouring to find a globally valid definition of wine, and this is being taken .
Frau Kommissarin, Sie sprechen hier von einer anderen Organisation.	Commissioner Fischer Boel also mentioned another organisation.
Die USA sind aus der OIV ausgetreten.	The USA has left the OIV.
Ist damit die OIV sozusagen geplatzt?	Does that mean that the OIV has in some sense gone bust?
Dagegen wird unser Anliegen – der notwendige Schutz der geografischen Herkunftsbezeichnungen ohne Festlegung eines Datums – einfach auf den Sankt Nimmerleinstag verschoben.	Yet what we insist we need – the protection of geographical indications of origin without the specification of a date – is simply being put off for ever and a day.
Champagner kommt aus der Champagne, Rheinwein wächst am Rhein und Moselwein an der Mosel und nicht irgendwo in Amerika.	Champagne comes from Champagne, Rhine wine is grown on the Rhine, and Moselle on the Moselle – not somewhere in America.
Solche Bezeichnungen sind sofort und nicht irgendwann zu verbieten, wenn man einen fairen Handel will.	If we want fair trade, then such descriptions must be banned now rather than at some unspecified date.
Auch ein Einfrieren der jetzigen Situation geht mir zu weit.	Even maintaining the current status quo strikes me as going too far.
Ich frage die Kommission: Wo ist der Verhandlungserfolg in diesem Abkommen? Hier werden meiner Meinung nach nur – in jedem Fall aber zu viele – Zugeständnisse gemacht.	What I want the Commission to tell me is in what sense the negotiations around this agreement can be described as a success; as I see it, all we have done is to make concessions, and too many of them at that.
Ich fühle mich – und ich spreche hier für die vielen Winzerfamilien, die zu Hause zurzeit in den Weinbergen ihre Ernte einfahren –, wir fühlen uns verhandelt und verkauft.	I feel – and let me say on behalf of the many winemaking families at present bringing their harvest home from the vineyards, we feel – that a deal has been done to sell us down the river.
