Herr Präsident! Ich möchte am Ende dieser Debatte eine persönliche Erklärung abgeben.	Mr President, I would like to make a personal observation at the end of this debate.
Ich gebe sie nicht nur in meinem Namen, sondern im Namen vieler Kollegen, die die ganze Zeit hier waren und diese Debatte verfolgt haben, ab.	I am speaking not just for myself, but on behalf of many of my colleagues who were here the whole time and who followed this debate.
Ich habe mich in meiner Zeit im Europäischen Parlament selten so schlecht behandelt gefühlt wie heute im Zusammenspiel zwischen Ihnen und Herrn Barroso.	In all my time here at the European Parliament I have rarely felt as badly treated as today in the interplay between you and Mr Barroso.
Das will ich Ihnen jetzt ganz klar sagen.	I want to be very clear on this.
Sie, Herr Kommissionspräsident, erzählen uns: "Die Initiativen, die ich ergreifen kann, die eine überwältigende Mehrheit in diesem Haus haben, scheitern, weil die Mitgliedstaaten sie zurückweisen."	Mr Barroso, you have told us: 'The initiatives open to me, which have the support of the vast majority in this house, fail because the Member States reject them.'
Da gebe ich Ihnen jetzt einen Rat: Legen Sie sie als legislative Entwürfe auf den Tisch!	Let me offer you a word of advice: place your initiatives on the table in the form of draft legislation.
Dann bekommen Sie eine Mehrheit in diesem Haus, und der Rat kann sich nicht mehr dahinter verschanzen.	That way you will get a majority in this House and the Council will no longer have any hiding space.
(Beifall)	(Applause)
Aber verschanzen Sie sich nicht mehr hinter dem Rat!	I would ask you to please stop hiding behind the Council.
Und Ihnen, Herr Ratspräsident, will ich Folgendes sagen: Sie sagen uns, dass Sie im Rat Kompromisse zwischen Sozialisten, Liberalen, Konservativen und Christdemokraten finden.	To you, Mr Van Rompuy, I would say this: you tell us that you have succeeded in reaching compromises between socialists, liberals, conservatives and Christian democrats at Council level.
Im Rat sitzen souveräne Staats- und Premierminister.	The Council is made up of sovereign ministers of state and prime ministers.
Hier versucht ein Ratsvorsitzender, den Lissabon-Vertrag in sein Gegenteil zu verkehren.	Here we witness a President of the Council trying to turn the Treaty of Lisbon in the opposite direction.
Das Ergebnis des Lissabon-Vertrags ist nämlich, dass der Rat der Staats- und Regierungschefs immer mehr an sich zieht, gleichzeitig aber sagt: Wir entscheiden auf der Einstimmigkeitsgrundlage.	The result of the Treaty of Lisbon is that the Council of Heads of State or Government is drawing more and more power to itself, while at the same time saying: 'our decisions are made on a unanimous basis.'
Das war mit dem Lissabon-Vertrag nicht beabsichtigt.	This was not what the Treaty of Lisbon was about.
Lissabon wollte die Mehrheitsentscheidung als Regelfall in der EU.	Lisbon wanted majority decision-making to be the norm within the EU.
Sie missinterpretieren den Lissabon-Vertrag!	You are misinterpreting the Treaty of Lisbon.
(Beifall)	(Applause)
Deshalb ist es allerhöchste Zeit, dass das Europäische Parlament das Heft in die Hand nimmt und die Gemeinschaftsmethode selbst verteidigt!	For this reason it is high time for the European Parliament to take the matter in hand itself and to defend the Community method.
(Beifall)	(Applause)
