Herr Präsident! A-3021 - was soll denn das sein?	Mr President, A-3021 - what is that all about?
In Band IV Einzelplan III - ich habe großes Verständnis für Kommissare, die mit Milliarden zu tun haben - findet sich der Posten A-3021: Zuschüsse für europäische Studiengruppen und Organisationen zur Förderung der europäischen Idee.	In Volume IV, Section III - I have great understanding for Commissioners who have to deal in billions - we find budget heading A-3021: grants for European study groups and organisations advancing the idea of Europe.
A bleed' Gschicht!	What a daft idea!
Warum?	Why?
Weil sie, glaube ich, exemplarisch für Prozesse steht, die von vielen europäischen Bürgern immer wieder so dargestellt werden, dass man einen Freund kennen muss, der einen Freund kennt, damit man Geld aus Brüssel bekommt.	Because, I believe, it is symptomatic of the processes which result in many European citizens assuming that you have to have a friend who has a friend in order to get money out of Brussels.
Eine Vorrednerin hat gesagt, es hieße auch, in Brüssel liege das Geld auf der Strasse.	One of the previous speakers said that people think that the streets of Brussels are paved with cash.
Die, die dies wirklich probieren, wissen, dass dem gar nicht so ist, aber wenn man den Freund des Freundes kennt, dann ist man nahe dran.	People who genuinely try it know that this is not the case, but that, if you do know the friend of a friend, you are getting close.
Posten A-3021 gibt beredtes Zeugnis darüber ab.	Budget heading A-3021 bears ample witness to this.
Da werden einzelne Organisationen aufgelistet und andere nicht.	It lists some organisations but not others.
Ein Änderungsantrag von uns, dem Ausschuss für konstitutionelle Fragen, um für Transparenz zu sorgen, indem die Kommission den Leitfaden für Beihilfen und Zuschüsse anwendet und bei den Antragstellern und Organisationen für entsprechende Gleichbehandlung sorgt, wurde nicht übernommen.	An amendment by us, the Committee on Constitutional Affairs, which was intended to guarantee transparency by ensuring that the Commission applies the guidelines on assistance and subsidies and safeguards equal treatment of applicants and organisations, has been rejected.
Das ist tragisch.	That is a tragedy.
Ich wünschte, es wäre anders, denn es kann keine Demokratie ohne Transparenz geben.	I wish this situation could be changed, for there can be no democracy without transparency.
