, Berichterstatter. Herr Präsident! Meine Damen und Herren Kollegen!	, rapporteur.
Auch diese Verordnung hat eine Vorgeschichte. Eine Vorgeschichte, die sich schon über die gesamte letzte Legislaturperiode hin erstreckt.	Mr President, ladies and gentlemen, there is a story behind this regulation too; its history extends over the whole of the last parliamentary term.
Sie erinnern sich daran, daß damals nach Inkrafttreten des Maastrichter Vertrages erstmals innerhalb der Europäischen Union eine einheitliche Visaregelung eingeführt werden sollte.	You will remember that at that time, after the entry into force of the Maastricht Treaty, uniform rules on visas were to be introduced within the European Union for the first time.
Das heißt, für alle Staaten in der Europäischen Union sollten im Grundsatz die gleichen Visaverpflichtungen gelten für Personen, die aus Drittstaaten in die Europäische Union einreisen.	This meant that people from third countries entering the European Union were in principle to be subject to the same visa requirements in all countries in the European Union.
Damals hatte die Kommission bereits einen im großen und ganzen sehr guten Vorschlag unterbreitet, der auch im Parlament Unterstützung fand.	At the time the Commission had already made a proposal which on the whole was very good and which also received support in Parliament.
Leider hat der Rat damals diesen Vorschlag ganz grundlegend abgeändert und sozusagen alles das, was in dieser Visaliste drinsteht, für quasi unverbindlich erklärt, indem er gesagt hat, jeder kann darüber hinausgehen und auch weitere Staaten mit Visaverpflichtungen belasten oder dies eben sein lassen, er muß es nur notifizieren.	Unfortunately the Council then made fundamental changes to this proposal and more or less declared the entire visa list to be as good as non-binding when it said that anyone could go beyond it and either impose visa requirements on additional states or leave it at that; they simply had to notify this.
Damals hat das Europäische Parlament die Ansicht vertreten, daß wir dazu nicht ordnungsgemäß angehört worden sind und daß im übrigen dieses Ergebnis auch im Widerspruch zu dem steht, was der Vertrag von Maastricht eigentlich wollte.	At the time the European Parliament considered that its views had not been properly taken into account and, moreover, that this result was also contrary to what the Maastricht Treaty actually intended.
Damals haben wir geklagt.	We then instituted legal action.
Wir haben diese Klage vor dem Europäischen Gerichtshof gewonnen.	We won the case before the European Court of Justice.
Die entsprechende Verordnung des Rates wurde für null und nichtig erklärt.	The Council regulation concerned was declared null and void.
Das Ergebnis war dann, daß die Kommission uns einen erneuten Vorschlag gemacht hat, der ihrem ersten Vorschlag sehr ähnlich war, den wir im Grunde wieder positiv zur Kenntnis genommen haben innerhalb des Parlaments und der dann durch die Veränderung der Rechtslage - aus Maastricht wurde Amsterdam - in einen neuen Vorschlag münden mußte, der hier jetzt auf dem Tisch liegt und den wir erneut zu beraten haben.	The result was that the Commission made a new proposal to us which was very similar to its first proposal, to which we again gave an essentially positive assessment in Parliament, and which then, because of the change of legal base - Maastricht gave way to Amsterdam - had to be recast in a new proposal, which is now on the table here and which we must once again debate.
Nach wie vor vertritt das Parlament die Auffassung, daß die Visaliste im Rahmen dieser Visaverordnung abschließend sein muß, das heißt, daß es keine darüber hinausgehenden Ausnahmen mehr geben darf, also nicht schwarze, grüne, blaue, gelbe, graue Listen, sondern bitte nur eine Liste, und die ist verbindlich und nichts anderes.	Parliament continues to believe that the visa list in this visa regulation must be definitive, which means that there must be no more exceptions to it, so no black, green, blue, yellow or grey lists, but please just one list, one list which is binding and no other.
Das ist ein ganz entscheidender Aspekt, damit wir endlich eine einheitliche Visaregelung in der Europäischen Union bekommen.	This is a crucial point if we are finally to have uniform rules on visas in the European Union.
Darüber hinaus hat die Kommission sich an einem wichtigen Punkt bewegt, den das Parlament schon damals als wesentlich angesehen hat.	In addition, the Commission has given ground on one important point, which Parliament regarded as essential even last time round.
Es geht nämlich um die Visaverpflichtungen für die assoziierten Staaten, die sich ja im Augenblick bereits sehr eng im Beitrittsprozeß befinden, nämlich Bulgarien und Rumänien.	It concerns the visa requirements for two associated countries, which are now of course already a long way into the accession process, namely Bulgaria and Romania.
Das Parlament hat immer die Meinung vertreten, daß für diese Staaten Visafreiheit bestehen soll.	Parliament has always been of the opinion that these states should be exempt from visa requirements.
Wir haben diese Erkenntnisse daraus gezogen, daß es in diesen Staaten bei der Frage der inneren Sicherheit und vielen andere Aspekten große Fortschritte gegeben hat.	We came to this conclusion on the basis that much progress has been made in these countries on internal security and many other issues.
Inzwischen hat auch die Kommission dies übernommen, und sie schlägt vor, Bulgarien und Rumänien in die Liste der visafreien Staaten aufzunehmen.	The Commission has now also accepted this and is proposing to include Bulgaria and Romania in the list of states which are exempt from visa requirements.
Das halten wir für einen Fortschritt.	We see this as a step forward.
Offenbar ist es diesen Ländern inzwischen gelungen, auch die Kommission zu überzeugen.	Obviously these countries have in the meantime also managed to convince the Commission.
Wir können jetzt nur hoffen, daß der Rat nach Anhörung des Europäischen Parlaments nach Möglichkeit genauso entscheidet und auch hier wichtige Fortschritte zu erkennen gibt.	Now we can only hope that, if possible, after listening to the European Parliament, the Council makes the same decision and also recognises that important progress has been made here.
Meine Bitte wäre die, daß auch im Rat möglichst zügig über diese Richtlinie beraten wird.	My plea to the Council would be that it should debate this regulation as soon as possible.
Ich darf mich noch einmal herzlich bedanken beim Plenum, aber auch diesmal bei der Konferenz der Präsidenten, die entgegen den ursprünglichen Planungen diesen Bericht heute auf die Tagesordnung genommen hat, weil dadurch eben auch die Möglichkeit besteht, schnell damit fertig zu werden und ein entsprechendes Signal zu geben.	I should like once again to extend my warmest thanks to the plenary, but also this time to the Conference of Presidents, which put this report on today's agenda even though it had not originally planned to do so, precisely because this makes it possible to complete our business quickly and send out an appropriate signal.
Aus dem Rat sind im Vorfeld eine Reihe von Wünschen zu Anträgen, die wir hier übernehmen sollten, an mich herangetragen worden.	In the run-up to this debate a whole series of requests for amendments, which it was hoped we would adopt here, were sent to me from the Council.
So zum Beispiel gab es den Vorschlag, eine sogenannte Reziprozität einzuführen.	For example, there was a proposal to introduce so-called reciprocity.
Was ist das?	What is this?
Ganz einfach: Für Bürger aus einzelnen Mitgliedstaaten bestehen in Drittstaaten zum Teil Visaverpflichtungen.	Quite simply, citizens from individual Member States are subject to visa requirements in some third countries.
Dann sollten diese Mitgliedstaaten die Möglichkeit haben, gegenüber Bürgern dieser Drittstaaten sozusagen Visa verlangen zu können.	These Member States should, it is argued, have the possibility of demanding visas from citizens from these same third countries.
Ich habe das abgelehnt.	I rejected this.
