Herr Präsident! Ich höre heute immer wieder, wir würden einem Kompromiss zustimmen.	– Mr President, I keep on hearing today that we are supposed to be approving a compromise.
Bei einem Kompromiss redet man normalerweise darüber, ob das Glas halb voll oder halb leer ist. Das ist heute nicht der Fall, und deswegen werden die österreichischen Sozialdemokraten diesem so genannten Kompromiss nicht zustimmen.	The usual practice when a compromise has been reached is to talk about whether the glass is half full or half empty, but that is not the case today, and that is why this so-called compromise will get no support from the Austrian Social Democrats.
Wir haben es mit einem Rückfall in nationalstaatliche Politik zu tun – dies wurde von meinem Vorredner erwähnt.	As the previous speaker mentioned, we are facing a backward movement in policies at national level.
Die Erbsünde dieser Finanzverhandlungen lag darin, dass sechs Staats- und Regierungschefs gesagt haben, wir können mehr Europa, mehr europäische Ziele mit weniger Geld schaffen. Das geht aber weder zu Hause noch in Europa!	What was inherently wrong with these negotiations on finances was that six Heads of State or Government had said we could have more Europe, and achieve more European objectives, with less money, but that does not work – it does not work back home, and it does not work in Europe.
Man braucht nur in den Zeitungen zu blättern: So titelte eine österreichische Zeitung, der , gestern Morgen: „EU hinkt selbstgesteckten Bildungszielen weit hinterher.“ Wir haben sechs Millionen junge Menschen, die die Schulen ohne Abschluss verlassen, und dann sehen wir die Zahlen für lebenslanges Lernen, die um 42% unter den Zahlen des Parlaments liegen.	All you need to do is flick through the newspapers. Yesterday morning’s headline in the Austrian was ‘EU fails to meet its own education targets’. There are six million young people leaving school without qualifications, and, on top of that, the figures for lifelong learning are 42% down on what Parliament proposed.
Hier sehen wir, dass die Dinge nicht zusammenpassen.	It is quite clear from this that things are out of joint.
Wir werden – wenn es denn heute Mittag eine Mehrheit gibt – die Mitverantwortung für ein Budget übernehmen, das nicht unsere Handschrift trägt.	Assuming we get a majority this lunchtime, we will be assuming joint responsibility for a budget on which we have not made our mark.
Der Unterschied, den unsere hervorragenden Verhandlungsführer – ich gratuliere ihnen wirklich und sie haben alle meinen Respekt – in den letzten Monaten herausgehandelt haben, beträgt bezogen auf die Gesamtsumme dieses Budgets für sieben Jahre etwa 0,2%.	Much as I respect our negotiators – who are outstanding and I really do want to congratulate them – the difference that they have managed to make over the last few months amounts, in terms of the total amount of this seven-year budget, to something like 0.2%.
Das ist das, was das direkt gewählte Europäische Parlament bei einem derartigen Budget zustande bringt.	That is what the directly-elected European Parliament has managed to do with a budget like this one.
Das ist zu wenig, das Glas ist nicht halb voll, das Glas ist leer!	It is not enough; the glass is not half full – it is empty.
Deshalb hoffe ich, dass viele Mitglieder dieses Hauses dieser Finanziellen Vorausschau die Zustimmung verweigern werden!	That is why I hope that many Members of this House will refuse to give their endorsement to this Financial Perspective.
