Herr Präsident, die Tankerkatastrophe 'Prestige' ist entsetzlich.	Mr President, the 'Prestige' tanker disaster is an appalling tragedy.
Da ist unsere Solidarität notwendig. Sie darf nicht abstrakt, sondern muss - das sollen unsere portugiesischen und spanischen Kollegen wissen - konkret sein.	We must show solidarity here, and - as our Portuguese and Spanish colleagues should know - it must be tangible rather than abstract.
Deswegen brauchen die Region und die Menschen dort rasche europäische Hilfe.	That is why the region and the people there need assistance from Europe quickly.
Ich denke, das steht wohl außerhalb jeder kritischen Diskussion.	I do not think that anyone would question this.
Nur, dieses Unglück kann jeden Tag wieder passieren, Frau Kommissarin, weil es seit Jahren immer dasselbe Spiel ist.	We should be aware, however, that this disaster could be repeated any day, Commissioner, because for years it has been the same old story.
Die Kombination von uraltem Schrotttanker und Billigflagge - dieses Mal der Bahamas - ist in der Regel die Ursache.	The combination of an ancient tanker that is only fit for the scrap heap and a flag of convenience - this time of the Bahamas - is usually the cause.
Billigflagge ist gleichbedeutend mit schlechter Qualität, schlechtem Schiff, schlechter Technik, schlechter Mannschaft.	Flags of convenience are synonymous with poor quality, a poor vessel, poor technology and a poor crew.
In der Regel steht dann am Ende eine organisierte Verantwortungslosigkeit, so dass keiner mehr weiß, wer eigentlich wofür Schuld trägt.	Usually the story ends with a coordinated reluctance to claim responsibility so that no one knows any more who is actually to blame for what.
Das ist der Grund für Ziffer 3 unserer Entschließung, Frau Kommissarin.	That, Commissioner, is the reason for Paragraph 3 of our motion.
Sobald alle Informationen auf dem Tisch liegen, erwarten wir von Ihnen einen Bericht darüber, wer, wann, wie und warum für dieses Unglück verantwortlich war.	As soon as all of the information is on the table, we will expect to receive a report from you stating who was responsible for this disaster, when, how and why.
Ich denke, da muss auch ein Wort zu den spanischen Behörden in diesem Zusammenhang gesagt werden.	I think that a few words will also have to be reserved for the Spanish authorities in this context.
Überrascht haben mich in diesen Tagen einige Äußerungen von Verkehrsministern, die jetzt Forderungen erhoben haben.	I have been surprised at some of the statements made by ministers of transport over the last few days and at the demands that they are now making.
Offensichtlich haben diese Verkehrsminister vergessen, dass zum Beispiel die Verordnung über die Entschädigung bei einer Haftung für Ölverschmutzung, die Kommission und Parlament passiert hat, seit über einem Jahr beim Rat auf dem Tisch liegt, der bisher nicht tätig geworden ist.	Clearly these transport ministers have forgotten that, for example, the regulation on compensation in cases of liability for oil pollution, which the Commission and Parliament have passed, has been lying on the table in the Council for over a year without any action being taken.
Frau Kommissarin, Sie haben alle Unterstützung des Parlaments, diesen Herren im Rat Feuer unterm Hintern zu machen, damit wir endlich bald eine Regelung bekommen.	Commissioner, you have Parliament's full support if you want to put a bomb under these gentlemen in the Council so that we finally get legislation soon.
Wir müssen die Ölfirmen, die Reeder, die Frachteigner und die Klassifikationsgesellschaften in die Haftung für solche Unglücke nehmen.	Where incidents of this kind are concerned, we have to call to account the oil companies, the shipowners, the cargo owners and the classification societies.
Das System 'Billigflaggen' kann so nicht weitergehen, Frau Kommissarin.	The system of flags of convenience cannot continue in its present form, Commissioner.
Ich appelliere an Sie, sich hier einen Vorschlag zu überlegen.	I appeal to you to consider making a proposal on this.
Wir brauchen europäische Seeschifffahrt, wir brauchen gute europäische Schiffe mit guten europäischen Mannschaften.	We need European shipping; we need good European vessels with good European crews.
Die Billigflaggen sind in diesem System ein Krebsgeschwür.	Flags of convenience are a blight on the system.
Helfen Sie mit, es auszumerzen mit einem guten Vorschlag der Kommission!	Help to eradicate them by making a good Commission proposal.
Das Parlament wird ihn schnell behandeln.	Parliament will give it speedy consideration.
