Herr Präsident! Ich beziehe mich auf fünf Berichte - mal zwei Minuten sind zehn!	Mr President, I shall refer to five reports - and two minutes times five makes ten!
Ich gebe aber gerne zu, dass die Landwirtschaft vom Bereich der Atomkraft- und Kernenergie, wenn wir von dem Wind einmal absehen, der jetzt angesprochen ist, nicht so sehr betroffen ist.	I readily concede, though, that atomic power and nuclear energy do not affect agriculture to that great a degree if we disregard the wind, which has just been mentioned.
Von daher werde ich versuchen, mich kurz zu fassen.	I will therefore try to keep my comments brief.
Vom Grundsatz her bedauert der Ausschuss für Landwirtschaft und ländliche Entwicklung, dass es keinen eigenen Kernbereich für den Agrarsektor im sechsten Forschungsrahmenprogramm gibt, sondern dass Vorhaben auf die Kapitel Lebensmittelsicherheit, Umweltschutz und Entwicklung aufgeteilt sind.	It is on the basis of principle that the Committee on Agriculture and Rural Development regrets that there is no specifically agricultural core area in the Sixth Framework Programme, but that projects are divided up between the chapters on food safety, protection of the environment and development.
Das ist umso bedauerlicher, als wir in der Agrarpolitik einen Multifunktionalitätsanspruch haben, wo es darum geht, die Interaktion zwischen den technischen, den wirtschaftlichen, den umweltpolitischen, den sozialen und kulturellen Aspekten herauszustellen.	What makes that all the more regrettable is that we claim to have a multifunctional approach to agricultural policy, with a concern to highlight the interaction between the technical, economic, environmental, social and cultural dimensions.
Es wäre schon angemessen, hier ein eigenes Forschungspaket zu haben, zumal ja auch, was den Umfang und die Umsetzung in die Praxis betrifft, die Landwirtschaft neben der Atomenergie und neben der Pharmazie eines der großen Felder der praktischen Anwendung von Forschungsergebnissen ist.	It would be appropriate for it to have a research package to itself as, in terms of extent and practical implementation, agriculture is, along with atomic energy and pharmaceuticals, one of the major areas in which the results of research are put to use.
Außerdem geht es bei den Forschungen im Bereich Landwirtschaft und neuen Technologien im Wesentlichen immer um die Frage der Gentechnologie, wobei die Biotechnologie ein viel weiteres Feld darstellt: die Bierherstellung ist Biotechnologie, die Butterherstellung ist Biotechnologie.	Moreover, research in the area of agriculture and new technologies always essentially has to do with issues of genetic engineering, biotechnology being a much broader area in that it includes the production of both butter and beer.
Man sollte nicht meinen, die Forschungen beginnen jetzt erst, sondern sie waren die Voraussetzung für die Lebensgrundlagen und für den Genuss vergangener Generationen und auch der heutigen - viel mehr, als es diese neue Technologie signalisiert.	Let it not be thought that research is only just beginning - it was indispensable to past generations' means to live and enjoy life, and indeed to those of our own generation, and that far more so than new technology would have us believe.
Wenn wir im Zusammenhang mit neuen Technologien über Lebensmittelsicherheit sprechen, dann ist sie sicherlich eine Möglichkeit, einen Beitrag zur Lebensmittel- und Nahrungsmittelsicherheit zu erforschen und zu leisten.	If we are to talk about food safety in connection with new technologies, then it certainly offers an opportunity to explore the possibilities of the secure supply of safe food and to make a contribution to this.
Aber wir müssen auch sehen, dass neue Technologien die Lebensmittelsicherheit gefährden können.	It must be clear to us as well, though, that new technologies can endanger food safety.
Wenn es Schwierigkeiten im Lebensmittelbereich gibt, haben wir es häufig genau mit diesen neuen Technologien zu tun. In der Verwendung von Saatgut beispielsweise geht es bei der Forschung nicht, oder nicht schwerpunktmäßig um die Züchtung von Resistenzen, sondern man versucht, Resistenzbildungen durch die Genmanipulation herbeizuführen, meistens sogar als Resistenzbildung gegen Pflanzenschutz im synthetischen Bereich.	When there are problems in the food sector, we often find that they have to do with these new technologies. for example, research into the use of seeds is not, or at least not primarily, concerned with the development of resistance; rather, attempts are made to use gene manipulation to bring about the creation of resistance, mainly even to build up resistance to plant protection in the synthetic sector.
Wir haben aber eben nicht nur den chemischen Bereich, sondern wir haben auch den biologischen Bereich.	There is, though, not only the chemical sector, but also the organic sector.
Es käme darauf an, die Forschung in die Richtung zu treiben, dass sie bei den natürlichen Substanzen nach Möglichkeiten des Pflanzenschutzes sucht.	If only this were about getting research to investigate natural substances with a view to finding potential ways of protecting plants.
Es käme darauf an, die Resistenzbildung im Saatgutbereich durch die Forschung im natürlichen Entwicklungsprozess des Saatgutes voranzutreiben, und weniger auf Schwerpunktbildung im neuen Gentech-Bereich.	If only this were about improving resistance in seed by means of research into the natural process of seed development, and not so much about mapping out core areas in the new field of genetic engineering.
Zum anderen haben wir das Problem, dass es bei der Anwendung der neuen Gentechnologie zu Kontamination kommt, die man zunächst seitens der Forschung in den Firmen, die in diesem Sektor tätig sind, ausgeschlossen hat.	On the other hand, we have the problem that the use of the new genetic engineering leads to contamination, which researchers for the firms that operate in this area had initially ruled out.
Das Überspringen von gentechnisch manipuliertem Raps auf ein verwandtes Unkraut wurde vorher ausgeschlossen, jetzt ist es aber doch passiert!	The crossover of genetically modified rape onto a related weed was formerly considered impossible, yet now it has happened.
