. – Herr Präsident!	.
Auch ich verneige mich im Namen der Verts/ALE-Fraktion respektvoll vor den Toten, Verletzten und den Leidbetroffenen dieser Katastrophen, die wir als Naturkatastrophen bezeichnen, die aber oft von Menschenhand zumindest mitverschuldet sind.	Mr President, I too wish to pay my respects and those of the Verts/ALE Group to those killed, injured, or otherwise suffering from the effects of these calamities, for which – although we describe them as ‘natural disasters’ – human action must bear at least some share of the blame.
Und ich denke, dass besonders die Bilder aus den USA, die wir in den letzten Tagen gesehen haben, zeigen, dass wir als Politiker eine große Verantwortung haben, das Menschenmögliche zu tun, um solche Katastrophen zu verhindern oder ihre Folgen zu mindern.	In particular, as I see it, the images we have seen from the USA over recent days show that we politicians have the great responsibility of doing everything humanly possible to prevent such calamities or to alleviate their effects.
Herr Dimas, ich hätte zwei oder drei konkrete Fragen an Sie.	I have two or three practical questions I would like to put to Commissioner Dimas.
Die erste betrifft den Hochwasserschutz.	The first has to do with protection against flooding.
Besonders aus Österreich kamen Klagen, dass die grenzüberschreitende Zusammenarbeit, z. B. an der Donau, verbesserungsfähig ist.	We heard, particularly from Austria, complaints to the effect that there was room for improvement in cross-border cooperation, for example on the Danube.
Könnten Sie vielleicht noch einmal spezifischer auf die Instrumente der EU in diesem Bereich hinweisen?	Could you, Commissioner Dimas, say something more, and more specific, about what instruments the EU possesses to deal with this?
Was die Waldbrände in Portugal betrifft: Das ist bereits das zweite Jahr, in dem die Situation so extrem war.	Turning to the forest fires in Portugal, this is the second year that we have been faced with such an extreme situation.
Haben Sie schon erste Erfahrungen mit Maßnahmen, die letztes Jahr in den einzelnen Gegenden eingeleitet wurden?	Last year, measures were introduced in the individual locations; do you have as yet any initial findings relating to them?
Haben diese Maßnahmen dieses Jahr gegriffen?	Were these measures effective this year?
Wenn wir jetzt von neuen Geldern sprechen, müssen wir natürlich auch wissen, welche Maßnahmen greifen und welche nicht.	If we are now to talk in terms of new funding, it follows that we have to know which measures are effective and which are not.
Ich will aber auch vor allem den Gedanken von Herrn Prodi aufgreifen.	Another thing I particularly want to do is to take up Mr Prodi’s idea.
Es erstaunt mich, Herr Dimas, dass Sie das in Ihrer Rede nicht offensiver angegangen sind. Die Klimawissenschaftler sagen uns extreme Trockenheit in Südeuropa voraus.	I am astonished, Commissioner Dimas, by the lack of any more proactive approach in your speech.
Sie sagen uns auch Hochwasser und extreme Wetterereignisse in Zentraleuropa voraus. Und sie sagen uns auch, dass die Stärke und die Wirkungskraft von Hurrikans und Taifunen mit der Klimaveränderung weiter zunehmen werden.	Climatologists are predicting extreme drought in Southern Europe, as well as flooding and extreme weather phenomena in Central Europe, not to mention that climate change will make hurricanes and typhoons even more powerful and even more devastating.
Es gibt diesbezüglich eine ganze Reihe Publikationen von Klimawissenschaftlern.	They have produced a whole range of publications on the subject.
Ich frage Sie, Herr Dimas: Müssen wir nicht den vielen guten Worten im Klimaschutz endlich auch mehr Taten folgen lassen?	Let me ask you, Commissioner Dimas, whether we ought not, at last, to do more about climate change, on top of all the many things that are said about it?
Wo stehen wir mit einem zweiten Europäischen Programm für Klimaänderungen, und wie wollen Sie die Klimaverhandlungen für Montreal im Herbst und Winter weiter aktivieren?	Where have we got to with the second European Climate Change Programme, and how do you intend to inject more life into the climate talks in Montreal this autumn and winter?
Wenn wir Klimaschutzmaßnahmen treffen und sie intelligent anlegen, dann werden dieselben Maßnahmen auch unsere Abhängigkeit vom Erdöl reduzieren und dazu beitragen, in unseren Städten die Luftqualität zu verbessern.	If we decide on measures to protect us against climate change and organise them in an intelligent way, these self-same measures will reduce our dependence on crude oil and help to improve the quality of the air in our towns and cities.
Vielleicht sollte die Kommission gerade einmal so eine Win-Win-Win-Situation genauer beleuchten.	Perhaps the Commission should shed some light on the details of what would be a win-win-win situation.
