Herr Präsident, Herr Kommissar, Herr Ratspräsident! Ich habe zwei Vorbemerkungen.	Mr President, Commissioner, Mr Van Rompuy, I have two preliminary remarks to make.
Zum Ersten möchte ich mich als österreichischer Abgeordneter recht herzlich bedanken, dass Sie in den letzten beiden Tagen Österreich einen Besuch abgestattet haben und auch den nationalen Abgeordneten Rede und Antwort gestanden haben, wo wir schon die Möglichkeit hatten, über Projekt zu diskutieren.	First of all, as an Austrian MEP, I would like to offer my truly heartfelt thanks for the fact that you paid a visit to Austria over the last two days and also engaged with the national parliamentarians, who have already had the opportunity to discuss this project.
Zum Zweiten möchte ich meinen Kollegen Reul entschuldigen, dem diese Redezeit zustand, der aber in den Ausschuss gehen musste, weil zur gleichen Zeit mehrere Aufgaben wahrzunehmen hatte.	Secondly, I would like to offer Mr Reul's excuses. This was his speaking time, but he had to go to committee, as we had several jobs to do at the same time.
Zu der heutigen Debatte: Erstens zum Rat: Ja, es hat bei diesem Rat eine Lösung gegeben.	When it comes to today's debate, first of all I want to say to the Council, yes, a solution was reached at this Council.
Aber es hat den Staats- und Regierungschefs der Mut zu einer rein europäischen Lösung gefehlt.	Yet the Heads of State or Government lacked the courage to opt for a purely European solution.
Wir hätten bei dieser Lösung den IWF nicht an Bord gebraucht.	With such a solution, we would not have needed to involve the IMF.
Die Kriterien, wie man zu Geld kommt, sind klar.	The criteria when it comes to money are clear.
Aber wir müssen als Europa selbst aktiv sein können, wenn wir innerhalb der Europäischen Union Probleme haben.	Yet we - Europe - must take action ourselves if we have problems within the European Union.
Wir brauchen mehr europäische Lösungen.	We need more European solutions.
Mein zweiter Punkt ist Europa 2020.	My second point concerns Europe 2020.
Europa 2020 ist kein Ziel, es muss ein Instrument , um unsere Ziele zu erreichen, auch als Konsequenz aus der Wirtschafts- und Finanzkrise.	Europe 2020 is not an objective. It must be an instrument to achieve our objectives, including as a consequence of the economic and financial crisis.
Diesem Europa 2020 fehlen die Projekte, ihm fehlen die klaren Instrumente und es fehlt im Moment noch der politische Wille, es vom Ziel zur Realität werden zu lassen.	This Europe 2020 lacks the projects, the clear instruments and, at the moment, the political will to have these objectives become reality.
Mein dritter Punkt: Herr Ratspräsident, ja, der Lissabon-Vertrag reicht nicht aus, und es ist mehr intergouvernementale Zusammenarbeit notwendig.	My third point, Mr Van Rompuy, is that the Treaty of Lisbon is not enough, and that more intergovernmental collaboration is needed.
Aber wir wollen nicht intergouvernementale Zusammenarbeit auf der Grundlage von Sarkozy und Merkel, ohne das Europäische Parlament und ohne die Bürger.	However, we do not want intergovernmental collaboration based around President Sarkozy and Chancellor Merkel, without the European Parliament and without the citizens.
Was wir mit dem Lissabon-Vertrag erreicht haben, darf auch bei der Bewältigung der Zukunftsfragen nicht beseitigt werden!	What we have achieved with the Treaty of Lisbon must not be brushed aside, even when tackling future issues.
