Herr Präsident, meine sehr verehrten Damen und Herren, mein verehrter Vorredner!	Mr President, ladies and gentlemen, Mr Karas, I cannot resist commenting on your speech.
Ich kann mir eine Bemerkung an Herrn Karas nicht verkneifen. Überall dort, wo wir bereits heute in der Europäischen Union unsere Wirtschaftspolitiken klug koordinieren, haben wir riesige Erfolge zu erzielen.	In all instances where we already have sensible coordination of our economic policies in the European Union, we have chalked up enormous successes.
So haben die öffentlichen Haushalte in der Union im letzten Jahr insgesamt erstmals seit Jahrzehnten einen Überschuss ausgewiesen, und dies gilt auch, Frau Kollegin Peijs, wenn wir die Sondereinnahmen aus dem Verkauf von Mobilfunklizenzen in dieser Rechnung nicht berücksichtigen.	Government budgets over the last year have for the first time in decades shown a surplus, and that still holds good, Mrs Peijs, if we exclude exceptional income from the sale of mobile telephone licences.
Ich möchte nicht, dass wir dies heute hier in dieser Debatte klein reden.	I do not think that we should play this down in today's debate.
Die Erfolge können im laufenden Jahr nicht genauso groß sein.	The success stories in the current year will not be so great.
Das liegt an dem verlangsamten Wachstum in der Europäischen Union, aber dies ist kein Grund, die Inflationstrommel zu rühren.	That is because growth in the European Union has slowed down, but that is no reason to start harping on about inflation.
Dies ist kein Grund, in Panik zu verfallen.	Nor is it any reason to start panicking.
Kein Mensch kann die Kolleginnen und Kollegen der Fraktion der Europäischen Volkspartei (Christdemokraten) und europäischen Demokraten beruhigen.	No one can calm down our friends in the Group of the European People's Party (Christian Democrats) and the European Democrats.
Kein Mensch - in diesem Haus jedenfalls - möchte Schwarzgeld drucken.	No one - not in this House anyway - wants to print money.
Niemand möchte Geld drucken, um finanzpolitische Probleme zu lösen.	No one wants to print money as a way of solving finance policy problems.
Wir wollen Geld drucken, um die Bürgerinnen und Bürger rechtzeitig mit unserer neuen Währung - mit dem Euro - zu versorgen, aber niemand redet hier einer unsoliden Haushaltspolitik das Wort.	We only want to print money to provide the public with our new currency, the euro, on time, but nobody here is talking about an inadequate budgetary policy.
Das wissen Sie aber auch.	However, you know that too.
Darum geht es gar nicht!	That is not what is at stake here!
Im Kern geht es um eine völlig andere Frage.	Essentially, it is about something quite different.
Sie wissen sehr genau, dass diese Konsolidierungserfolge, von denen ich spreche, in der Vergangenheit nicht durch Einnahmenerhöhungen, sondern durch Ausgabenkürzungen erfolgen konnten.	You know very well that, in the past, these budget consolidation successes that I have been talking about were not achieved by increasing income but by cutting expenditure.
Diese Ausgabenkürzungen haben zu diesem positiven Ergebnis geführt, aber auch zu negativen Ergebnissen.	Those expenditure cuts led to a positive result, but also had negative affects.
Die öffentliche Infrastruktur liegt in vielen Bereichen brach.	In many areas, public infrastructure is in a state of decay.
Die sozialen Netze sind vielerorts angespannt, und wir haben in unserem Investitionsverhalten sowohl im privaten Sektor als auch im öffentlichen Sektor im Vergleich zu unseren Mitbewerbern auf der globalen Szene entscheidende strategische Lücken.	In many places social networks are under great pressure and our investment patterns both in the private sector and in the public sector have led to key strategic deficiencies in comparison with our competitors on the world scene.
Wir haben jetzt eine Situation, wo die öffentlichen Einnahmen aus konjunkturellen Gründen zurückgehen werden.	We now find ourselves in a situation in which government receipts will decline for cyclical reasons.
Jetzt geht es um die entscheidende Frage: Was machen wir in einer solchen Situation?	So the vital question is this: what should we do in that situation?
Wollen Sie wirklich allen Ernstes weiteren pauschalen Einnahmenkürzungen und Ausgabenkürzungen der öffentlichen Hand das Wort reden?	Are you really seriously envisaging further global cuts in public sector income and expenditure?
Wollen Sie etwa über Haushaltssperren dafür sorgen, dass die notwendigen Investitionen in unser aller Zukunft unterbleiben?	Do you really want to freeze budgets so that we fail to make the investment necessary for our future?
Wollen Sie in eine weitere prozyklische Verwerfung in der Europäischen Union eintreten, die uns insgesamt langfristig vom Wachstumszug abkoppelt?	Do you want the European Union to enter a further procyclical phase which will prevent us from benefiting from long-term growth overall?
Ich kann mir nicht vorstellen, dass Sie das wollen.	I cannot imagine that that is what you want.
Herr von Wogau hat heute Mittag gefragt: Was wollen die Sozialisten eigentlich?	Mr von Wogau asked me at lunchtime today what the Socialists really want.
Ich gebe Ihnen die Antwort: Wir wollen eine solche Angsthasenpolitik verhindern!	I can give him an answer: we want to stop these scare tactics!
Wir wollen Schluss machen damit, dass der Aufschwung in Europa immer nur einen kurzen Atem hat, weil mit Angsthasenpolitik auf Seiten der Notenbanken oder mit Angsthasenpolitik auf Seiten der Regierungen die langfristige Chance verspielt wird.	We want to put an end to talk that recovery in Europe is always just short-term, because if the central banks or governments are running scared, we will lose long-term opportunities.
Wir haben Änderungsanträge unterbreitet, die sinnvoll sind.	We have tabled amendments that we think are sensible.
Finden Sie mit uns zu Kompromissen, dann gehen wir einen gemeinsamen Weg.	If you can agree to compromise with us, then we can find a common path.
Wenn dies nicht möglich ist, gehen wir keinen gemeinsamen Weg!	And if that is not possible, we will go our separate ways!
