Herr Präsident, es ist geradezu surrealistisch, was hier passiert.	Mr President, this situation is nothing short of surreal.
Wir sind natürlich dafür, daß ein Luftschlag im Kosovo oder gegen die Serben stattfindet.	Obviously, we are in favour of air strikes in Kosovo or on the Serbs.
Nur frage ich euch, wer darf das entscheiden?	The question is, who can make the decision?
Das kann nur auf Vorschlag der UNO, auf Beschluß des Sicherheitsrats auf Vorschlag von Annan geschehen.	It can only happen if there is a proposal from the United Nations, a Security Council decision on the basis of a proposal by Mr Annan.
Jetzt sagt ihr: Wenn die dazu nicht in der Lage sind, dann ..!	But, now you are saying, if they are not in a position to do this, then..!
Dann sage ich euch, wenn wir so stark sind, wie wir hier behaupten, warum hat Herr Rühe, noch amtierender Verteidigungsminister der Bundesrepublik, der für einen Luftschlag ist, seinen Truppen in Bosnien noch nicht den Auftrag gegeben, Karadzic zu fangen?	I tell you, if we are as strong as we are claiming to be, why has Mr Rühe - still the German Minister of Defence - who is in favour of air strikes, not yet ordered his troops in Bosnia to catch Karadzic?
Da sind doch 50 000 Soldaten.	There are 50 000 soldiers there.
Man kann ihn fangen, aber wir haben es nicht gemacht und plötzlich sind wir so realistisch und wollen Milosevic mit Luftschlägen drohen.	It is possible to catch him, but we have not done so, and all of a sudden we are being all pragmatic and wanting to threaten Milosevic with air strikes.
Jeder weiß, daß das ein Schlag der Impotenten ist.	Everyone knows that this is not the way heroes behave.
Da hat Frau van Bladel recht.	Mrs van Bladel is right there.
Wenn man sagt, man will im Kosovo mitreden, dann muß man bereit sein, 30 000 Soldaten eine Zeitlang dort zu belassen.	If we want to have a say in Kosovo, then we have to be prepared to leave 30 000 soldiers there for a certain period of time.
Da hast Du recht, Doris Pack!	You are right there, Mrs Pack.
Man muß das dann aber auch einlösen.	But then we have to actually do what we say.
Aber dann reden wir nicht über einen Luftschlag, der überhaupt nichts lösen wird, sondern wir reden Tacheles über das, was wir machen müssen.	And that means not discussing air strikes, which will not solve anything, but doing some straight talking about the action we need to take.
Dann frage ich euch, warum haben wir es in Bosnien nicht gemacht?	I ask you: why did we not do this in Bosnia?
Warum setzen wir nicht durch, daß alle, die nach Den Haag müssen, auch nach Den Haag gehen?	Why do we not make sure that all those who should go to The Hague actually do go there?
Wir haben von Karadzic gesprochen.	We mentioned Karadzic.
Deswegen glaube ich euch allen nicht.	That is why I do not believe any of you.
Ich glaube euch nicht, wenn ihr sagt, ihr wollt die Lösung!	I do not believe you when you say that you want a solution!
Ihr wißt, daß es unerträglich ist im Kosovo.	You know that the situation is unbearable in Kosovo.
Das ist für uns alle unerträglich.	This fact is unbearable for all of us.
Aber Du, Titley, hast irgendwelche Aktien bei Blair.	But, Mr Titley, you have a stake in Mr Blair.
Sie alle haben irgendwo Aktien bei Regierungen, die wir nicht einlösen können.	You all have a stake in some government somewhere, on which we are not getting a return.
Plötzlich markieren wir hier die Starken.	All of a sudden, we are playing at being strong.
Ich sage euch, die Lösung ist dramatisch, die Situation ist dramatisch, aber sie wird nicht durch ein Parlament gelöst, das so bigott ist, das in einer dramatischen Situation immer nach vorne flieht und nie in der Lage ist, das, was wir realisieren können, durchzusetzen.	I tell you, it is a drastic solution and a drastic situation, but it will not be solved by a Parliament which is so bigoted, that faced with a drastic situation it always responds in the same way and is never in a position to implement what we have the potential to do.
Deswegen bitte ich euch um eine starke Entschließung, aber auch um eine starke Politik in euren Ländern, damit sich eure Regierung nicht von Rußland erpressen läßt.	That is why I ask you to deliver a strong resolution, but also to conduct a strong policy in your countries, to prevent your government from allowing itself to be blackmailed by Russia.
Herr van den Broek, wenn Sie so klar mit uns reden, dann reden Sie auch mit Herrn Primakow einmal ganz klar.	Mr van den Broek, if you can speak so plainly with us, then speak plainly with Mr Primakov for once as well.
Die Lösung liegt auch in Moskau.	The solution is also to be found in Moscow.
No money if there is no change in Kosovo , in welcher Sprache Sie es auch immer wollen!	'No money if there is no change in Kosovo, ' in whatever language you like.
Das müssen Sie den Russen sagen.	That is what you need to tell the Russians.
Sagen Sie es ganz klar, und das soll Trittin und das soll auch Fischer und das sollen alle mal sagen.	Say it clearly, and your colleagues Trittin and Fischer should say it, and all the rest.
Dann ändert sich was im Kosovo.	Then there will be change in Kosovo.
