Herr Präsident! Die Rückverfolgbarkeit der Nahrungsmittel vom Feld bis zur Ladentheke ist ein Muss.	Mr President, the traceability of foods from the field to the supermarket shelf is a must.
Parallel dazu muss es für die Produzenten einen freiwilligen Weg für eine transparente Qualitätssicherung geben, bei dem den Millionen Verbrauchern eine hohe Sicherheit garantiert wird.	At the same time, there must be a voluntary quality assurance procedure for producers, which offers our millions of consumers high safety standards.
Leider ist die Vorgehensweise in den Mitgliedstaaten noch zu unterschiedlich und zu unübersichtlich.	Unfortunately, the procedure used in the Member States is too disparate and too unclear.
Ohne strenge Kontrolle wird es nicht gehen, wobei jeglicher Missbrauch bei der Etikettierung auszuschalten ist.	Without strict controls there will be no way of preventing all forms of abusive labelling.
Die Verbraucher fordern natürliche Lebensmittel und sind gegen den Einsatz jeglicher Technologie bei der Lebensmittelerzeugung.	Consumers want natural foods and are against the use of any technology in the production of food.
Die Kennzeichnung und die Rückverfolgbarkeit garantieren nicht automatisch Sicherheit.	Labelling and traceability do not automatically guarantee safety.
Die größte Gefahr liegt in den Zulassungsverfahren genetisch veränderter Organismen in den Lebensmittelketten der Gemeinschaft, wenn diese im Widerspruch zu den allgemeinen Produktstandards des WTO-Regelwerks stehen.	The greatest danger lies in the procedure for licensing genetically modified organisms in the food chain in the Community, if this contradicts the general product standards laid down in WTO rules.
Die Vorhabenplanung der Kommission in Bezug auf die Reform der GAP verdichtet sich täglich.	The Commission's plans for reforming the CAP are proliferating daily.
Die angedachten Veränderungen sind eine an die Mitbestimmungsrechte der Mitgliedstaaten und an deren Interessenverbände gerichtete Provokation.	The planned amendments are a challenge to the Member States' right of codetermination and to their interest groups.
Darüber hinaus wird die Landwirtschaft zu einer Art Beschäftigungsgesellschaft umfunktioniert, indem Verwaltungs- und Kontrollsysteme mehr an Bedeutung gewinnen als die gute fachliche Praxis.	And farming is being turned into a sort of employment agency, with administration and control systems gaining in importance over good, professional practice.
Die Neuauflage über die Größendegression gehört in die Rubrik von politischen Fehlentscheidungen und ist deshalb inakzeptabel.	The new size reductions required are yet another political blunder and are therefore unacceptable.
Der vorliegende Bericht weist weit in die Zukunft. Das sollte eine Reform auch von sich behaupten können.	This report looks a long way into the future and so should a reform.
