Herr Präsident, liebe Frau Vizepräsidentin, lieber Berichterstatter, liebe Kollegen!	.
Ich möchte dem Kollegen Paolo Costa ein großes Lob aussprechen, nachdem wir uns jahrelang in diesem Hause sehr heftig über die Frage gestritten haben, was der richtige Weg zur Anlastung von Wegekosten ist. Es ist ihm gelungen, mit seinem Bericht einen breiten Konsens zu erreichen.	Mr President, Vice-President of the Commission, Mr Costa, ladies and gentlemen, I want to give high praise to the rapporteur for his success in achieving a broad consensus with his report, after we have spent years in this House hotly debating the right way to charge for transport infrastructure costs.
Frau Kommissarin, Frau Vizepräsidentin, ich hoffe, dass Sie morgen nach der Abstimmung noch einmal alle Entwürfe zum Weißbuch der Verkehrspolitik durchgehen und überprüfen, ob das der Linie entspricht, die dieses Haus vorschlägt.	Commissioner, Vice-President, I hope that after the vote tomorrow you will peruse all the drafts for the White Paper on transport policy again and check whether they follow the same lines as proposed by this House.
Denn die Kommission macht ja normalerweise immer Vorschläge unter Berücksichtigung der Mitgliedstaaten, und vielleicht in Zukunft auch unter stärkerer Berücksichtigung des Parlaments.	After all, normally the Commission's proposals always take account of the Member States' views, and perhaps in future they will also take more account of Parliament's views.
Ich glaube, dass der Bericht Costa Anlass bietet, manche liebgewonnenen Gewohnheiten in den Dienststellen noch einmal zu überdenken.	I believe that the Costa report offers an opportunity to re-think some of the habits the various departments have grown so fond of.
Ich hoffe auch, dass wir das Thema des Weißbuchs nicht mit dem Thema der transeuropäischen Netze vermischen.	I also hope that we do not mix up the subject matter of the White Paper with the subject of the trans-European networks.
Die Revision der transeuropäischen Netze steht an, es sind beides gewichtige Themen.	We are about to review the trans-European networks; these are both important subjects.
Sie dem Parlament in einem Paket vorzulegen, wäre meiner Meinung nach äußerst unklug, weil es sich doch um separate Themen handelt.	To present them to Parliament as a single package would, in my view, be extremely unwise since they are in fact separate subjects.
Erlauben Sie mir zum Bericht Costa nur wenige Anmerkungen.	Allow me to make just a few comments on the Costa report.
Im Änderungsantrag Nr. 1 ist klar ausgedrückt, dass wir nutzungsabhängige Wegekostenerstattungen haben wollen, die sich anhand von Bau-, Ausbau- und Verbesserungskosten belegen lassen.	Amendment No 1 makes it quite clear that we want use-based transport charging, which can be verified on the basis of the construction, expansion and improvement costs.
Darum geht es zunächst.	That is the first issue.
Bei der Harmonisierung dieser Wegekostenanlastung gibt es zwei Ziele, die man nicht aus den Augen verlieren darf.	So there are two aims of which we must not lose sight when we harmonise these transport infrastructure charges.
Erstens, dass man endlich den Binnenmarkt in diesem Bereich verwirklicht.	Firstly, we must finally achieve a single market in this area.
Wenn Sie nämlich bedenken, dass wir immer noch riesige Wettbewerbsverzerrungen wegen unterschiedlicher fiskaler und anderer Belastungen zwischen den Mitgliedstaaten haben, und dies 8 - 9 Jahre nach der Vollendung des Binnenmarktes am 31.12.1992, dann stellt sich unweigerlich die Frage der Wettbewerbsgleichheit.	For when you think that we still have enormous distortions of competition because of divergent fiscal and other charges between the Member States, a whole 8-9 years after the completion of the single market on 31 December 1992, then the question of equal competition is bound to arise.
Zweitens sind wir eigentlich alle der Auffassung, dass nach den explosionsartigen Erhöhungen der Erdölpreise im letzten Jahr, wie immer wir umstellen wollen, um ein faireres, umweltgerechteres System zu haben, die Gesamtbelastung für die Unternehmen nicht steigen darf.	Secondly, we really all think that after the meteoric rises in oil prices over the past year, in whatever way we want to convert and achieve a more fair and environmentally compatible system, the total charge for undertakings must not rise.
Wir wollen keine Preistreiberei haben.	We do not want any forcing up of prices.
Der letzte Punkt: Was die externen Kosten angeht, darf ich um zwei Dinge bitten.	Last point: in relation to external costs I have two requests.
Erstens, das Parlament hat vor ungefähr drei Jahren in toto beschlossen, auf wissenschaftlicher Basis auszuarbeiten, was die externen Kosten eigentlich sind.	Firstly, about three years ago, Parliament decided in toto to work out on a scientific basis what the external costs actually are.
Wie sind sie berechenbar und wie sind sie anlastbar?	How can they be calculated and how can they be charged?
Diesen Bericht haben wir nie bekommen.	We never received that report.
Zweitens, dass man bei der Berechnung dieser externen Kosten auch differenziert.	Secondly, we must differentiate when we calculate these external costs.
Nur ein Beispiel: die Staukosten.	To give just one example: congestion costs.
Es wäre absurd, wenn ein Unternehmen dafür belastet würde, dass die Fahrer im Stau stehen, weil die Mitgliedstaaten die Straßen nicht ausgebaut haben, und deshalb das Unternehmen, das höhere Benzin- und Arbeitskosten hat, noch zusätzliche Abgaben an den Staat leisten soll, der den Stau verursacht hat.	It would be absurd to charge an undertaking for the fact that the drivers are stuck in a tail-back because the Member States have not expanded the roads, so that the undertaking not only has higher petrol and working costs but also has to pay additional charges to the Member State responsible for the congestion.
