– Herr Präsident! Ich habe eine Frage an den Herrn Kommissar.	Mr President, I have a question for the Commissioner.
Herr Kommissar, ich will Sie wirklich nicht provozieren. Ihre Antwort ist mir aber ein echtes Anliegen.	Commissioner, I really do not want to provoke you, but your answer does give me real cause for concern.
Im Änderungsantrag 18 steht geschrieben: „Außerdem wird die Forschung mit Stammzellen von Embryos oder Föten aus spontanen oder medizinisch notwendigen Schwangerschaftsabbrüchen finanziert.“ Es gibt ein Gerücht, dass die Kommission so etwas bereits tut.	Amendment 18 states that, ‘In addition, research on embryo or foetal stem cells deriving from spontaneous or therapeutic abortion may be funded.’ Rumours have it that the Commission is already doing something of the kind.
Sehen Sie, Abtreibung ist legal – in Österreich bis zum dritten Monat.	You see, abortion is legal – up to the third month in Austria.
Da schlägt das Herz das Kindes bereits.	By then, the child’s heart is already beating.
Ist das Kind behindert, geistig oder körperlich, kann es bis zum neunten Monat abgetrieben werden.	If the child is handicapped, whether mentally or physically, it can be aborted up to the ninth month.
Werden wir dann also irgendwann einmal sagen, wir wollen ja Leben retten, und das Kind müsste sowieso sterben?	Will there be some point at which we say that we want to save life, even if the child had to die anyway?
Werden wir das dann auch mit einem drei Monate alten Kind, dessen Herz schlägt, oder mit einem neun Monate alten Kind tun, weil es ja sowieso sterben müsste?	Will we also do that with a three-month old child whose heart is beating, or with a nine-month-old child whose death is inevitable?
Es wird legalerweise abgetrieben.	Abortion is carried out quite legally.
Wissen Sie, für mich ist diese Argumentation deshalb so erschreckend, weil ich sie vor einigen Jahren bereits gehört habe, als wir in Wien einem ehemaligen Nazi-Arzt den Prozess gemacht haben.	You know, the reason why I find these arguments so horrifying is that I heard them a number of years ago when a former Nazi doctor was on trial in Vienna.
Er hat in der Nazi-Zeit Versuche an schwer geistig behinderten Kindern vorgenommen.	During the Nazi era, he carried out experiments on children with serious mental handicaps.
Seine Argumentation, mit der er sich gerechtfertigt hat, war, diese Kinder hätten sowieso sterben müssen, und er habe anderen Menschen helfen wollen.	The argument by which he justified his actions was that these children would have to die anyway, and that he wanted to help other people.
Ein Wort zu Herrn Cappato.	Let me say something to Mr Cappato.
Lieber Marco Cappato, Sie sind ein so charmanter Bursche!	My dear Mr Cappato, you are such a charming chap!
In dem Augenblick, als das Ei Ihrer Mutter mit dem Samen Ihres Vaters zusammenkam, als Sie ein ganz kleiner Embryo waren, da waren Sie so charmant, wie Sie es jetzt sind, so fesch, wie Sie es jetzt sind, Ihre Stimme war so wohltönend, wie sie heute ist.	Even at the moment that your mother’s ovum came together with your father’s sperm, even when you were a tiny embryo, you were just as charming, just as handsome as you are now, your voice was as easy on the ear as it is today.
Sie waren bereits einmalig.	You were already unique.
Nie vorher haben Sie die Chance gehabt, auf die Welt zu kommen. Nicht in alle Ewigkeit wird es noch einmal einen Marco Cappato geben.	Never before had you had the chance to come into the world, and never again will there be another Marco Cappato.
Sie waren als Embryo bereits eine Persönlichkeit.	Even as an embryo, you were already a personality.
Und Frau Matikainen-Kallström: Sie haben doch ein kleines Baby!	And Mrs Matikainen-Kallström, you have a little baby!
Dieses Baby war ein Embryo, und es war Ihr Baby.	This baby was an embryo, and it was your baby.
Das Lachen Ihres Kindes, die Hautfarbe Ihres Kindes, die Augenfarbe Ihres Kindes, all dies war im Embryo bereits vorhanden.	Your child’s laughter, the colour of its skin and eyes, all were already present in the embryo.
Ich glaube, dass niemand sagen würde, er wäre bereit, sein Kind oder auch nur sein Kind als Embryo zu opfern, um irgend jemand anderen dafür zu retten.	I do not believe that anyone would say they were prepared to sacrifice their own child, even only as an embryo, for the sake of saving someone else.
