. – Herr Präsident!	.
Der Ausschuss für regionale Entwicklung hat mit großer Mehrheit den finanziellen Ansatz der Kommission unterstützt.	Mr President, the Committee on Regional Development has, by a large majority, endorsed the Commission’s financial estimates.
Die europäische Kohäsions- und Regionalpolitik ist meines Erachtens die mit Abstand erfolgreichste und für die Bürgerinnen und Bürger sichtbarste Politik der Europäischen Union.	In my opinion, the European regional and cohesion policy is the European Union’s most successful policy by far and the one with the most immediate public visibility.
Angesichts der im Moment deutlich werdenden der Bürgerinnen und Bürger zur europäischen Politik sollten wir uns darauf konzentrieren, diese erfolgreiche Politik in den siebenjährigen Mehrjahresprogrammen und mit einer entsprechenden finanziellen Unterstützung weiterzuführen.	In view of the manifest public detachment from European politics at this present time, we should focus on the continued pursuit of this successful policy through the seven-year multiannual programmes and support it with appropriate funding.
Den Ansatz von Berichterstatter Böge, dabei für die Kohäsionspolitik 0,41 % des BNE festzuschreiben, begrüße ich außerordentlich, ebenso die Deckelung bei 4 %.	I warmly welcome the proposal made by the rapporteur, Mr Böge, that 0.41% of gross national income be guaranteed for the cohesion policy, and also that the 4% cap should remain in force.
Unterstützung gibt es auch für das spezielle Problem der vom statistischen Effekt betroffenen Regionen und der Grenzregionen.	We also support measures to deal with the special problem of regions subject to the statistical effect and border regions.
Natürlich ist allen hier im Haus klar, dass wir mit Steuermitteln arbeiten.	The entire House, of course, is well aware that we are operating with tax revenue.
Deshalb unterstützt der Ausschuss für regionale Entwicklung ausdrücklich die konsequente Anwendung der N+2-Regel und befürwortet eine Übernahme in den Kohäsionsfonds.	This is why the Committee on Regional Development firmly supports the strict application of the N+2 rule and advocates its extension to the Cohesion Fund.
Europäische Steuergelder müssen effizient ausgegeben werden und sollten nicht irgendwo auf Halde liegen.	European tax revenue must be spent efficiently and not poured down black holes somewhere or other.
Die positiven Ergebnisse der Anwendung der N+2-Regelung sollten allerdings auch vom Rat entsprechend zur Kenntnis genommen werden.	I might add that the Council should take note of the benefits that application of the N+2 rule brings.
Gleichzeitig möchte ich aber auch allen Kollegen, die mehr Geld fordern, sagen: Die Beanspruchung einiger Mitgliedstaaten ist enorm.	At the same time, though, I should like to say to all those Members who are calling for more money, that the financial pressure on some Member States is extremely heavy.
Auch dafür müssen wir vernünftige Grenzen setzen.	This is another area where we need to set reasonable limits.
Deshalb unterstützen wir mit großer Mehrheit den Ansatz des Berichterstatters, in einigen Bereichen weniger Mittel einzusetzen oder neue Verhandlungsspielräume zu eröffnen.	This is why the great majority of our committee supports the rapporteur’s view that in some areas the allocation of resources should be cut back or new scope be created for negotiation.
