Mein Name ist tatsächlich Quisthoudt-Rowohl, Herr Vorsitzender! Herr Präsident!	Mr President, officially this is an oral question to the Council.
Formal ist dies eine mündliche Anfrage an den Rat. Aber es sind hier Vertreter der Kommission anwesend, und ich möchte das Thema doch noch ein wenig vertiefen.	But Commission representatives are present and I would like to go into the matter in a little more depth.
Ich möchte nochmal wiederholen, was wir alle wissen: Am 26. April 1994 hat es ein Vermittlungsergebnis zwischen dem Parlament und dem Rat gegeben.	Let me repeat what we all know. On 26 April 1994 we had the result of co-decision between Parliament and the Council.
Es war das erste Vermittlungsergebnis nach Maastricht, und damals waren die beiden Institutionen sehr zufrieden mit dem Verfahren.	This was the first co-decision act since Maastricht and at the time the two institutions were quite happy with the procedure.
Rat und Europäisches Parlament, aber ich betone, auch der Rat, waren damals einverstanden mit dem Ergebnis.	The Council and the European Parliament, and let me stress this fact, the Council too, were satisfied with the result at the time.
Nun sind knapp zweieinhalb Jahre vergangen, und obwohl die Refinanzierung vor dem 30. Juni hätte stattfinden müssen, stehen wir mitten in einer Wüste.	Barely two and a half years have passed since then, and although the refinancing should have occurred before 30 June, we find ourselves in a desert.
Ich finde kein anderes Wort.	I cannot think of any other term to describe it.
Der Forschungsrat faßt keinen Beschluß, er wartet auf den ECOFIN.	The Research Council has not taken any decision, it is waiting for Ecofin.
Der ECOFIN beauftragt die Kommission, einen neuen Vorschlag zu machen.	Ecofin has asked the Commission to present a new proposal.
Ja, ich frage mich wirklich, sind die europäischen Institutionen handlungsunfähig geworden?	Well, I really do ask myself whether the European institutions have become unable to act.
Was machen wir als Parlament?	What are we as Parliament doing?
Der Bericht Linkohr bezieht sich auf einen Vorschlag der Kommission, der nicht nur die Erhöhung beantragt hat, sondern - das möchte ich mal der Kommission deutlich sagen - auch inhaltlich eine vollkommen neue Fassung darstellt.	The Linkohr report concerns a Commission proposal that not only calls for an increase in funding but - and I say this plainly to the Commission - is also an entirely new version in terms of content.
Nach dem Bericht Linkohr habe ich gehört, daß die Kommission irgendwie einen neuen Vorschlag gemacht hat, der sich aber nicht vom ersten unterscheidet, obwohl der Bericht unseres Kollegen anders war als der Kommissionsvorschlag.	After the Linkohr report I heard that the Commission had somehow or other produced a new proposal that was not, however, any different from the first one, although our colleague's report was different from the Commission proposal.
Warum sind wir dann eigentlich hier und warum arbeiten wir?	So why are we actually here and why are we working?
Zweite Frage.	Second question.
Aus Verantwortung für die schwierige Finanzlage der Mitgliedstaaten - selbst mein eigener Staat, die Bundesrepublik Deutschland, steht ja finanziell nicht besonders gut da - schlagen wir als Parlament eine Reserve von 100 Millionen ECU vor - Sie haben es gerade gehört - mit der Perspektive, diese Erhöhung in den zwei nächsten Jahren dann auch fortzusetzen.	In the light of our responsibility for the difficult financial situation in the Member States - even my own country, Germany, is not doing particularly well financially - we as Parliament are proposing a reserve of ECU 100 million with the prospect, as you have just heard, of maintaining this increase over the next two years too.
Auf diesen Vorschlag, der ein sehr redlicher Vorschlag ist, bekommen wir keine Antwort.	We have received no response to this proposal, which is a quite genuine proposal.
Ich frage, wieso eigentlich nicht?	So I want to ask why not?
Während dieser Zeit - ich komme wieder zur Kommission - arbeitet die Kommission fleißig an einem fünften Rahmenprogramm, aber warum denn eigentlich?	During this period - and I am coming back to the Commission now - the Commission has been working away on a fifth framework programme, but why in fact?
Sie scheinen ja offensichtlich unfähig zu sein, dieses vierte Rahmenprogramm in der Mitte richtig zum Ende zu bringen.	It evidently seems unable to bring the middle of this fourth framework programme to a conclusion.
Was macht die Forschung eigentlich jetzt?	What is actually happening with research now?
Was können die Forscher jetzt erwarten?	What can the researchers expect now?
Was kann der Mittelstand jetzt erwarten von dieser Kommission?	What can the SMEs expect of this Commission now?
Kurzum, wir befinden uns in dem vollkommenen Salat, ich finde kein anderes Wort dafür!	In short, we are in a right mess, that is all I can say!
Können Sie uns eigentlich, Herr Ratspräsident, und den Bürgern Europas eine plausible Antwort auf folgende Frage geben: Warum sind Sie bereit, soviel Geld in den Erhalt der bestehenden und zum Teil überholten Strukturen zu stecken, so wenig in das Einzige, das uns Arbeitsplätze sichert, sprich Forschung und Entwicklung, Stärkung der innovativen Kraft des Mittelstandes?	Mr President-in-Office, can you actually give us and the citizens of Europe a plausible answer to this question: why are you prepared to put so much money into maintaining the existing and in part obsolete structures and so little into the only thing that protects jobs, namely research and development and strengthening the innovative power of the SMEs?
Ich sehe dort einen absoluten Widerspruch zu dem erklärten Ziel des Präsidenten Santer, die Arbeitslosigkeit in der Europäischen Union abzubauen.	I regard that as in total contradiction to the declared aim of President Santer, which was to reduce unemployment in the European Union.
Wie schwierig das ist, können Sie doch alle an den Anstrengungen sehen, die die Mitgliedstaaten auf nationaler Ebene machen, und an den doch relativ mageren Ergebnissen.	You can all see how difficult that is from the efforts the Member States are making at national level and from the fairly meagre results.
Hier wiederum nehme ich meinen eigenen Staat nicht aus.	Here again I do not exclude my own country.
Im übrigen muß ich nun mal folgendes sagen: Am 8. Oktober waren Sie, soweit ich mich erinnere, nicht da, Herr Präsident!	For the rest, I have to say this: as far as I remember, you were not there on 8 October, Mr President!
Daß Sie in der vorigen Woche, Sie oder ein Vertreter von Ihnen, zur Sozialistischen Fraktion gegangen sind, ist keine offizielle Auskunft für das Europäische Parlament.	That you or one of your representatives went to the Socialist Group last week is not officially known to the European Parliament.
Herr Präsident, Sie sind Minister und Sie sind Politiker genug, um zu wissen, daß das etwas mit Parteipolitik zu tun hat!	Mr President, you are a minister and enough of a politician to know that has something to do with party politics!
Wir existieren auch noch!	We still exist too!
