Herr Präsident, ich habe Ihre Erklärung mit ziemlich großem Erstaunen gehört.	Mr President, I listened to your statement with a fair degree of astonishment.
Sie haben von einem Vertrauen in die algerische Regierung gesprochen, aber übersehen, was Herr Zeroual noch kürzlich gesagt hat, nämlich ausrotten.	You spoke of trust in the Algerian Government, but you overlooked the fact that Mr Zeroual was only recently talking about extermination.
Wenn das ein Grund für Vertrauen ist, dann bin ich recht erstaunt.	If that is a basis for trust, I am quite astounded.
Sie haben außerdem gesagt, daß Reformen erfolgt sind.	You also said that reforms have taken place.
Ich bin absolut der Ansicht, daß praktisch noch keine Reformen erfolgt sind.	I am absolutely convinced that virtually no reforms have been implemented yet.
Vergessen Sie etwas nicht, Herr Präsident des Rates: Zum Frieden gehören immer zwei, den Krieg jedoch kann ein einziger auslösen.	There is one thing you must not forget, Mr President-in-Office: it takes two to live in peace, but only one to start a war.
In diesem Fall darf man sich auch nicht seine Verhandlungspartner aussuchen, wie es Herr Zeroual tut, sondern muß im Gegenteil mit allen sprechen.	In this case it is not right to pick and choose negotiating partners either, as Mr Zeroual does; on the contrary, a statesman must speak to everyone.
Das heißt also, man muß offen und bereit sein.	This means being open and accommodating.
Daß man da die Religion hineinmischt, ist teilweise falsch.	Allowing religion to influence these matters is not entirely helpful.
Man darf nicht vergessen, daß vieles auf die Verzweiflung zurückzuführen ist, die dadurch entstanden ist, daß demokratische Wahlen einfach unterbrochen wurden, weil sie nicht so gelaufen sind, wie es den Potentaten gefallen hat, die außerdem wegen ihrer Korruption bekannt sind.	It must not be forgotten that many occurrences are ascribable to the feeling of despair that arose from the democratic elections simply being cancelled because their result did not please the potentates, who are noted, moreover, for their corrupt practices.
Das darf einfach nicht vergessen werden, Herr Präsident des Rates.	That simply must not be forgotten, Mr President.
Daher müssen wir uns auch über eine weitere Sache im klaren sein.	That is why we must be clear about something else too.
Der Terrorismus ist eine Folge von sehr vielen Sünden, die begangen worden sind.	Terrorism is a consequence of many sins that have been committed.
Seitdem die Franzosen weg sind aus Algerien, gab es eine Diktatur nach der anderen.	Since the French moved out of Algeria, there has been one dictatorship after another.
Es hat keine Demokratie gegeben, und was man heute Demokratie nennt, sieht so aus: Man wählt sich die Parteien aus, die man für demokratisch erklärt, und erlaubt dem algerischen Volk nicht, diejenigen zu präsentieren, die ihm gefallen.	There has been no democracy, and what they call democracy today operates like this: parties are declared to be democratic and selected to take part in the elections, while the Algerian people are not allowed to present the parties of their choice.
Wir müssen daher die Situation so sehen, wie sie wirklich ist, und uns vollkommen klar darüber sein, daß man hier endlich einmal die Grundprinzipien des Friedens betrachten sollte.	We must therefore consider the situation as it really is and be absolutely clear about the fact that it is high time to consider the basic principles of peace here.
Wir halten den Frieden und die Aussöhnung in Algerien für lebenswichtig.	We regard peace and reconciliation in Algeria as vitally important.
Das haben wir in Barcelona zum Ausdruck gebracht.	We said that in Barcelona.
Das bringen wir immer wieder zum Ausdruck.	We say it again and again.
Aber dazu wird es niemals kommen, wenn man nur eine Seite unterstützt, sie zwar milde kritisiert, aber nicht das fordert, was die Grundlage der Demokratie ist, daß nämlich alle Parteien mit gleichen Rechten und gleichen Möglichkeiten an den Wahlen teilnehmen können.	But it will never be achieved if we only support one side, criticizing it mildly, perhaps, but not demanding the fundamental prerequisite of democracy, namely that all parties be allowed to take part in the elections on a basis of equal rights and opportunities.
