Herr Präsident! Die Kommission soll diese Woche die Entlastung für 1999 erhalten.	Mr President, this week, the Commission should be granted discharge for the 1999 financial year.
So hat es der Ausschuss für Haushaltskontrolle letzte Woche mit deutlicher Mehrheit empfohlen. Er folgt damit dem Vorschlag unseres Berichterstatters Freddy Blak, dem ich für seine vorzügliche Arbeit hier an dieser Stelle ausdrücklich mein Lob zollen möchte.	That is what the Committee on Budgetary Control recommended by a clear majority last week, in line with the proposal put forward by our rapporteur, Freddy Blak, to whom I should like to pay tribute for his excellent work.
Die Empfehlung erging vergangene Woche allerdings in der Erwartung, dass seitens der Kommission einige Punkte noch unmissverständlich klargestellt werden.	However, last week's recommendation was made in the expectation that the Commission would provide final clarification on a number of outstanding points.
Davon, das weiß ich, hängt jetzt im Plenum die Entscheidung mancher Kolleginnen und Kollegen und auch meine eigene ab.	I know that the decision of many of my colleagues - and indeed my own too - here in the House will depend on this taking place.
Worum geht es insbesondere?	What are these issues?
Ich habe vier Stichworte.	Let me sum them up in four key phrases.
Das erste ist der Fall Fléchard.	The first is the Fléchard case.
Frau Schreyer, Sie haben eben deutlich gesagt, dass die Kommission heute so nicht mehr verfahren würde.	Ms Schreyer, you have just stated clearly that the Commission would not proceed in this way today.
Ich nehme dies mit Genugtuung zur Kenntnis.	I am gratified to hear it.
Ich darf allerdings daran erinnern, so gut es war, dass Sie alle zu uns in den Ausschuss gekommen sind - dafür danke ich auch ausdrücklich -, war es doch etwas quälend, dass Sie sich nicht schon im Ausschuss zu einer solch deutlichen Antwort durchringen konnten.	But let me remind you that although you were all good enough to come to the Committee - and I thank you for that - it was rather irksome that you could not bring yourselves to respond in such unequivocal terms in the Committee.
Es hätte uns - beiden Teilen - vieles erleichtert.	It would have made things much easier for us - for both sides - if you had done so.
Dennoch muss ich sagen, dass wir in die Zukunft schauen, dass wir das Vertrauen durch Offenheit besser stärken, als wortreich drumherum zu reden und im Grunde genommen nicht mehr zu wissen, was wir eigentlich davon verstehen sollen.	But I must say that we are looking to the future, and we will be able to boost confidence more effectively through openness than by wasting words and ultimately being none the wiser.
Mein zweites Stichwort ist die Zuverlässigkeitserklärung.	My second key phrase is the Statement of Assurance.
Zum sechsten Mal in Folge ist diese vom Hof negativ erteilt worden, trotz gewisser Verbesserungen in einigen Bereichen.	This is the sixth time in succession that a negative Statement of Assurance has been issued by the Court of Auditors, despite some improvements in a number of areas.
Es genügt nicht, dass die Kommission nach den wiederholten Forderungen des Parlaments zur Senkung der Fehlerrate versichert, dass sie ihr Möglichstes tun will.	It is not enough for the Commission to respond to Parliament's repeated calls for the error rates to be reduced by saying that it will do its best.
Nein, hier wollen wir Fakten haben.	No, we want tangible results.
Die DAS muss bis zum Jahr 2002 positiv sein.	The DAS must be positive by 2002.
Das Parlament ist bereit, zusammen mit der Kommission und dem Rechnungshof an diesem Ziel zu arbeiten.	This House is prepared to work with the Commission and the Court of Auditors to achieve this goal.
Drittes Stichwort: Zugang zu Informationen.	The third key phrase is access to information.
Die Hoffnungen von vielen in die Rahmenvereinbarung zwischen Kommission und Parlament sind enttäuscht worden.	Many people's hopes of the Framework Agreement between the Commission and Parliament have been disappointed.
Ich war von Anfang skeptisch, habe aber als Vorsitzende des Ausschusses darauf geachtet, dass die Bestimmungen der Vereinbarung genau eingehalten wurden.	I was sceptical from the outset, but as the Chairman of the Committee, I ensured that the provisions of the Agreement were strictly adhered to.
Trotzdem hat die Kommission längst nicht alle erbetenen Informationen übermittelt.	Yet the Commission still failed to provide all the information requested.
Die lange Liste der angefragten, aber nicht erhaltenen Berichte im Anhang zum Bericht des Kollegen Blak spricht für sich.	The long list of reports requested but not received, contained in the Annex to Mr Blak's report, speaks for itself.
Als Kommission, Frau Schreyer, schneiden Sie sich damit doch letztlich ins eigene Fleisch.	Ultimately, Ms Schreyer, the Commission is cutting off its nose to spite its face.
Sie können im Zweifel doch nicht damit rechnen, dass das Parlament sich vor Sie stellen und gegen ungerechtfertigte Angriffe in Schutz nehmen wird, wenn Sie uns vorher nicht die notwendigen Informationen übermitteln.	You cannot really expect that when in doubt, Parliament will intercede and defend you from unjustified attacks unless you provide us with the necessary information first.
Letzter Punkt: Dieses Haus hat die Kommission wiederholt und mit breiter Mehrheit aufgefordert, Vorschläge für die sofortige Einführung eines Europäischen Staatsanwalts zu machen.	And my last point: This House has called on the Commission repeatedly and with a broad majority to put forward proposals on the immediate introduction of a European Public Prosecutor's office.
Dieser Staatsanwalt soll zunächst für Betrugsfälle innerhalb der europäischen Institutionen zuständig sein.	Its first task should be to deal with fraud within the European institutions.
Es wurde von meinen Vorrednern durchaus auch dieses Thema angeführt.	The previous speakers have also raised this issue.
Unter dieser Voraussetzung wäre eine Einführung sofort und ohne vorherige Änderung der Verträge möglich.	On this basis, a European Public Prosecutor's office could be introduced immediately and without any amendment to the Treaties.
Das haben die fünf Weisen in ihrem Bericht zur Reform der Kommission und auch der Überwachungsausschuss von OLAF empfohlen.	This was recommended by the five wise men in their report on reforming the Commission, as well as by OLAF's Supervisory Committee.
Das Parlament hatte der Kommission eine Frist bis Ende März gesetzt, sich in dieser Frage zu erklären.	Parliament gave the Commission until the end of March to state its position on this issue.
Frau Schreyer, ich habe sie im letzten Plenum danach gefragt.	Ms Schreyer, I asked you about this issue during the last part-session.
Bekomme ich heute endlich eine deutliche Aussage Ihrerseits?	Will I finally get a clear statement from you today?
Fünf weitere Berichte seitens des Haushaltskontrollausschusses liegen zur Entlastung vor.	The Committee on Budgetary Control has submitted five other reports on discharge.
Allen Berichterstattern gilt mein Glückwunsch für ihre vorzügliche Arbeit.	I would like to congratulate all the rapporteurs on their excellent work.
Der Folgebericht zur Entlastung 1998 von Frau Stauner verdient besondere Beachtung.	Ms Stauner's follow-up report on the 1998 discharge should be singled out in particular.
Wir müssen gewissenhaft prüfen, ob unsere Forderungen aus dem letzten Jahr von der Kommission erfüllt wurden, um gegenseitiges Vertrauen, Offenheit und Verantwortung zu stärken.	We must carefully verify whether our demands from last year have been fulfilled by the Commission, in order to strengthen mutual confidence, openness and responsibility.
Leider stehen noch immer einige Punkte offen, so vor allem die angesprochene Frage einer positiven DAS, aber auch die Frage der Information des Parlaments.	Unfortunately, a number of points are still unresolved, especially the issue of a positive DAS, which I have already mentioned, as well as the issue of information for Parliament.
Nicht zuletzt hat diese Schwachstelle zur Empfehlung der Berichterstatterin, Frau Rühle, geführt, die Entlastung für den Entwicklungsfonds zu verschieben, und das zu Recht, wie ich meine.	It is this weakness, not least, which led to the recommendation by the rapporteur, Ms Rühle, that the discharge in respect of implementation of the European Development Funds be postponed - and quite rightly, in my view.
Der Bericht von Herrn Folias ist durchdacht und kohärent.	Mr Folias' report is considered and coherent.
Es gibt keine Änderungsanträge.	It contains no proposed amendments.
Ich drücke ihm meine hohe Anerkennung und Zustimmung aus.	I should like to express my great appreciation of, and agreement with, the content of his report.
Die Berichte von Frau van der Laan und Herrn Seppänen wurden positiv im Ausschuss verabschiedet.	The reports by Ms van der Laan and Mr Seppänen were approved and adopted by the Committee.
