Herr Präsident, der Gipfel in Nizza war ein Gipfel an schwachen Entscheidungen.	Mr President, the Nice Summit was characterised by weak decisions.
Er wird jedoch die Entwicklung zu einer immer stärkeren Europäischen Union nicht aufhalten.	However, it will not impede progress towards an ever stronger European Union.
Wenn nationale Maßnahmen nicht greifen, ist Europa gefragt.	When national measures have no effect, that is when Europe comes into play.
Das erleben wir bei BSE. Plötzlich fordern alle Seiten wirksamen grenzüberschreitenden Verbraucherschutz und ein hartes Durchgreifen bei falsch ausgezeichneten Produkten.	We are experiencing this with BSE. Suddenly, all sides are calling for effective cross-border consumer protection and robust action where wrongly labelled products are concerned.
Wir erleben es auch beim Kampf gegen die Arbeitslosigkeit.	We are also experiencing this with the fight against unemployment.
Die KMU spüren die Wirksamkeit von unionsweiten Initiativen für Wachstum und Beschäftigung, mit denen die Maßnahmen der Mitgliedstaaten unterstützt werden sollen.	The SMEs feel the effectiveness of union-wide initiatives for growth and employment, which are designed to underpin the measures introduced by the Member States.
Um so wichtiger ist es, dass unsere Programme durchdacht, die Ziele präzise beschrieben sind und die richtigen Zielgruppen erreicht werden. Eine erste Bilanz dieses Programms - 450 Mio. Euro für wachstumsorientierte KMU - liegt vor.	One of the first things to come out of this programme is that EUR 450 million is to be made available for growth-orientated SMEs.
Im Namen der EVP-Fraktion beglückwünsche ich Philip Bushill-Matthews zu seinem Bericht, der ausgeprägte Detailkenntnis beweist.	On behalf of the PPE-DE Group, I would like to congratulate Philip Bushill-Matthews on his report, which bears witness to his exceptionally detailed knowledge.
Wir unterstützen seine Kritik an zu späten und zu dürftigen Informationen durch die Kommission.	We concur with his criticism of the Commission for providing too little information too late.
Wie sollen wir unter diesem enormen Zeitdruck denn sachgemäß kontrollieren oder gar substanzreiche Programmvorschläge vorlegen?	Just how are we supposed to oversee matters properly, or even submit solid programme proposals under such enormous pressure of time?
Wir brauchen Klarheit darüber, welche der drei Fazilitäten - Startkapital, Bürgschaften, Joint Ventures - die besten Ergebnisse erzielt haben, in welchen Staaten und in welchen Branchen es zu Unternehmensgründungen kam, ob auch die kleinen Unternehmen den Zugang zum Fremdkapital hatten oder ob Angaben aus KMU-Kreisen stimmen, nach denen allein durch Zinszuschüsse von 100 Mio. Euro mehr als 50 000 neue Arbeitsplätze entstanden sind, welche Altersstufen besonders gefragt sind, inwieweit Frauen daran beteiligt wurden.	We need clarification on which of the three facilities - start-up capital, guarantees, or joint ventures - have achieved the best results, in which States and which sectors companies were set up, whether the small enterprises had access to foreign capital too, or whether statements originating from SME circles are correct, according to which, more than 50 000 new jobs were created simply by means of interest subsidies to the value of EUR 100 million, which age groups are especially required, and to what extent women were involved.
Bei Gesprächen mit KMU in meinem Wahlkreis gab es immer wieder Klagen darüber, dass die Mittel praktisch nur den Unternehmen der Spitzentechnologie zugute kommen.	In talking to SMEs in my constituency, I constantly met with complaints that the funds are virtually only ever granted to enterprises in state-of-the-art technology.
Ich meine, auch andere innovative Unternehmen, etwa aus dem Handwerk, müssten erreicht werden.	Other innovative enterprises, from the craft industry for example, ought to qualify, too, to my mind.
Auch die Nachhaltigkeit von Dienstleistungen müsste stärker berücksichtigt werden.	We must also take greater account of the sustainability of services.
Herr Präsident, greifen wir die Initiative unseres Kollegen Bushill-Matthews aus diesem exzellenten Bericht auf!	Mr President, let us seize on the initiative emanating from Mr Bushill-Matthews' excellent report.
Je präziser die Informationen sind, desto eher wird das Vertrauen in Initiativen aus Europa zunehmen.	The more detailed the information, the sooner confidence in EU initiatives will grow.
