Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen.
Herr Patten, Sie kennen sich mit dieser Gegend sehr gut aus.	Mr Patten, you are well acquainted with this region.
In der nächsten Woche wird das IOC darüber entscheiden, welches Land die Olympischen Spiele 2008 ausrichten soll.	Next week the IOC will decide which country is to host the 2008 Olympic Games.
Die Volksrepublik China, die derzeit Anerkennung an allen politischen Fronten sucht, sieht sich als aussichtsreichste Kandidatin.	The People's Republic of China, which is currently seeking political recognition on all fronts, would appear to be the most likely candidate.
Wer meint, Peking dürfe nach erfolglosen Kandidaturen für die Jahre 2000 und 2004 nicht erneut vor den Kopf gestoßen werden, der hat zu kurz gedacht.	Anyone who thinks that Beijing does not stand a chance after failing in its bid in 2000 and 2004, has not thought hard enough.
Mit dem Geist der Olympischen Spiele hat Chinas Politik nichts zu tun.	Politics in China have nothing in common with the spirit of the Olympic Games.
Menschenrechte werden mit Füßen getreten, Meinungs- und Demonstrationsfreiheit aggressiv unterbunden.	Human rights are trampled underfoot and freedom of expression and the freedom to demonstrate are countered with aggression.
Seit über 50 Jahren ist Tibet besetzt.	Tibet has been occupied for over 50 years.
Minderheiten wie die Uguren und Mongolen werden in ihren Rechten behindert und verlieren an kultureller Identität.	Minorities such as the Uighurs and Mongolians are prevented from exercising their rights and are losing their cultural identity.
Faire Prozesse werden verweigert.	Fair hearings are denied.
Die Todesstrafe, die gerade das Thema war, wird verhängt und zur Abschreckung oft öffentlich vollzogen.	The death penalty, which we have just debated, is handed out and is often carried out in public as a deterrent.
Politik und Sport lassen sich eben nicht trennen.	Sport cannot be divorced from politics.
Wie das Treffen der Jugend der Welt mit 100.000 Zuschauern und einem Millionenpublikum vor Radio und Fernsehen propagandistisch missbraucht wurde, das zeigte Berlin im Jahre 1936.	Berlin in 1936 showed how the rally of the Jugend der Welt, with 100,000 spectators and a million people sitting in front of their radios and televisions, was subverted to the cause of propaganda.
Die Freude der Menschen war echt, die Organisation perfekt, doch dieses positive Erscheinungsbild wurde vom Naziregime instrumentalisiert und sollte Anerkennung erzielen für die Diktatur.	The people's joy was genuine, the organisation was perfect, but this positive image was hijacked by the nazi regime in order to win recognition for the dictatorship.
Der Boykott der Olympischen Spiele 1980 in Moskau nach dem Einmarsch der Roten Armee in Afghanistan wurde höchst unterschiedlich bewertet - zu Recht.	The reaction to the boycott of the 1980 Olympic Games in Moscow following the march of the Red Army on Afghanistan varied widely - and rightly so.
Allerdings gab es eine gemeinsame Erkenntnis.	There was one common understanding, however.
Wann immer das Völkerrecht verletzt wird, darf man nicht zur Tagesordnung übergehen.	Whenever international law is violated, it cannot just be business as usual.
Im Falle China beklagen wir von der EVP-Fraktion auch die jahrzehntelange Vernichtung der Wälder, Verschmutzung der Flüsse, unkontrollierten Ausstoß von Emissionen, so dass das Ökosystem fast zum Umkippen kommt.	In the case of China, our complaint in the PPE-DE Group is that for decades they have been destroying forests, polluting rivers and failing to control emissions to the point at which the whole ecosystem is on the brink of collapse.
Tierschützer empören sich zu Recht über eine Grausamkeit, die kaum einem bekannt ist.	Animal rights protestors are rightly horrified by the level of cruelty, which hardly anyone has been able to gauge fully.
In China werden 7.000 Bären in engen Käfigen qualvoll eingesperrt, bei lebendigem Leibe wird ihnen ständig Gallensaft entzogen für die Herstellung von kosmetischen und medizinischen Produkten.	Seven thousand bears are locked in harrowingly narrow cages in China and gall is constantly extracted from them, while they are still alive, in order to manufacture cosmetics and medicines.
Dafür kann es keine Entschuldigung geben!	For that there can be no excuse.
Es gibt also jede Menge Argumente gegen die Ausrichtung der Olympischen Spiele durch China.	There are therefore a plethora of arguments as to why China should not host the Olympic Games.
Glaubt wirklich einer in diesem Saal, dass es gelingen sollte, innerhalb von sieben Jahren die Situation zu verändern?	Does anyone in this House really believe that anything will change in the next seven years?
Die Volksrepublik China kann sich ja gerne neu bewerben, und sie wird dann ein würdiger Gastgeber dieser Olympischen Spiele sein, wenn sie selbst für andere Voraussetzungen sorgt, indem sie Schluss macht mit Menschenrechtsverletzungen und den Weg der Demokratie, der Rechtsstaatlichkeit beschreitet.	The People's Republic of China is free to make a new bid and it will be a worthy host of the Olympic Games if it puts the right conditions in place, by ending human rights violations and paving the way for democracy and the rule of law.
Erst wenn China Teil unserer internationalen Wertegemeinschaft geworden ist, kann das IOC in der nächsten Woche oder künftig guten Gewissens Ja sagen zu einer solchen Bewerbung.	Only once China has become a member of our community of values can the IOC say yes to such a bid next week or in the future in good conscience.
