Herr Präsident! Ich möchte zuerst den Kollegen Purvis ein wenig trösten.	Mr President, I would like to start by offering Mr Purvis some small comfort.
Er hat schon Recht, es wäre gut gewesen, eine Stellungnahme des Ausschusses für Industrie, Außenhandel, Forschung und Energie zu haben, aber wir, die Mitglieder der Europäischen Volkspartei im Umweltausschuss, vertreten natürlich die Umweltinteressen, die Interessen der Konsumenten, aber wir vertreten natürlich auch die Interessen der Wirtschaft.	He is indeed right that it would have been a good thing to have had an opinion from the Committee on Industry, External Trade, Research and Energy, but we, the European People's Party members of the Environment Committee, whilst of course representing the interests of the environment and of consumers, also represent the interests of business.
Wir alle sind Vertreter einer öko-sozialen Marktwirtschaft.	We all stand for an environmentally responsible market economy.
Wir wissen, dem Konsumenten ist nicht geholfen, wenn wir nur die Umwelt schützen und die Wirtschaft ruinieren.	We know that protecting only the environment while ruining the economy is no use to consumers.
Herr Purvis, die öko-soziale Marktwirtschaft ist bei uns in guten Händen.	With us, Mr Purvis, the environmentally responsible market economy is in safe hands.
Österreich hat mit der Hinterlegung der Ratifikationsurkunde bei den UN in New York das Cartagena-Protokoll am 27. August dieses Jahres ratifiziert.	Austria ratified the Cartagena Protocol this year, depositing the instrument of ratification with the UN in New York on 27 August.
Wir wissen, dass für einige Mitgliedstaaten die Verabschiedung des vorliegenden Entwurfs einer EU-Verordnung zur Umsetzung dieses Protokolls Voraussetzung für eine Ratifikation ist.	We know that some Member States see ratification as dependent on the passing of this draft EU regulation on the implementation of this Protocol.
Wir alle sind daher daran interessiert, dass es eine zügige Verabschiedung des entsprechenden Entwurfs gibt.	This gives us all an interest in this draft being passed quickly.
Erlauben Sie mir, verehrter Herr Berichterstatter, dass ich hier zu einigen Änderungsanträgen Stellung nehme, zum Beispiel zu Änderungsantrag 6: Die Verordnung richtet sich nur an die Gemeinschaft; es ist daher völlig unnötig, hier von 'jeder anderen Vertragspartei' zu sprechen. Ich glaube, das geht an der Sache vorbei.	Allow me, Mr Sjöstedt, to comment on some of the amendments, for example Amendment No 6. The Regulation addresses only the Community, so that it is quite unnecessary, and, I think, irrelevant, to speak of 'any other Party'.
Ähnlich wie einige meiner Vorredner meine auch ich, dass das Protokoll nur lebensfähige GVO umfassen sollte. Alles andere hielte ich für nicht richtig.	Like some of my predecessors on the floor, I think that the Protocol should cover only living GMOs, and that anything else would be wrong.
Auch der Bereich Haftung und Wiedergutmachung ist natürlich ganz, ganz wichtig und entscheidend. Wir sollten hier aber doch beim zukünftigen Ergebnis die Rückverfolgbarkeit und Kennzeichnung abwarten.	The area of liability and compensation is also, of course, very, very important and crucial, but on this we should wait for the outcome, which we expect to bring with it traceability and labelling.
Es ist doch unsinnig, dass wir jetzt irgendeine Bestimmung hineinschreiben, und dann diskutieren wir langatmig über eine ganz andere Verordnung oder eine andere Richtlinie, bei der es um Rückverfolgbarkeit, Kennzeichnung und Haftung geht.	It would, after all, be absurd for us now to insert some provision or other, and then engage in long-winded discussions on a quite different regulation, or another directive, on traceability, labelling and liability.
Ich weiß und ich freue mich darüber, dass es Ziel der dänischen Präsidentschaft ist, nach dem für Ende September im Plenum des Europäischen Parlaments vorgesehenen Abschluss der ersten Lesung einen gemeinsamen Standpunkt beim EU-Umweltministerrat am 17. Oktober zu haben.	I rejoice in the knowledge that the Danish Presidency has as one of its objectives a Common Position at the Environmental Council on 17 October, following the conclusion of the First Reading stage in plenary, which is planned for the end of September.
Wir sehen diesem 17. Oktober mit großem Interesse entgegen und wünschen der dänischen Präsidentschaft und uns damit alles Gute.	We look forward to 17 October with great interest and wish the Danish Presidency and ourselves all the best for it.
