. Der Bericht unterstreicht die Bedeutung, die von Seiten der EU der Ukraine beigemessen wird.	The report underlines the importance the EU attaches to the Ukraine.
Er hebt erreichte Fortschritte in der Entwicklung des Landes und in den partnerschaftlichen Beziehungen zwischen der EU und der Ukraine hervor, scheut sich aber auch nicht, auf kritische Momente zu verweisen.	It highlights the progress made in the country' s development and in the partnership between the EU and the Ukraine, but is not afraid to refer to matters of criticism.
Auf drei Aspekte möchte ich eingehen.	I would like to discuss three aspects.
1. Der Zerfall der Sowjetunion im Dezember 1989 hat zur schnellen Gründung souveräner unabhängiger Staaten geführt - ein Prozess, der schnell, fast über Nacht ablaufen konnte, der aber die über Jahrzehnte gewachsene Spezialisierung und Kooperation der Wirtschaften zwischen den einzelnen Staaten nicht aufheben konnte.	Firstly, the collapse of the Soviet Union in December 1989 led to the rapid formation of sovereign independent states, a process that happened quickly, almost overnight, but which could not change the specialisation that had developed over decades or the cooperation between the various countries' economies.
Wenn auch im unterschiedlichen Tempo, so ist doch der Transformationsprozess, auf den auch die EU drängte, mit sozialem Abbau und nicht gekannter Armut für größere Teile der Bevölkerung in der Ukraine verbunden.	Although at a different pace, the process of transformation, for which the EU also pressed, went hand in hand with social breakdown and unknown poverty for large sections of the Ukraine' s population.
Der Beseitigung dieses Problems sollte die EU in ihrer Zusammenarbeit mit der Ukraine größere Bedeutung beimessen.	The EU ought to attach greater importance to dealing with this problem in its cooperation with the Ukraine.
Während die EU und ihre Mitgliedstaaten unter der Losung Stabilität vor allem Marktinteressen verfolgten, wurde der langjährigen Zusammenarbeit zwischen den Staaten der GUS wenig Aufmerksamkeit geschenkt, man könnte sogar sagen, sie wurde torpediert.	While the EU and the Member States pursued primarily market interests under the slogan of stability, little attention was paid to the cooperation established over many years between the CIS states, one might even say it was torpedoed.
Schon aus Eigeninteresse sollte die EU diesen Faktor künftig stärker beachten und in ihrem Verständnis von der Einbeziehung der Ukraine in die Weltwirtschaft auch davon ausgehen, dass andere Staaten der GUS sich in einem ähnlichen Prozess befinden.	In its own interest, the EU should pay greater attention to this factor in future and, in its understanding of how the Ukraine fits into the world economy, should also bear in mind that other CIS states are engaged in a similar process.
2. Die Summe der Ratschläge an die Ukraine ist nicht klein und sicher auch in nicht wenigen Bereichen berechtigt und hilfreich.	Secondly, the Ukraine has been given a lot of advice, and in many areas this has no doubt been legitimate and helpful.
Politik ist aber auch immer mit Interessen verbunden.	But politics is always tied up with interests.
Wenn sie jedoch bei der Ausgestaltung der Partnerschaft einer starken Tendenz zur einseitigen Vorteilnahme unterliegt, wird es problematisch.	And if the shaping of partnership shows a strong tendency to benefit one particular party, then there is a problem.
Partnerschaft mit der Ukraine sollte wirtschaftliche Stabilität und soziale Sicherheit fördern und Spannungen verhindern oder abbauen helfen.	Partnership with the Ukraine ought to promote economic stability and social security and prevent or help to reduce tension.
Hier liegen die wirklichen gemeinsamen Interessen zwischen der EU und der Ukraine.	This is where the EU' s and the Ukraine' s real common interests lie.
3. Niemand wird bestreiten, dass die OSZE während des Kalten Krieges eine wichtige Rolle bei der Aufrechterhaltung der Stabilität in Europa gespielt hat.	Thirdly, no-one will dispute that the OSCE played an important role in maintaining stability in Europe during the cold war.
An diesem Prozess waren beide Seiten beteiligt, davon haben beide Seiten profitiert.	Both sides were involved in this process and both sides gained from it.
Die OSZE sollte nun, ein Jahrzehnt nach dem Ende des Kalten Krieges, vor allem als ein Instrument zur friedlichen, zur politischen Lösung von Konflikten entwickelt werden.	The cold war ended ten years ago, and the OSCE should now be developed primarily into an instrument for the peaceful political resolution of conflicts.
Doch die NATO verfolgt einen gegenteiligen Kurs, sie setzt mit ihrer neuen Strategie auf Stärke und Machtentfaltung außerhalb der sich immer weiter nach Osten verschiebenden Bündnisgrenzen, und die EU ist dabei, diesem Kurs zu folgen.	But NATO is pursuing the opposite course, basing its new strategy on strength and displays of power outside the alliance' s borders, which are steadily moving eastwards, and the EU is following in its wake.
Ich halte es für sehr bedenklich, die Ukraine, die über eine lange Grenze zu Russland verfügt, in diese Strategie einzubeziehen.	I consider involving the Ukraine, which has a long frontier with Russia, in this strategy to be a very serious matter.
Die Ukraine - und das gilt auch für andere GUS-Staaten - sollte viel stärker als bisher in politische Prozesse zur Lösung von Konflikten integriert werden.	The Ukraine - and other CIS states as well - ought to be more closely involved than in the past in political processes for the resolution of conflicts.
Die OSZE wäre dafür der geeignete Rahmen.	The OSCE would be the appropriate framework for this.
Gerade mit den entstehenden neuen Außengrenzen der Union wird dieser Faktor nicht zuletzt in Hinblick auf die Ukraine an Bedeutung gewinnen.	With the Union acquiring new external borders, this factor will be of increasing importance not least with regard to the Ukraine.
Bericht Carraro (A5-0063/2001)	Carraro Report (A5-0063/2001)
