Herr Präsident, ich kann den Ball an Herrn Torres Couto zurückgeben.	Mr President, I can return Mr Torres Couto's compliment.
Ich denke, hier ist ein guter Bericht durch eine gute Zusammenarbeit im Parlament entstanden.	I think that a fine report has been produced here, thanks to some good cooperation in Parliament.
Jedenfalls für unsere Fraktion war es sehr erfreulich, wie wir zusammengearbeitet haben.	For our group, in any event, it was very gratifying to see how well we worked together.
Das ist ein wichtiger Bericht.	This is an important report.
Es geht um die Aufrechterhaltung oder überhaupt die Schaffung der Grundfreiheiten und der Demokratie zur Erhaltung der Menschenrechte.	It is about upholding or actually creating fundamental freedoms and democracy in order to promote respect for human rights.
Wie wichtig das ist, sehen wir im Augenblick in Europa - wir haben wieder einen Krieg.	We can see how important this is in Europe at the moment: once again a war is being waged here.
Ich denke, nur mit der Staatsform der Demokratie und durch die Beteiligung der Bevölkerung läßt sich langfristig Frieden schaffen, wie wir es nach 50 Jahren in Europa jetzt sehen konnten.	I think that a democratic state with the participation of the people is the only way in which peace can be created in the long term, as we have seen over the last 50 years in Europe.
Im Süden des Globus haben wir vielfach autoritäre Systeme, haben wir Aristokratien, haben wir Herrschaftssysteme, an denen die Bevölkerung nicht beteiligt ist.	In the southern hemisphere, authoritarian regimes abound, as do aristocracies and regimes in which the people play no part.
Insofern ist es richtig und notwendig, daß wir dort Bestrebungen der Demokratisierung und die Einhaltung der Menschenrechte unterstützen.	In this respect, it is right and necessary for us to support efforts to encourage a transition to democracy and respect for human rights there.
Von daher können wir diesen Bericht so gut wie ganz unterstützen.	That is why we can support this report more or less in full.
In einem Punkt sind wir Ihnen nicht nachgekommen, nämlich beim Änderungsantrag Nr. 1, und zwar, weil wir "verantwortungsvolle Staatsführung" nicht hinein genommen haben wollten. Nicht, weil wir dagegen sind, sondern weil der Finanzrahmen für dieses ganze Programm so minimal ist, daß wir uns konzentrieren müssen.	We have not gone along with you on one point, Amendment No 1, the reason being that we did not want 'proper management of public affairs' to be included - not because we are against it, but because the funding for this whole programme is so minimal that we need to focus our efforts.
Wir müssen uns auf die Einhaltung der Menschenrechte und auf die Förderung von Grundfreiheiten konzentrieren.	We need to focus on respect for human rights and promoting fundamental freedoms.
Wichtig waren uns drei Änderungsanträge, die Sie auch übernommen haben, einmal im Artikel 2. Es war bisher immer die Rede von der Bekämpfung des Rassismus.	Three other amendments which you accepted were important to us, the first of which is to Article 2. Until now, the phrase on everyone's lips has been combating racism.
50 % der Arbeit in der Welt wird durch die Frauen geschaffen.	Fifty per cent of the world's work is done by women.
Frauen werden in diesen Ländern besonders unterdrückt.	Women are particularly oppressed in these countries.
Die Aufnahme des Passus gegen eine Politik des Sexismus ist wichtig, und die sollte der Rat doch auch übernehmen, wie er diesen ganzen Bericht vom Parlament übernehmen sollte.	The inclusion of the phrase on opposing a policy of sexism is important, and the Council really should accept it too, as it should accept this whole Parliament report.
Zum Abschluß noch zwei weitere Punkte: Wichtig ist es, kleinere Nichtregierungsorganisationen, kleinere staatliche Formierungen zu unterstützen, weil sie eben einen Multiplikatoreffekt haben.	Finally, I have two further points: it is important to support smaller non-governmental organisations and smaller state-run bodies, because they are the ones which have a multiplier effect.
Letzter Punkt: Lieferungen, Sachleistungen aus den Ländern zu über...	My last point is that supplies and payments in kind from the countries to ...
Der Präsident entzieht dem Redner das Wort.	The President cut the speaker off
