Herr Präsident! Herr Kommissar! Meine sehr geehrten Damen und Herren!	Mr President, Commissioner, ladies and gentlemen, the single market is now almost complete.
Der Binnenmarkt steht vor seiner Vollendung. Den Euro haben wir vor wenigen Tagen eingeführt.	A few days ago, the euro was introduced; frontiers are disappearing.
Grenzen verschwinden.	These are good signs, I feel.
Ich glaube, das ist ein gutes Zeichen. Wenn man heute mit einem Handy, das in Europa hergestellt wird, auch von Moskau oder von Malaysia aus telefonieren kann, und heute auch schon direkten Internet-Zugang hat, so merkt man, daß die Welt eigentlich schneller zusammenwächst, als so mancher wahrhaben will.	Nowadays we can use our European-manufactured mobile phone to ring home from Moscow or Malaysia; we can link up directly to the Internet. The world is in fact coming together faster than some people are willing to accept.
Wir haben verschiedenste gesetzliche Regelungen rund um die Welt, und deshalb ist es notwendig, sich darüber Gedanken zu machen, welchen Ansatz wir wählen können, um auch in diesem Bereich für Ordnung zu sorgen.	Regulatory systems vary around the globe, so we need to come forward with ideas on how best to strengthen international coordination in this area too.
Es geht darum, Spielregeln für diese Märkte zu entwickeln.	Markets will want to know what the rules of play are.
Ich glaube, daß die Entwicklung der Spielregeln eine prioritäre Sache der Politik ist, aber - und das ist das Entscheidende - man muß sich auch mit den Nutzern, mit den Anwendern, mit den Herstellern zusammensetzen.	Drawing these up is primarily the job of policy-makers, but it is essential that we involve users and manufacturers. All three sides will need to sit around the table.
Es ist wichtig, daß man sich mit der "Ist-Situation" vertraut macht und Perspektiven entwickelt, wo wir in diesem Bereich hinwollen.	We must first of all establish the current state of play and then move to develop ways of achieving our chosen goals. Mr Malerba illustrates the situation very well in his report.
Herr Malerba hat in seinem Bericht sehr gut herausgearbeitet, daß es zwar in den Ländern verschiedene Gestaltungsmöglichkeiten gibt, daß aber diese zusammenwachsenden Bereiche für uns neue Herausforderungen darstellen.	Member States have considerable scope for shaping the information society, but need to bear in mind the extent to which previously separate sectors are moving closer to one another. This is where the challenge lies.
Deshalb sollten wir auch daran denken, virtuelle Bibliotheken einzurichten, nämlich so, wie wir es im traditionellen Sinn gewohnt sind, daß dort jeder hingehen kann, sich jeder in diese weltweiten Bibliotheken einklinken kann, aber daß dieses Wissen der Bibliotheken auch zur Verfügung steht.	We should be envisaging setting up virtual libraries - places open to everyone, just as traditional libraries are. A click of the mouse will suffice, but people must be aware that the virtual library exists.
Ich glaube, das könnte sehr viel Erfahrung, sehr viel Nutzen bringen, und es wäre natürlich auch für die Wirtschaft ein enormer Antrieb, wenn in diesem Bereich forciert Anstrengungen unternommen würden.	The benefit in terms of knowledge and experience will be enormous. And think of the boost for industry if concerted efforts are put into making this vision a reality.
