Frau Präsidentin! Ich werde den beiden Berichten morgen meine Zustimmung geben.	Madam President, tomorrow, I will be voting in favour of both reports.
Trotzdem: Die Kennzeichnung ist für die Industrie schwer durchführbar und keine ehrliche Information für den Verbraucher.	Nonetheless, labelling will be difficult for industry and will provide no honest information for the consumer.
Der Rat meint in seinem Gemeinsamen Standpunkt, Ziel der Berichte sei die Vermeidung der Irreführung des Konsumenten.	In its Common Position, the Council gives it as its opinion that the reports are aimed at preventing the consumer from being misled.
Wie schön!	How kind!
Nur, so wird es nicht sein!	The only problem is that it will not work like that.
Denn bei zufälligen oder technisch unvermeidbaren Verunreinigungen, die vorhanden sein können, muss nicht gekennzeichnet werden, zumindest nicht bis zu einem gewissen Schwellenwert.	The fact is that labels do not have to show any adventitious or technically unavoidable contamination that might be present, at any rate not below a certain threshold value.
Danke an Frau Roth-Behrendt, sie hat das klar und wunderbar gesagt.	Mrs Roth-Behrendt deserves our thanks for making that so marvellously clear.
Das ist doch eine reine Augenwischerei, ob 0,9 %, 0,5 %, oder vielleicht kommen wir auf die Idee mit 0,1 % oder gar 0,01 %.	Whether the figure is 0.9%, 0.5%, or perhaps we will hit on the idea of 0.1% or even 0.01% - the whole thing is nothing but a load of eyewash.
Wenn nicht gesundheitsgefährdend - und das ist es nicht -, wozu dann dieses ganze absurde Theater? Armer Konsument!	If there is no danger to health - and there is none - then what is all the song and dance about?
Er wird GVO essen, aber er wird es nicht wissen. Er wird von uns ganz bewusst in die Irre geführt.	Pity the consumer who will eat GMOs without knowing it, whom we will quite deliberately be misleading.
Vollends kabarettreif wird die Sache, wenn man Ziffer 12 des Scheele-Berichts liest, denn darin steht: Damit nicht gekennzeichnet werden muss, muss der Unternehmer den zuständigen Behörden nachweisen, dass er alles getan hat, um das Vorhandensein genetisch veränderter Organismen zu vermeiden.	Read item 12 of the Scheele report and you realise how worthy of a comedy turn the whole thing is, for it says that, in order for the requirement of labelling to be dispensed with, the operator must certify to the competent authorities that he has done everything possible to prevent genetically modified organisms from being present.
Der gute Mann, er hat sich doch so bemüht, na, da werden wir doch nicht noch kennzeichnen und den Konsumenten informieren!	The good fellow has made such an effort, so we will not put the labels on and keep the consumer informed!
Er wird nie erfahren, was er gegessen hat.	The consumer will never discover what he has eaten.
Er hat keine Ahnung, dass er Gen-Food konsumiert hat.	Never will it dawn on him that he has eaten GM food.
Ich habe versucht, es im Ausschuss noch zu verhindern, und habe mich für ein 'Schluss mit der Negativkennzeichnung' und 'Ja zu einer Positivkennzeichnung' eingesetzt.	In the committee, I attempted to prevent this, and put the case for doing away with negative labelling and saying yes to positive labelling.
Es wäre ehrlich gewesen, und große Unternehmen wie Nestlé, Unilever usw. wären mitgegangen.	That would have been honest, and big firms like Nestlé, Unilever, and others would have gone along with it.
Es war wohl schon zu spät.	No doubt it was too late for that.
Nehmen wir das Ganze als Lehrstück.	Let us treat the whole business as a didactic drama.
Freuen wir uns, dass wir die Koexistenz erreicht haben, hoffen wir auf eine entsprechende Haftung, und nehmen wir es als Lehrstück dafür, was politische Unehrlichkeit sein kann!	Let us be glad that we have made co-existence possible, let us hope that someone will assume liability for it, and let us take this as a lesson in what political dishonesty can be like!
