Es ist sehr wohl meine Aufgabe.	It certainly is my job to interrupt.
Denn wenn Sie einem Hundertmeterläufer eine Million Euro dafür bezahlen, dass er in 10 Sekunden über 100 Meter läuft, dann können Sie ihm 100 Millionen Euro bezahlen, er wird es nicht in fünf Sekunden schaffen.	You can pay a one-hundred-metre runner EUR 1 million to run the one-hundred-metre race in 10 seconds. However, even if you pay him EUR 100 million, he will not manage to do it in five seconds.
Ich bin verpflichtet, zu unterbrechen, wenn zu schnell geredet wird.	I am obliged to interrupt Members if they speak too quickly.
Ich weiß sehr wohl - ich gehöre dem Haus immerhin 13 Jahre an -, dass die Dolmetscher, wenn sie nicht mehr können - ich habe hier eine Lampe, Sie können diese gerne mal anschauen, da steht slow down -, diese Lampe betätigen.	I have been a Member of this House for 13 years and I know very well that when the interpreters can no longer keep up, they press a button and a bulb on my desk lights up. You are very welcome to have a look at it.
Das habe ich sehr wohl in den Ausschüssen bereits erlebt.	It is labelled 'slow down'. I have already experienced this in the committees.
Dann sagt die Kabine auch irgendwann, dass sie ihre Arbeit einstellt.	At some point, the interpreters say that they are going to stop working.
Wenn sich dann ein Kollege beklagt, dann steht der gesamte Betrieb und dann kann der Redner überhaupt nicht mehr sprechen.	If a Member then complains, the whole thing comes to a grinding halt and the speaker cannot go on speaking.
(Zwischenruf)	(Heckling)
Frau Berès, ich erlaube mir, was Sie sich in Ihrem Ausschuss auch erlauben, nämlich die Dinge, wenn ein Punkt zur Geschäftsordnung kommt, zu erklären.	Mrs Berès, I am doing what you also do in your committee, which is to explain the situation when a point of order is raised.
(Zwischenruf)	(Heckling)
Das ist sehr genau dasselbe!	It is precisely the same thing.
