im Namen der PSE-Fraktion. - Herr Präsident! Ich will es sehr kurz machen.	on behalf of the PSE Group. - Mr President, I will keep this very brief.
Ich wundere mich, wieso schon seit Wochen und Monaten aktiv und massiv und zum Teil aggressiv gegen einen Vertrag Stellung genommen wird, wenn der Vertrag den Kolleginnen und Kollegen gar nicht bekannt ist, die gegen diesen Vertrag Stellung nehmen.	I must say, I am rather surprised why, for weeks and months, there has been such active, massive and, in part, aggressive opposition to a Treaty when the Members opposing it do not even know which Treaty we are talking about.
(Beifall)	(Applause)
Kollege Corbett hat es im Wesentlichen gesagt: Es geht nicht um die konsolidierte Fassung, es geht um den Inhalt des Reformvertrags.	Mr Corbett has made the essential point: this is not about the Consolidated Treaty, it is about the contents of the Reform Treaty.
Da gibt es unterschiedliche Meinungen.	There are different opinions.
Das ist ja in einer Demokratie zulässig, und es ist auch gut, dass es unterschiedliche Meinungen gibt und dass man eifrig darüber diskutiert.	That is quite normal in a democracy; indeed, it is a good thing that opinions differ and that there is a lively debate.
Aber jeder sollte auch die Meinung des anderen zur Kenntnis nehmen, und darüber sollte eine Abstimmung stattfinden.	However, everyone should also take note of others' opinions and allow a vote to take place.
Wir haben über Wochen und Monate sehr ernsthaft über diesen Vertrag diskutiert, und es ist Zeit, jetzt auch ein klares Signal zu geben, ob die Mehrheit dieses Hauses dafür oder dagegen ist.	We have been discussing this Treaty very earnestly for weeks and months and it is now time to send out a clear signal as to whether the majority of this House is in favour or against it.
Demonstrationen und die Verhinderung von Reden, die wir hier erlebt haben, könnten nämlich ein falsches Bild in der Öffentlichkeit abgeben.	Outbursts and attempts to prevent others from speaking, which is what we have witnessed here, could give the wrong message to the public.
Lassen Sie doch zu, dass die Mehrheit dieses Hauses diese Woche entscheidet, ob sie für oder gegen den Vertrag ist!	Please, let the majority of this House decide this week whether it is for or against the Treaty.
Das entspricht der Demokratie!	That is what democracy is all about.
(Beifall)	(Applause)
