Herr Präsident, sehr geehrte Abgeordnete, sehr geehrter Herr Berichterstatter!	Mr President, ladies and gentlemen.
Vielen Dank für Ihren Bericht.	I would like to thank Mr Bösch for his report.
Er bezieht sich ja vom Ausgangspunkt her auf den Jahresbericht der Kommission 1999 über den Schutz der finanziellen Interessen und Betrugsbekämpfung, den die Kommission am 13. November des vergangenen Jahres vorgelegt hat und der insbesondere auch die Statistiken darüber enthält, welche Fälle von Unregelmäßigkeiten und Betrug von den Mitgliedstaaten gemeldet wurden, die ja dazu verpflichtet sind.	It takes as its starting point the Commission's Annual Report on protecting the Communities' financial interests and the fight against fraud, which the Commission presented on 13 November 2000 and which also contains statistics on cases of irregularities and fraud reported by the Member States, as they are obliged to do.
Wenige Monate vorher hatte die Kommission einen umfangreichen Strategiebericht vorgelegt, in dem dargelegt wird, dass die Betrugsbekämpfung auf den verschiedensten Handlungsebenen ansetzt und die verschiedensten Instrumente mit beinhaltet, angefangen bei der Legislativprüfung, um sie betrugsunanfälliger zu machen, bis hin zu dem Vorschlag für einen europäischen Staatsanwalt, den die Kommission ja in Nizza gemacht hat und der dort leider noch nicht von den Staats- und Regierungschefs akzeptiert wurde.	A few months earlier, the Commission had presented an extensive strategy report in which it set out an approach to fraud prevention at a wide variety of levels and which contained a wide variety of instruments ranging from checks on legislation, in order to make it less susceptible to fraud, to a proposal for a European Public Prosecutor which the Commission put forward in Nice and which was unfortunately not accepted by the Heads of State and Government at that stage.
In dem Bericht hatte die Kommission auch dargelegt, welche zentrale Rolle das europäische Amt zur Betrugsbekämpfung OLAF insgesamt spielt, und ich möchte zunächst auf die Punkte eingehen, die von Ihnen hier in der Debatte und in dem Bericht von Herrn Bösch bezüglich OLAF angesprochen worden sind.	In that report, the Commission also set out the overall and central role played by the European Anti-Fraud Office, OLAF, and I would first like to address the points made by honourable Members during the debate and also in Mr Bösch's report as regards OLAF.
Der Rat und das Parlament haben 1999 die Rechtsgrundlage für OLAF geschaffen, und das ist natürlich auch für die Kommission die Handlungsbasis.	In 1999 the Council and Parliament created the legal basis for OLAF, and that is, of course, also the basis for action by the Commission on this.
Durch diese Rechtsgrundlage ist OLAF als ein Amt geschaffen worden, das im administrativen Sinne Teil der Kommission ist, d. h., die Beamten von OLAF sind Kommissionsbeamte und unterliegen dem Statut.	In accordance with this legal basis, OLAF was set up as an office which administratively speaking is part of the Commission, that is to say OLAF's staff are Commission officials and are subject to its statute.
Das bedeutet auch, dass dann, wenn beispielsweise Probleme oder Unregelmäßigkeiten bezüglich des Verhaltens von Kommissionsbeamten bei OLAF auftreten würden, die Kommission verklagt würde.	This also means that if, for example, problems or irregularities arise regarding the behaviour of Commission officials within OLAF, the Commission would be held responsible.
Um diesem Rechnung zu tragen, hat die Kommission gesagt, sie will genau wie in den anderen Institutionen bzw. den anderen Abteilungen der Kommission ein transparentes Verfahren für die Auswahl von Führungspositionen bei OLAF haben.	In view of this, the Commission has said that, exactly as with the other institutions or other departments of the Commission, it wishes a transparent procedure to be in place for appointing those in senior management positions in OLAF.
Das heißt, dass zunächst ein Beratungskomitee die Bewerbungen durchsieht und Empfehlungen an denjenigen richtet, der letztendlich die Entscheidung trifft.	This means that an Advisory Committee first scrutinises the applications and then makes recommendations to those making the final decision.
Im Fall von OLAF trifft letztendlich der Direktor die Entscheidung über die Einstellung, über die Ernennung von Personen.	In the case of OLAF, the Director makes the final decision on the recruitment and appointment of staff.
