Herr Präsident, Herr Kommissar! Nicht die Etikette zählt.	Mr President, Commissioner, it is not the label that counts.
Wir alle kennen diesen Ausdruck, doch hier ist das, was zählt, das Etikett.	We all understand that expression, but what counts here really is the label - and I am not talking about haute couture!
Die Etikettierung von Rindfleisch ist eine wichtige Etappe bei der Rückgewinnung des Vertrauens der Verbraucher.	Beef labelling is an important stage in the process of rebuilding consumer confidence.
Ich stelle fest, daß nach langer Vorlaufdiskussion noch nicht in allen EU-Mitgliedsländern die Computerbanken das letzte Tier erfaßt haben.	I note that despite the protracted preliminary discussions not all EU Member States have recorded every last animal on their computers.
Dennoch soll das obligatorische Etikettierungssystem ab 1.9.2000 in allen Mitgliedstaaten verbindlich gelten. Damit wird das freiwillige System endlich abgelöst.	Yet the compulsory labelling system is supposed to take force in all Member States as from 1 September 2000, thus finally replacing the voluntary system.
Die Frage für den Verbraucher wird sein: Welche Angaben sind zu erwarten?	The question for consumers will be this: what information can we expect?
Wo ist das Tier geboren?	Where was the animal born?
In der EU, in einem Drittland, auf welchem Hof, in welcher Region?	In the EU, in a third country, at which farm, in what region?
Was heißt denn Ursprungsland, was heißt vielleicht sogar Herkunftsland?	What does country of origin mean, or perhaps even source country?
Desweiteren geht es bei der Diskussion um die Kategorien: Kaufe ich heute ein Milchkalb, kaufe ich ein normales Kalb, kaufe ich eine Färse?	And then there is the debate about categories. Should I buy a sucking calf, a normal calf or a heifer today?
Da ich selbst aus der Landwirtschaft komme und den Landwirten nichts sehnlicher als stabile Preise wünsche, sollten wir Rechtsgrundlagen schaffen, die von Einigkeit gekrönt sind.	As I come from a farming background myself and there is nothing I more earnestly want for farmers than stable prices, I believe that we should create legal bases that are underpinned by consensus.
Wir sollten die Gesetzgebung nicht unnütz verkomplizieren.	We should not make the legislation unnecessarily complicated.
Es geht uns allen um die Volksgesundheit und den Verbraucherschutz.	We are all concerned about public health and consumer protection.
Ab 1.9.2000 Etikettierung, ab 1.1.2002 sehr umfassend. Der Weg des Rindfleisches vom Erzeuger zum Verbraucher ist manchmal sehr lang.	So as from 1 September 2000 we will have labelling, and as from 1 January 2002 it will be extremely comprehensive.
Die Versorgungsketten in den Mitgliedstaaten sind sehr unterschiedlich.	The beef chain from producer to consumer can be very long, and the supply chains in Member States vary widely.
Dennoch glaube ich, daß es den großen Tourismus für Schlachtvieh überhaupt nicht gibt.	Yet I do not think that cattle headed for the slaughterhouse are really such great tourists.
Die strengen Auflagen müssen allerdings auch für Exporte aus Drittstaaten gelten.	However, strict criteria must also apply to imports from third countries.
Lassen Sie mich abschließend folgendes sagen: Ich habe einmal gelernt, daß in den Ernährungsplänen von Spitzensportlern Fleisch enthalten sein sollte.	By way of conclusion, let me say that I once learnt that top athletes' nutrition programmes should include meat.
Gesundheit und Leistungskraft werden maßgeblich davon beeinflußt, was unsere Spitzensportler essen.	Our top athletes' eating habits have a great impact on health and performance.
Ich hoffe, daß wir wieder mehr Vertrauen finden und daß die Leute auch wieder zu einem größeren Fleischverzehr zurückfinden.	I hope that we can rebuild confidence and that people will once more become great meat-eaters.
