Herr Präsident, ich möchte den Kollegen Jarzembowski aus einem anderen Grund unterstützen.	Mr President, I wish to endorse Mr Jarzembowski's remarks for another reason.
Das Plenum hat mit großer Mehrheit eine Vorlage der Kommission substanziell geändert.	The plenary has substantively amended a Commission item by a large majority.
Die Kommission muss auch einmal akzeptieren, dass das Parlament eine Vorlage der Kommission substanziell ändert.	The Commission must also accept, for once, that this House may substantively amend a Commission item.
Deswegen bin ich dafür, dass der Prozess weitergeht.	I am therefore in favour of continuing the process.
(Das Parlament lehnt den Vorschlag für eine Verschiebung der Abstimmung ab.)	(Parliament rejected the proposal to postpone the vote)
(Das Parlament nimmt die legislative Entschließung an.)	(Parliament adopted the legislative resolution)
Der Präsident.	President.
Bevor wir fortfahren, möchte ich Herrn Poettering gratulieren, der, wie ich erfahren habe, soeben in seinem Amt als Fraktionsvorsitzender bestätigt worden ist.	Before we move on I would like to congratulate Mr Poettering who I understand has just been re-elected leader of his group.
(Lebhafter Beifall)	(Loud applause)
Bericht (A5-0354/2001) von Herrn Jarzembowski im Namen des Ausschusses für Regionalpolitik, Verkehr und Fremdenverkehr über den Vorschlag für eine Richtlinie des Europäischen Parlaments und des Rates über den Marktzugang für Hafendienste (KOM(2001) 35 - C5-0078/2001 - 2001/0047(COD))	Report (A5-0354/2001) by Georg Jarzembowski, on behalf of the Committee on Regional Policy, Transport and Tourism, on the proposal for a European Parliament and Council decision on market access to port services (COM(2001) 35 - C5-0078/2001 - 2001/0047(COD))
Vor der Abstimmung über Änderungsantrag 47:	Before the vote on Amendment No 47:
