Herr Präsident! Zehn Jahre Euro ist in der Tat ein Grund zum Feiern.	Mr President, 10 years of the euro is indeed a reason to celebrate.
Wer vor zehn Jahren gesagt hätte, dass sich der Euro so prächtig entwickelt, wie er es getan hat, wäre verspottet worden.	Anyone who had said 10 years ago that the euro would have developed as splendidly as it has done would have been laughed at.
Viele haben an diesem Erfolg mitgearbeitet, und ich erinnere mich an viele skeptische Stimmen - von Frühgeburt und nicht überlebensfähigem Projekt ist geredet worden -, und heute wissen wir, dass es eine Vision war, an der viele mitgearbeitet haben.	Many people have contributed to this success, and I remember many sceptical voices - it was referred to as a premature baby and an unviable project - and today we know that it was a vision to which many people contributed.
Die Vorredner haben daran erinnert, wer alles daran mitgearbeitet hat, an die Meilensteine, das Europäische Währungssystem, das eine Vereinbarung der Zentralbanken war, Leitkurse zu schaffen, an den Delors-Bericht, der die Einführung der Währungsunion in drei Stufen vorsah, an den Vertrag von Maastricht - nur zwei Jahre nach dem Fall der Mauer -, an die Übergangszeiten - und viele haben daran mitgearbeitet, dass der Euro heute ein so erfolgreiches Projekt geworden ist.	The previous speaker reminded us of all those who contributed to this, of the milestones, of the European monetary system, which was an agreement with the European Central Bank to create central rates, of the Delors report, which provided for the introduction of the monetary union in three stages, of the Treaty of Maastricht - only two years after the fall of the Wall - and of the transitional periods. Many people have helped to make the euro the successful project it is today.
Das Parlament - Frau Berès hat es als Ausschussvorsitzende schon gesagt - hat in diesem Zeitraum, insbesondere von 1994, als die Umsetzung des Vertrags von Maastricht begann, bis zum Jahr 2002, mit der Einführung des Bargelds, an vielen Berichten, Diskussionen, Stellungnahmen und auch Vorschlägen aktiv mitgearbeitet, und ich möchte namentlich den beiden Ausschussvorsitzenden in dieser Zeit, Karl von Wogau und Christa Randzio-Plath, danken, die das Parlament auch nach außen repräsentiert haben und diesem Projekt, das ja ursprünglich von den Regierungen kreiert wurde, die notwendige parlamentarische Begleitung gewährleistet haben.	As the committee chairman, Mrs Berès, has already said, during this period, in particular from 1994 when the implementation of the Treaty of Maastricht began, and up to 2002, Parliament actively cooperated in the introduction of the notes and coins, and in many reports, discussions, opinions and also proposals, and I would like specifically to thank the two committee chairmen from that time, Mr von Wogau and Mrs Randzio-Plath, who also represented Parliament to the outside world and who gave this project, although originally created by the governments, the parliamentary support it needed.
Wir bemühen uns auch heute unter dem Vorsitz von Frau Berès um die gleiche Repräsentanz.	We are working today, too, under the chairmanship of Mrs Berès, for the same representation.
Das Parlament hat am 18. November mit großer Mehrheit einen Bericht angenommen, in dem wir die Erfolge, die Herausforderungen, die Risiken, die Probleme, beschreiben, und ich möchte in Ergänzung zu dem, was Frau Berès gesagt hat, einige wenige Dinge in Erwähnung bringen.	On 18 November Parliament adopted, with a large majority, a report in which we describe the successes, challenges, risks and problems, and I would like to mention just a few things in addition to what Mrs Berès has said.
Der Euro ist ein großer Erfolg, und er ist ein einmaliges Projekt: eine zentrale Geldpolitik unter der Führung der Europäischen Zentralbank und eine dezentrale Haushalts- und Finanzpolitik.	The euro has been a great success, and it is a unique project: a central monetary policy under the management of the European Central Bank and local budgetary and finance policies.
Es ist wichtig, dass in Zukunft das Scharnier zwischen diesen beiden Verantwortungsebenen der Stabilitäts- und Wachstumspakt auch in Krisenzeiten eingehalten wird.	It is important that, in future, the connection between these two levels of responsibility in the Stability and Growth Pact are retained also during times of crisis.
Ohne diesen Stabilitäts- und Wachstumspakt, ohne eine stärkere Koordinierung der Haushalts- und Finanzpolitik erwachsen dem Euro auch in Zukunft Risiken, die wir vermeiden können.	Without this Stability and Growth Pact, without stronger coordination of the budgetary and finance policy, the euro would also in future face risks that are avoidable.
Ich appelliere in diesem Zusammenhang insbesondere an die Mitgliedstaaten der Eurozone, aber auch der gesamten Europäischen Union, diese Disziplin, diese koordinierte Zusammenarbeit ernster zu nehmen, als es in der einen oder anderen Frage in der Vergangenheit der Fall war.	In this regard, I appeal in particular to the Member States of the euro area, but also to the whole of the European Union, to take this discipline, this coordinated cooperation, more seriously than has been the case in the past in connection with certain issues.
Der Euro hat die Inflation erheblich nach unten gedrückt. Er hat damit Vertrauen und Stabilität geschaffen, und er ist in einem Zeitraum, in dem ihm das noch niemand zutraute, zur zweiten Reservewährung geworden.	The euro has pushed down inflation considerably and so created confidence and stability, and it has become the second most commonly held reserve currency in a space of time that no one thought it capable of.
Der Euro hat den Zwang zu Strukturreformen in den Mitgliedstaaten vergrößert und ist damit auch in Zeiten der Globalisierung ein Fitnessprogramm für Unternehmen und für Staaten geworden.	The euro has increased the pressure for structural reform in the Member States and therefore, even in the age of globalisation, has become a 'fitness programme' for undertakings and for nations.
Die Institutionen der Eurozone - mehrere meiner Vorredner haben darauf hingewiesen -, der Ecofin-Rat, die Euro-Gruppe, viele andere Institutionen, haben mit der Kommission und der Europäischen Zentralbank zusammen die notwendigen Voraussetzungen geschaffen, weil sie schon funktionierten, weil sie da waren, weil sie unabhängig agierten, um in der Wirtschaftskrise schnell, verlässlich und richtig zu reagieren.	The institutions of the euro area - several were mentioned by the previous speaker - the Ecofin Council, the Euro Group and many other institutions have created the necessary conditions together with the Commission and the European Central Bank, because they were already operating, because they were in place, because they worked independently in order to react quickly, reliably and correctly in the economic crisis.
Wir haben den Euro als den Hebel zur Schaffung eines europäischen Finanzmarktes erlebt.	We have experienced the euro as a lever for creating a European financial market.
Die politische Schlussfolgerung aus diesen gemeinsamen Erfolgen ist, dass Staaten mit gemeinsamer Währung und einem gemeinsamen Binnenmarkt ein einmaliges Integrationsstadium erreicht haben, das Frieden und Wohlstand sichert.	The political conclusion from these common successes is that states with a common currency and a common internal market have achieved a unique level of integration that will secure peace and prosperity.
Aber der Euro ist in der Zukunft nicht unbedingt ein Selbstläufer.	However, we cannot necessarily take the euro for granted in future.
Es gibt eine Fülle von konkreten Anregungen und Forderungen, dass die Risiken ernst genommen werden müssen: Das Auseinanderdriften der Volkswirtschaften, mit dem bei der Lohnentwicklung und bei den Haushaltsdefiziten eine erhebliche Gefahr verbunden ist, sollte bei einem Jubiläum nicht verschwiegen werden.	There are numerous specific requests and demands to take the risks seriously: the drifting apart of the national economies, which is associated with considerable risks in connection with the growth of wages and with budget deficits, should not be concealed on this anniversary.
Ein völlig anderer Gesichtspunkt ist die unterschiedliche Entwicklung der Zinsen für Staatsanleihen.	An entirely different aspect is the varying development of the interest rates for government bonds.
Wir beobachten jetzt, dass die Zinsspanne, die sicher verringert hat, sich wieder weitet, so dass dort möglicherweise für einzelne Mitgliedstaaten der Eurozone neue Probleme auftauchen.	We are currently seeing the interest rate margin, which has no doubt decreased, increasing again, bringing the possibility of new problems in this regard for individual Member States within the euro area.
Ich möchte daran erinnern, dass es insbesondere bei der Erweiterung der Eurozone keine Sonderrabatte geben darf und dass alle Staaten, die Mitglied der Eurozone werden, diese Bedingungen des Vertrags von Maastricht erfüllen müssen und erfüllen können.	I would remind the House that, particularly in connection with the expansion of the euro area, no special rebates may be given and that all states that are members of the euro area can, and must, comply with these conditions of the Treaty of Maastricht.
Der Euro ist bei den Bürgern angekommen.	The euro has been well-received by the public.
Er hat sich weltweites Vertrauen erarbeitet.	It has gained the world's trust.
Er hat die erste Bewährungsprobe bestanden und ist ein einmaliger Beitrag zur dauerhaften Integration unserer Völker in Europa.	It has passed the first test and has provided a unique contribution to the permanent integration of our nations in Europe.
Darauf können wir alle stolz sein.	That is something we can all be proud of.
Ich danke Ihnen.	Thank you.
(Beifall)	(Applause)
