Frau Präsidentin! Geschätzte Herren Präsidenten, ich hätte einige Fragen an Sie.	Madam President, Mr Barroso, Mr Van Rompuy, I would like to ask you a few questions.
Es ist gut, dass man zu einer Einigung gekommen ist.	It is good that an agreement has been reached.
Es ist gut, dass die europäische Wirtschaft und die europäische Währung jetzt besser geschützt sind.	It is good that the European economy and European currency will now be better protected.
Aber ist Schützen allein genug?	But is protection enough on its own?
Ist es nicht notwendig, auch weiter zu gehen?	Is it not necessary to go further?
Ist es nicht notwendig, einen Aufschwung zu bewirken, damit das, was wir schützen, auch bewahrt werden kann?	Is it not necessary to stimulate an upturn, so that we can preserve what we are protecting?
Hier geschieht meines Erachtens zu wenig und das Falsche.	I believe that too little is being done and that the wrong strategy is being followed.
Warum investiert die Europäische Union in den Export von Gurken, Bananen und Rindviechern, und nicht in Universitäten, in Wissen, in Schulen?	Why is the European Union investing in the export of cucumbers, bananas and live cattle rather than in universities, places of learning and schools?
Das ist etwas, über das wir nachdenken müssen.	This is something which we need to consider.
Und wenn Sie sagen, wir haben kein Geld dafür, dann könnte man vielleicht umschichten.	When you say that we have no money for this, then perhaps what is needed is some reorganisation.
Man muss auch überlegen, ob man vielleicht zu neuen Einnahmen kommt, und zwar von denen, die bisher immer von dieser unsäglichen Situation profitiert haben.	We should consider whether we need new sources of income, in which case we need look no further than those who have always profited from this unspeakable situation.
Herr Barroso, warum ist Ihre Kommission in Wahrheit gegen eine Finanztransaktionssteuer?	Mr Barroso, what is the real reason for your Commission's opposition to a financial transaction tax?
Beantworten Sie mir das bitte.	Please answer this question for me.
Sie müssen sich einmal entscheiden, ob Sie auf der Seite der Finanzindustrie oder der Bürgerinnen und Bürger stehen!	You need to decide once and for all whether you are on the side of the financial industry or of our citizens.
