Herr Präsident, die neue WTO-Runde sendet ihre unüberhörbaren Signale.	Mr President, the new WTO round is sending out its subliminal signals.
Beispielsweise haben sich jetzt ja sogar Amerika und China in der WTO-Frage angenähert.	For example, even America and China have come closer together over the WTO question.
Lange Jahre haben wir uns in der EU-China-Delegation genau darum bemüht.	It is precisely a rapprochement of this kind that we in the EU-China Delegation have spent long years trying to achieve.
Das Rad der Geschichte, die wir mitgestalten, dreht sich also doch konstruktiv und progressiv, vorausgesetzt Konzepte und Ideen, Stehvermögen und Charisma der Handelnden überzeugen.	So the wheel of history, for whose fashioning we are partly responsible, does turn constructively and progressively provided that traders' concepts and ideas, stamina and charisma have the power to convince.
Das gilt horizontal, aber auch sektoral. Das gilt somit natürlich auch und ganz besonders im maritimen Bereich.	That applies across the board but also to particular sectors of industry and, naturally and quite specifically, to the maritime sector, therefore.
Wasserstraßen verbinden die Straßen und Kontinente auf unserem Globus, und sie sind reich an noch nicht ausgeschöpften natürlichen Ressourcen.	Waterways bind routes and continents on our planet, and they are rich in as yet unexhausted natural resources.
Schiffahrt und Schiffbau können durch die neuen technologischen Entwicklungen heute wieder aufwärtsstrebende Segmente sein.	Through new technological developments, shipping and shipbuilding can again be sectors of the economy which are aiming high.
Wer hätte das vor kurzem noch gedacht?	Who would have thought so just a short time ago?
Auch bei der Fischerei kämpfen wir um einen derartigen positiven Stellenwert.	We are fighting for a similarly positive status for the fisheries sector, too.
Trotz der grundsätzlichen anderen Bewirtschaftungsmethode appelliere ich deswegen zum Beispiel an Herrn Cunha als Agrarberichterstatter, den Fischereisektor ebenfalls zu bedenken, zumal Herr Cunha auch mein Koordinator im Ausschuß für Fischerei ist.	In spite of the basically different methods of management, I am therefore appealing, for example, to Mr Cunha, as agricultural rapporteur, to also consider the fisheries sector, particularly since Mr Cunha is also my coordinator on the Committee on Fisheries.
Wer will es denn bestreiten?	Who would want to dispute the fact?
Eine effiziente Fischereitätigkeit bildet trotz ihres geringen Haushaltsetats einen nicht unwesentlichen Teil einer dynamischen Handels- und Haushaltspolitik der EU und ist zu sehen als ein eigenständiger Wirtschaftssektor und bedeutender Ernährungszweig.	In spite of the tiny budget allocated to it, an efficient fisheries sector forms a not insignificant part of any dynamic trade and budget policy for the EU and should be seen as a sector of the economy in its own right and as a significant branch of the food industry.
Es geht auch um eine hohe Zahl von Arbeitsplätzen vor Ort - in der EU, in Drittländern, weltweit.	There are also a large number of jobs concentrated there - in the EU, in third countries and worldwide.
Verlieren wir sie, schwächen wir die ohnehin schon strukturschwachen Regionen und das alles dann in unverantwortlicher Weise!	If we lose this sector, we weaken those regions which are already structurally weak anyway, and all in a quite irresponsible way.
Hüten wir uns aber davor, die WTO als Allheilmittel unserer Probleme zu betrachten.	Let us beware, therefore, of regarding the WTO as a panacea for our problems.
Nur eine gesunde Ausgangsposition zuhause überzeugt die Wettbewerber auf unserem Globus.	Only if we start from a healthy position at home will we make a convincing case to competitors on our planet.
Auch ein total liberalisierter Markt bedeutet möglicherweise eine Ausbeutung der Fischbestände über ihre Generationsfähigkeit hinaus.	Even a totally liberalised market may possibly mean the exploitation of fish stocks beyond their ability to replenish themselves.
Ich wünsche uns also eine verantwortliche, nachhaltige und partnerschaftliche Fischerei und wünsche Herrn Schwaiger und seinem Team bei den Verhandlungen jeden Erfolg, auch zu unseren Gunsten.	I therefore want us to have a responsible and sustainable fisheries sector characterised by partnership, and I wish Mr Schwaiger and his team every success in the negotiations, not least for our own benefit.
