. – Herr Präsident!	.
Ich möchte im Namen der Familie McCartney der Sozialdemokratischen Fraktion unsere volle Unterstützung bei der Suche nach Gerechtigkeit, Wahrheit und Frieden aussprechen.	Mr President, I wish to express the wholehearted support of the Socialist Group in the European Parliament for the McCartney family in their quest for justice, truth and peace.
Wir hatten die McCartney-Schwestern bei uns, in einer Fraktionssitzung unter dem Vorsitz von Martin Schulz, und wir haben ihren Mut und ihre Geradlinigkeit bewundert und werden dies weiter tun.	The McCartney sisters joined us for a group meeting chaired by Martin Schulz, when we – as we shall continue to do – marvelled at their courage and uprightness.
Wir sind sehr froh, dass sich die Kollegen De Rossa und Gary Titley dieser Sache von zwei Seiten, die aber letztendlich ein- und dieselbe Seite sind, annehmen.	We are very glad that Mr De Rossa and Mr Titley have taken up their cause, approaching it from two sides, which are, though, ultimately one and the same.
Wenn ich als Nicht-Ire darüber spreche, dann auch, um zu dokumentieren, dass dies für uns nicht nur ein irisches, sondern ein gesamteuropäisches Problem ist.	If I, not being Irish, address the subject, I do so not least to put it on record that we see this, not as an Irish problem, but as a problem for Europe as a whole.
Wenn wir dieser Tage des Endes des Zweiten Weltkrieges gedenken, dann doch auch mit dem Hintergrund, dass Europa für uns die Antwort auf Gewalt, auf politisch motivierte Gewalt ist.	When, as we are currently doing, we commemorate the end of the Second World War, we also recall that Europe is, for us, the answer to violence, whether or not politically motivated.
Denn vielfach handelt es sich nicht um politische Maßnahmen, die hier gesetzt werden, sondern um kriminelle Aktivitäten, die nur ein politisches Mäntelchen bekommen.	The fact is that the sort of acts we are talking about today are not political measures, but criminal activities, albeit wrapped up in a political cloak.
Aber für uns alle in diesem Haus, jedenfalls für meine Fraktion, heißt Europa Suche nach Konfliktlösungen, Suche nach Diskussion, nach Verhandeln, und nicht Suche nach Gewalt und danach, wer der Gewaltsamere ist.	For all of us in this House, though, and for my group at any rate, Europe is about seeking to resolve conflicts, to discuss, and to negotiate; it is not about violence or about finding out who can be most violent.
Wir hatten heute auch John Hume, den Friedensnobelpreisträger, in unserer Fraktion, der betont hat, wie wichtig es für ihn in diesem Europa immer gewesen sei, die Unterschiede zu sehen und anzuerkennen, und zwar nicht nur die Unterschiede zwischen zwei verschiedenen Seiten, sondern auch auf derselben Seite.	John Hume, the Nobel Peace Prize laureate, also attended our group meeting today, and he stressed how important it had always been for him to perceive and acknowledge the differences in this Europe of ours – not just the differences between two sides, but differences on the same side.
Es kann nicht sein, dass jemand, der einem nicht gefällt, einfach kaltblütig ermordet wird – wie das hier der Fall war –, nur weil er vielleicht eine andere Meinung hat.	What has happened in this instance – the cold-blooded murder of a man simply because someone did not like him or perhaps because his opinions differed from their own – is not acceptable.
Auch wenn ich als politische Gruppierung eine klare Zielsetzung verfolge, dann muss ich dennoch unterschiedliche Meinungen akzeptieren. In diesem Sinne nochmals unsere volle Unterstützung für die Familie McCartney, für die mutigen Frauen, für die mutigen Schwestern, die diesen Kampf fortsetzen!	Even if a political grouping has definite objectives, it must nonetheless accept differing opinions, and so let me reiterate our wholehearted support for the McCartney family, for these courageous women, these courageous sisters, as they continue their struggle.
Wir werden auf ihrer Seite sein, so lange, bis Friede und Gerechtigkeit auch in Nordirland herrschen und der europäische Geist damit auch bei denen Einzug hält, die ihn jetzt noch nicht akzeptieren.	We will be alongside them until the day when peace and justice also prevail in Northern Ireland, and, with them, the European spirit among those who do not as yet accept it.
Wir werden bis zum Ende kämpfen.	We will fight to the very end.
