Herr Präsident, sehr geehrte Frau Berichterstatterin, sehr geehrte Damen und Herren!	Mr President, rapporteur, ladies and gentlemen.
Frau Theato, ich bedauere, dass ich noch nicht da sein konnte, als Sie Ihre Rede gehalten haben.	Mrs Theato, I am sorry I was not able to be here when you made your speech.
Ich hatte Trilog hier im Hause, der jetzt gerade erst zu Ende gegangen ist.	I had a trialogue here in the House that has only just finished.
Die Bekämpfung von Betrug am europäischen Haushalt ist und bleibt eines der wichtigsten Anliegen der Kommission.	Fighting European budget fraud is and remains one of the Commission's most important concerns.
Wir wissen, dass wir dabei uneingeschränkt auf das Europäische Parlament zählen können, das in diesem Bereich viele Initiativen ergriffen hat und ergreift.	We know that we can count on Parliament unreservedly in this, since it has taken and is taking many initiatives in this field.
Uns ist allen bewusst, dass Straftaten, die sich gegen die Gemeinschaftsfinanzen richten, nur dann angemessen und wirksam bekämpft werden können, wenn auch eine konsequente strafrechtliche Verfolgung erfolgt.	We all know that the only appropriate and effective way of tackling crimes against Community finance is for there to be consistent criminal prosecution.
Daher hatte die Kommission im Jahr 2000 vorgeschlagen, in den EG-Vertrag eine entsprechende Bestimmung zur Errichtung des Amtes eines europäischen Staatsanwalts aufzunehmen.	That is why, in 2000, the Commission proposed including a provision for establishing the office of a European Public Prosecutor in the EC Treaty.
Dieses wurde damals von Seiten des Europäischen Rates nicht beschlossen.	At the time, the Council decided not to do so.
Das Grünbuch zum strafrechtlichen Schutz der finanziellen Interessen und zur Schaffung eines europäischen Staatsanwalts, über das heute diskutiert wird und zu dem der Bericht gemacht wurde, wurde im Dezember 2001 von der Kommission vorgelegt.	It was in December 2001 that the Commission presented the Green Paper on the criminal-law protection of financial interests and the establishment of a European Prosecutor, which is being discussed today and is the subject of the report.
Auf der Grundlage dieses Grünbuchs setzte die Kommission im Jahr 2002 einen Diskussionsprozess ein.	On the basis of that Green Paper, the Commission initiated a discussion process in 2002.
Das Europäische Parlament, und hier besonders die Vorsitzende des Ausschusses für Haushaltskontrolle, Frau Theato, hat wesentlich zu dieser Debatte beigetragen und in dem Sinne auch den Anstoß gegeben.	The European Parliament, and in particular the Chairman of the Committee on Budgetary Control, Mrs Theato, has made an important contribution to that debate and also given it impetus.
Frau Theato, alle wissen es hier, ohne Ihre aktive Unterstützung und ohne Ihr Engagement, wären wir mit dem Projekt des europäischen Finanzstaatsanwalts wirklich nicht so weit vorangekommen, wie wir das sind.	Mrs Theato, everyone here knows that we really would not have made the progress that we have with the project for a European Prosecutor without your active support and your commitment.
Ich möchte Ihnen im Namen der Kommission dafür ausdrücklich danken.	I would particularly like to thank you for that on the Commission's behalf.
Die Kommission hat in der vergangenen Woche einen follow up-Bericht zum Grünbuch vorgelegt, in dem die Ergebnisse der öffentlichen Konsultation zusammengefasst sind.	Last week, the Commission presented a follow-up report to the Green Paper, summarising the outcome of the public consultation.
In der Sache steht die Mehrheit derjenigen, die sich an der Debatte, an dem Konsultationsprozess beteiligt haben, grundsätzlich einem europäischen Staatsanwalt positiv gegenüber.	Most people who took part in the debate and in the consultation process have a basically positive attitude towards a European Public Prosecutor.
Dabei haben sich die Regierungen, wie wir alle wissen, im Vergleich zu den Angehörigen der Rechtsberufe und auch von Nichtregierungsorganisationen, aber insbesondere gegenüber denjenigen, die alltäglich mit der Fragestellung zu tun haben, zurückhaltender geäußert.	As we all know, the governments had more reservations about it than the members of the legal professions and of the non-governmental organisations, and in particular than people who have to deal with the question every day.
Es ist aber nur eine Minderheit, die das Vorhaben strikt ablehnt.	But only a minority are totally against the project.
Insgesamt ist im Laufe des Jahres allerdings die Aufgeschlossenheit gegenüber dem Projekt des europäischen Staatsanwalts eindeutig gewachsen.	Over all, however, openness to the project of a European Public Prosecutor has grown appreciably as the year has gone by.
Die Kommission bekräftigt daher ihren Vorschlag zur Errichtung eines Finanzstaatsanwalts.	The Commission therefore reaffirms its proposal for the establishment of a Public Prosecutor.
Dieses Ergebnis ist um so wichtiger, als der Konvent - und darauf wurde ja Bezug genommen - jetzt in seine entscheidende Phase eingetreten ist.	This outcome is all the more important now that the Convention - as someone has already said - has entered its crucial phase.
Es werden derzeit konkrete Vorschläge für eine Verfassung erörtert.	Specific proposals for a constitution are now being discussed.
