Frau Präsidentin, meine Damen und Herren, Fremdenverkehrstätigkeit ist Wirtschaftstätigkeit.	Madam President, ladies and gentlemen, tourist activity is business activity.
Neben der wirtschaftlichen Dimension dürfen wir dabei aber nie die menschliche Dimension, also die Bedürfnisse und Wünsche der Bürger vernachlässigen.	Beside the economic dimension, however, we should never neglect the human aspect, that is to say the needs and wishes of the people.
Wenn wir in diesem Zusammenhang über Verbraucherrechte sprechen, dann sollten wir nicht vergessen zu erwähnen, daß zu Rechten immer auch Pflichten gehören.	If we only talk about consumer rights in this context, then we should not forget to mention that rights also involve duties.
Dieser Aspekt wurde im Entschließungsantrag vernachlässigt.	This aspect has been neglected in the motion for the resolution.
Darüber hinaus möchte ich auch in bezug auf den Respekt vor dem Subsidiaritätsprinzip in dem einen und anderen Punkt meine Bedenken anmelden.	In addition, I should also like to express my reservations about the respect shown for the subsidiarity principle in one or two paragraphs.
Die Vielzahl der Vorschläge initiiert das Gefühl, als sei Tourismus heute etwas Unsicheres, als hätten weder die Mitgliedstaaten noch die EU wirklich etwas Essentielles, Durchschlagendes getan.	The large number of proposals leaves you feeling that tourism is something uncertain today, as if neither the Member States nor the EU had really done anything essential or decisive in this area.
Das ist aber nicht so.	That is not the case, however.
Das scheinbar Beste ist auch für uns als Verbraucher der Feind des Guten.	The apparent best is also the enemy of the good for us as consumers.
Insofern erkenne ich große Parallelitäten zum Richtlinienvorschlag betreffend die Verbrauchsgütergarantien.	To this extent, I recognize great parallels with the draft directive on consumer goods guarantees.
Hier wie dort müssen wir uns davor hüten, die Balance zwischen Gleichmacherei, Gerechtigkeit und Freiheit - und damit zwischen den berechtigten Interessen, Rechten und Pflichten von Verbrauchern und Unternehmern - zu zerstören.	Now, as then, we need to guard against destroying the balance between egalitarianism, justice and freedom, hence also between the legitimate interests, rights and duties of consumers and business operators.
Das Aufgreifen und die Überbetonung der unbestritten positiv besetzten Begriffe wie Umweltschutz, Verbraucherrechte, Menschenrechte dürfen nicht zur blinden Überregulierung und damit zum Hemmnis für Eigeninitiative auch in der Tourismusbranche und zur Gefährdung der Selbständigkeit von kleinen und mittelständischen Unternehmen führen!	Employing and emphasizing undeniably positive concepts such as environmental protection, consumer rights and human rights should not lead to blind overregulation, resulting in the hampering of initiatives in the tourism trade too and a risk to the independence of small and medium-sized enterprises!
Das strategische Ziel von mehr Wettbewerb und besserer Qualität erreichen wir nicht über die Umsetzung der künstlich geschürten Vollkasko-Mentalität, sondern nur über das Schlüsselwort Partnerschaft.	We will not achieve our strategic objective of increased competition and improved quality through a contrived comprehensive cover approach, but rather through the key concept of 'partnership' .
Lassen Sie uns den Mitgliedstaaten nachweisen, daß Tourismuskompetenz auf europäischer Ebene nicht ein Mehr an Bürokratie bedeutet, sondern im Gegenteil zur Deregulierung und zum Abbau von Bürokratie beitragen wird.	Let us prove to the Member States that responsibility for tourism at European level does not mean an increase in bureaucracy, but will on the contrary help bring about deregulation and a reduction in bureaucracy.
