Herr Präsident, Herr Kommissar! Es ist spät, aber wir sind wach, sehr wach sogar.	Mr President, Commissioner, it is late, but we are awake, wide-awake even.
Denn die Alarmglocken läuten, noch ist der gordische Knoten nicht durchgehauen, aber das Parlament, hoffe ich, lässt nicht locker.	The alarm bells are ringing, the Gordian knot has not yet been hacked in two, but Parliament, I hope, is not giving up.
Worum geht es?	What is at stake here?
Es geht um Arbeitsplätze und um das Ansehen der EU beim europäischen Bürger.	At stake are jobs and the way the people of Europe perceive the EU.
Dank des Dringlichkeitsantrags unseres Kollegen Daniel Varela haben wir heute Abend Gelegenheit, über ein Thema zu sprechen, das genau so dringend wie problematisch ist.	Thanks to the emergency motion tabled by our colleague, Daniel Varela, we have an opportunity this evening to discuss an issue which is as problematic as it is urgent.
Es geht um die offene und ehrliche Behandlung der Konsequenzen, die auf der iberischen Halbinsel nach den gescheiterten Verhandlungen mit Marokko entstanden sind.	It concerns how to deal openly and honestly with the consequences which the failure of the negotiations with Morocco have had for the Iberian peninsular.
Die blanken Fakten sind schnell vorgetragen: Seit November 1999, haben wir gehört, darf die EU-Flotte - in der Praxis Hochseefischer aus Spanien und Portugal - nicht mehr auf die Ressourcen vor der Küste Marokkos zurückgreifen.	The bare facts are quickly stated: since November 1990, we have heard, the EU fleet - in practice deep-sea fishermen from Spain and Portugal - has no longer been able to fall back on the resources off the coast of Morocco.
4300 betroffene Fischer verteilt auf 400 Schiffe erwarten die Fortsetzung der zum Dezember 2001 auslaufenden Entschädigungsleistungen, wie uns Frau Miguélez Ramos überzeugend dargestellt hat.	The 4 300 fishermen and 400 vessels affected are hoping that the compensation payments will be continued when they expire in December 2001, as Mrs Miguélez Ramos has explained to us so convincingly.
Hinter diesen Zahlen stehen Menschen, Familien, stehen ganze Gemeinden, eingebettet in ein traditionelles Gewerbe, dem jetzt eine Zukunftsperspektive an die Hand gegeben werden muss.	Behind these figures there are people, families and whole communities who are committed to a traditional industry and we now need to give that industry prospects for the future.
Perspektive bedeutet, sich allerdings nicht nur auf finanzielle Zuwendungen zu beschränken.	In so doing, our efforts should certainly not be confined solely to giving financial handouts.
Vielmehr muss es uns - und hier hole ich die Kommission und den Rat mit an Bord - gelingen, ein umfangreiches Konzept auszuarbeiten, das überzeugend ist, und dessen Ziel eine verringerte, dafür aber wirtschaftliche Fischereitätigkeit oder Alternative darstellen kann.	It is much more important that we - and here I would bring the Commission and the Council on board too - succeed in producing a comprehensive plan which is convincing and whose aim is to provide reduced, but no less profitable, fishing activity, or alternative work.
Ich fasse den hier vorliegenden Bericht als erneuten direkten Hinweis darauf auf, wie extrem wichtig und dringend die Reformarbeit an der gemeinsamen Fischereipolitik der Europäischen Union ist, die uns alle momentan beschäftigt.	I would take this report as a further direct indication of how extremely important and urgent it is to reform the European Union's common fisheries policy, a task which is occupying all of us at the moment.
Dass sich die einzelnen Schlagwörter - Außenbeziehungen, Handelsabkommen, Abbau von Kapazitäten sowie umfangreiche Umstrukturierung - auch wie ein roter Faden durch die Arbeitsdokumente zur Reform ziehen, ist kein Zufall.	It is no coincidence that the individual key words - external relations, trade agreements, capacity reduction and extensive restructuring - are also a leitmotif in the working documents on the reform.
Vielmehr zeigt uns die aktuelle Lage in Spanien und Portugal, dass es jetzt höchste Zeit ist, ein Paket zu schnüren, welches den Namen Reform auch wirklich verdient.	The current situation in Spain and Portugal also highlights the fact that it is now high time to conclude a package which is really worthy of the name reform.
Es kann nicht darum gehen, Mitglieder eines stolzen Gewerbes zu reinen Almosenempfängern zu degradieren.	It is unacceptable to reduce members of a proud industry to the level of being simply recipients of charity.
Das dürfen wir als Wertegemeinschaft nicht zulassen.	As a Community of values we must not allow this.
Ich denke, angesichts sinkender Erträge haben wir die enormen Herausforderungen erkannt.	Falling yields have, I believe, helped us to recognise the huge challenges.
Lassen Sie uns nun auch gemeinsam die richtigen Schritte finden und die Flexibilität zeigen, die die Berichterstatterin und auch die anderen Kollegen angemahnt haben.	Let us now work together to identify the right action to take and let us show the flexibility which the rapporteur and also other colleagues have reminded us is so important.
