Frau Präsidentin, liebe Kolleginnen und Kollegen! Es gibt ein großes Klimaproblem.	Madam President, ladies and gentlemen, there is a serious climate problem.
Das wird von keinem geleugnet.	No one is denying that.
Aber es geht in der politischen Auseinandersetzung darum, wie wir bei der Frage der Lösung damit umgehen.	The political issue, however, is how we approach the effort to solve the problem.
Ich muss sagen, dass wir bei dem vorliegenden Bericht große Probleme mit der Art und Weise haben, wie mit dem Problem umgegangen wird.	I must say that we have had great difficulties with the present report as regards the manner in which the problem is being addressed.
Probleme löst man nicht dadurch, dass man Untergangsszenarien beschreibt und von Verletzung von Menschenrechten spricht, eine Sprache wählt, die eher abschreckt, als dass sie Lösungen anbietet.	Problems are not solved by describing doomsday scenarios and speaking of human-rights violations or by adopting a disheartening tone instead of proposing solutions.
Es muss darum gehen, dass man nüchtern, sachlich, unterschiedliche Argumente gewichtend nach Lösungen sucht.	The aim must be to search realistically and objectively for solutions, weighing up diverse arguments.
Insofern finde ich es bedauerlich, dass wir in der Frage der Ursachen von Klimaentwicklung und -veränderungen nicht die Bereitschaft hatten, auch unterschiedliche Einschätzungen zuzulassen.	In this respect I find it regrettable that we have not been prepared to countenance divergent assessments regarding the causes of climate trends and changes.
Ich bin dafür, auch ehrgeizige Ziele zu benennen, aber man muss auch schauen, dass sie realisierbar sind. Ansonsten wird die Politik am Ende wirkungslos sein.	I am all for the inclusion of ambitious goals, but it is also essential to ensure that they are achievable, otherwise our climate policy will be ineffectual.
Es kann auch nicht sein, dass man Tabus errichtet und sagt: Das Thema Kohle und Weiterentwicklung oder das Thema Kernenergie darf man gar nicht diskutieren, sondern die einzige Antwort ist erneuerbare Energie.	It is also wrong to establish taboos and say that the subject of coal and the development of clean-coal technology or the subject of nuclear power are off limits and that the only answer is renewable energy.
Damit wird man dem Problem überhaupt nicht gerecht.	Such an approach completely fails to address the problem.
Es braucht eine umfassende Debatte, die alle Aspekte ausführlich behandelt und die offen ist für verschiedene Instrumente, offen ist für verschiedene Hinweise.	What is needed is a comprehensive debate in which all aspects are examined in detail and in which we are all open to a variety of instruments and to information from a wide range of sources.
Ich finde, es gehört zum Beispiel auch dazu, dass wir bedenken, welche Wirkungen wir mit welchen Mitteln erreichen können.	I believe we should also consider, as part of that debate, what impact we can achieve with what resources.
Wie erreichen wir die höchste Wirkung?	How do we maximise the impact?
Es gehört dazu, auch die Kosten in Abwägung zu ziehen.	We should also reflect on costs.
Es gehört für mich dazu, nicht nur die Methode von staatlichen politischen Beschlüssen in den Mittelpunkt zu stellen, sondern zu überlegen, wie mir ein paar Kollegen gesagt haben: Wie kann man Technologieentwicklung vorantreiben und stützen?	I believe we should not only focus on the way in which national political decisions are taken but also consider, as one or two colleagues have said to me, how the development of technology can be spurred on and supported.
Es macht für mich keinen Sinn, auf der einen Seite hier die Debatte von heute zu haben und auf der anderen Seite dann zwei, drei Stunden oder zwei, drei Tage später am selben Ort über Lissabon-Strategien und ähnliches zu diskutieren.	I do not see any sense in holding today's debate and then, two or three hours or two or three days later, discussing Lisbon strategies and the like in the same chamber.
Das muss zusammengebracht werden, wenn man Klimawandel bekämpfen will, wenn man Folgen mildern will.	These two debates must be rolled into one if we want to fight climate change and mitigate its effects.
Ich bin der Auffassung, dass die kritischen Anmerkungen, die wir auch in den Beratungen vorgetragen haben, nur eine begrenzte Chance hatten.	In my view there has been only a limited opportunity here to voice the critical comments that we aired in our deliberations in committee.
Ich wünsche mir, dass wir bei dem nächsten, bei dem ausführlichen Bericht des Klimaausschusses eine Chance bekommen, etwas differenzierter zu argumentieren.	I hope that the next time, when we deal with the full report from the Committee on Climate Change, we shall have a chance to put forward a rather wider spectrum of arguments.
