Frau Präsidentin, verehrte Kollegen! Grundsätzlich begrüße ich das Europäische Umweltzeichen.	Madam President, ladies and gentlemen, I fundamentally welcome the European Ecolabel.
Es ist richtig, dass wir einen neuen Anlauf unternehmen, um dieses Umweltzeichen der Gemeinschaft weiter zu verbreiten.	It is right that we should make a new attempt to spread the Community Ecolabel further.
Ich finde es auch richtig, dass wir in Zukunft an der Freiwilligkeit festhalten.	I also think it is right that we will be retaining the voluntary nature of the scheme in future.
Das Zeichen wird sich künftig nur dann durchsetzen, wenn es klare Kriterien und Maßstäbe gibt, die den Erwerb dieses Zeichens voraussetzen.	In future, the label scheme will only be implemented where clear criteria and yardsticks apply, which must be met before the Ecolabel may be used.
Hier appelliere ich an die EU-Kommission, vernünftige, klare und verständliche Kriterien zu erarbeiten.	In this regard, I call on the Commission to draw up sensible, clear and comprehensible criteria.
Der Anreizgedanke muss dabei im Vordergrund stehen.	The idea of attracting people to the scheme must be at the heart of this.
Es wäre bedauerlich, wenn die Etablierung des Umweltzeichens an Bürokratiehürden scheitert.	It would be a great shame if the establishment of the Ecolabel were to fail due to bureaucratic obstacles.
Über Erfolg oder Misserfolg des Zeichens entscheidet am Ende der Verbraucher, denn bei ihm muss es auf Akzeptanz stoßen.	It will be the consumer, at the end of the day, who decides whether the Ecolabel succeeds or fails, as it is with consumers that the scheme must find acceptance.
Auch wenn ich persönlich sehr am blauen Engel, den wir in Deutschland haben, hänge, darf es am Ende keine Geschmacksfrage sein, sondern es kommt darauf an, dass dem Verbraucher auf einen Blick vermittelt wird, welche besonderen Eigenschaften ein Produkt hat.	Attached as I am to the Blue Angel ecolabel that we have in Germany, it must not be a question of personal preference, at the end of the day, but rather it comes down to conveying to consumers at a single glance what specific qualities a product has.
Ein Mehrwert für den Verbraucher entsteht nur dann, wenn die Mitgliedstaaten auf ihre jeweiligen eigenen Zeichen verzichten, und es am Ende ein einheitliches Zeichen auf europäischer Ebene gibt.	There will only be added value for consumers if the Member States do not use their own symbols and there is ultimately a uniform symbol at the European level.
Ein Wirrwarr an Symbolen verunsichert den Verbraucher und informiert ihn nicht.	A jumble of symbols alienates consumers rather than informing them.
Ein Zeichen, eine Aussage - dafür sollten wir gemeinsam arbeiten.	One symbol, one conclusion - that is what we should all be working towards together.
