Verfasser. - Herr Präsident! Unser früherer Alterspräsident Otto von Habsburg wurde einmal gefragt, ob er bedauere, dass er nicht Kaiser, sondern Europaabgeordneter ist.	author. - Mr President, our former Oldest Member, Otto von Habsburg, was once asked whether he regretted being an MEP rather than an emperor.
Er hat gesagt: Nein, denn wenn ich Kaiser wäre, müsste ich einen Esel Exzellenz nennen, und so kann ich einen Esel einen Esel nennen.	He said no, because if he was an emperor he would have to call a fool 'Your Excellency' but as an MEP he could call a fool a fool.
An diese Geschichte muss ich denken, wenn es um Fragen der Menschenrechte geht.	I am reminded of this story when human rights issues come up.
Wir sind kein diplomatisches Gremium, wir sind ein politisch-parlamentarisches Gremium.	We are not a diplomatic body; we are a political parliamentary body.
Wir können die Wahrheit sagen.	We can speak the truth.
Es gibt ein Sprichwort, das sagt: Der Fisch fängt vom Kopf an zu stinken.	There is a saying that goes 'the fish stinks from the head down'.
Es ist eben nicht so - und ich danke der Kollegin Weber, dass sie das so klar angesprochen hat -, dass diese Zwischenfälle und Ermordungen im Kaukasus irgendwelche Zufälle oder das Wirken irgendwelcher dunklen Mächte sind, sondern seit der Machtergreifung von Herrn Putin, die mit dem Thema Tschetschenien zusammenhängt, mit den mysteriösen Explosion von Häusern in Moskau, ist seit vielen Jahren eine Blutspur da, die immer wieder nach Tschetschenien führt und unschuldige Menschen trifft: die Zivilbevölkerung und vor allem auch Menschenrechtsaktivisten, die sich wie die Genannten - und viele haben wir ja persönlich gekannt - nicht nur für die Menschenrechte der Tschetschenen einsetzen, sondern für ein demokratisches Russland, für die Völkerverständigung zwischen Tschetschenen und Russen und für den Frieden im Kaukasus.	It is not the case - and I would like to thank Mrs Weber for giving such a clear speech - that these incidents and murders in the Caucasus are in any way random or the work of some dark force, but rather, since Mr Putin came to power, which is linked to the matter of Chechnya and the mysterious explosion of houses in Moscow, there has been a trail of blood there for years that always leads back to Chechnya and affects innocent people: civilians and, in particular, human rights activists who, like those mentioned - and many of these people were known to us personally - not only work for the human rights of Chechens but also for a democratic Russia, for an understanding between the peoples of Chechnya and Russia and for peace in the Caucasus.
Diese Menschen werden wirklich einer nach dem anderen ermordet.	These people are being murdered one after the other.
Deshalb, liebe Kollegin De Keyser, war es notwendig, eine Dringlichkeitsdebatte abzuhalten.	Mrs De Keyser, this is why it was necessary to hold an emergency debate.
Wir machen uns doch lächerlich, wenn eine Frau, die hier im Haus Preise erhalten hat, die uns aufgrund ihres Engagements für die Menschenrechte in Straßburg besucht hat, vor unseren Augen ermordet wird und wir das Thema auf irgendeine spätere Debatte vertagen.	We will make ourselves a laughing stock if a woman who received praise in this House and who visited us in Strasbourg on account of her commitment to human rights is murdered in front of our eyes and we then postpone the debate on the subject to some later date.
Man schaut in Russland ganz genau, ob wir in der Lage sind, sofort zu reagieren. Und wir müssen sofort reagieren, indem wir klar sagen: Schluss mit dem Morden, Schluss mit der Verletzung der Menschenrechte, Freiheit für Tschetschenien und für Russland, aber vor allem Schluss mit den systematischen Menschenrechtsverletzungen und Morden vor mysteriösem Hintergrund!	Russia is watching closely to see whether we are in a position to respond immediately - and we must respond immediately by saying very clearly: put an end to the murders, to the violation of human rights and grant freedom to Chechnya and Russia, but above all put an end to the systematic violation of human rights and murders in mysterious circumstances.
