Wir benötigen eine neue Selbständigkeit.	A new independence is what is needed.
Wir müssen dafür Sorge tragen, dass die Fesseln beseitigt und die Bürokratie reduziert werden, aber gleichzeitig notwendige Schutzmechanismen erhalten bleiben. Unternehmensgründungen sind zu erleichtern, Forschung ist zu erhöhen und der Binnenmarkt ist zu verwirklichen.	While we have to ensure that the shackles are taken off and bureaucracy cut down, the necessary protection mechanisms must remain in place; it must be made easier to set companies up, there must be more research, and the internal market needs to become a reality.
Ich bin etwas traurig, weil ich das Gefühl habe, dass wir in den letzten Wochen und Monaten auch in diesem Hause quer durch die Fraktionen und Mitgliedstaaten nicht so wie die Kommission Wirtschaft und Arbeit – wirtschafts- und beschäftigungspolitische Leitlinien – zusammenführen, sondern eher wieder in eine Debatte nach den Mustern des alten Klassenkampfes flüchten: hier Arbeitgeber, dort Arbeitnehmer, hier soziale Schutzmechanismen, dort Liberalisierung.	What does rather sadden me is the feeling I get that, over the last weeks and months, the Member States and the various political families in this House have not – unlike the Commission – been using economic and employment policy guidelines to bring business and labour together, but have instead, in debate, been resorting to the old-style models of class warfare, with employers on one side, workers on the other; social protection mechanisms on the one hand and liberalisation on the other.
So werden wir die Fragen nicht lösen und den Menschen nicht mehr Vertrauen in den politischen Entscheidungsprozess geben können.	This will not enable us to resolve the issues and give people greater confidence in the political decision-making process.
Für uns ist der Markt nicht Selbstzweck, sondern Mittel zum Zweck.	We see the market not as an end in itself, but as a means to an end.
Wir müssen aber die Wettbewerbsfähigkeit des Marktes stärken. Das Ziel ist es, die Wettbewerbsfähigkeit zu erhöhen, Beschäftigung zu schaffen und die ökologische Verantwortung wahrzunehmen.	We must nevertheless make it more competitive; we aim to increase competitiveness, create jobs and take our environmental responsibilities seriously.
Gute Sozial- und Umweltpolitik kann einen Beitrag zu mehr Wettbewerbsfähigkeit und zu Wachstum und Beschäftigung leisten. Sie muss nicht zwangsläufig eine Behinderung für mehr Wettbewerbsfähigkeit sein.	Far from inevitably hampering competition, good social and environmental policies can help make us more competitive, promote growth and create new jobs.
Daher sage ich: Wir benötigen die Verfassung, weil sie soziale Grundrechte sichert.	This leads me to say that it is because it secures fundamental social rights that we need the Constitution.
Wir benötigen die Beseitigung der Einstimmigkeit in der Steuerpolitik.	We need to get rid of unanimity on matters of fiscal policy.
Wir benötigen die Verwirklichung des Binnenmarktes.	We need to complete the internal market.
Wir benötigen soziale Grundrechte und Grundstandards in der Europäischen Union, wenn wir mehr Liberalität und mehr Marktwirtschaft wollen, weil wir nicht das Kind mit dem Bad ausschütten, sondern dem Ordnungsmodell der ökosozialen Marktwirtschaft neues Leben einhauchen wollen.	The European Union needs fundamental social rights and basic standards if there is to be more liberality and a more market-oriented economy, for, rather than throwing the baby out with the bathwater, we want to breathe new life into the model of the environmentally-responsible social market economy.
