Herr Präsident! Die Interdependenz von Makropolitik und Vollbeschäftigung ist evident.	Mr President, the interdependence between macropolicy and full employment is evident.
Wir brauchen ein Wachstum oberhalb des Produktivitätswachstums, um Vollbeschäftigung zu erreichen und die Erwerbsquote auf das Niveau anderer Weltregionen anzuheben.	If we are to achieve full employment and raise the employment rate to the level of other regions of the world, we need growth over and above growth in productivity.
Wir brauchen die Vollbeschäftigung im Übrigen, um die Binnennachfrage anzukurbeln und auch Einnahmen der EU-Staaten zu erzielen.	We also need full employment to step up internal demand and to achieve gross income from the EU Member States.
Für ein nachhaltiges Wachstum auf einem hohen Niveau über eine längere Zeit ist dies eine Voraussetzung, die in den Grundzügen der Wirtschaftspolitik in einer deutlicheren Sprache und mit Vorgaben als Auftrag an die Mitgliedstaaten stärker deutlich gemacht werden sollte.	This is a prerequisite if we are to achieve sustainable growth at a high level over a substantial period, and a prerequisite that needs to be expressed more clearly in the broad guidelines for economic policies and which needs to be made clearer in the guidelines for Member States.
Die jetzige Vorlage setzt immer noch zu stark auf Strukturreformen.	The present guidelines are still too much geared towards structural reforms.
Sie können aber nur begrenzt als Wachstums- und Beschäftigungsmotor dienen.	But such reforms have only limited scope for acting as an engine for growth and employment.
Zweifellos wird die Umsetzung des Finanzaktionsplans einen Teil der Produktivitätslücke zwischen der Europäischen Union und den USA schließen, aber eben nur teilweise.	No doubt the implementation of the financial action plan will partly close the gap in productivity between the EU and the USA, but only partly.
Deswegen muss auf ein höheres Investitionsniveau gesetzt werden.	That is why we need to aim for a higher level of investment.
In den USA waren in den 90er Jahren mit starken Wachstums- und Beschäftigungseffekten Investitionssteigerungen um 4 % möglich.	Increases in investment of 4% were possible in the USA during the 1990s, with a significant impact on growth and employment.
Warum nicht in der EU?	So why not in the EU?
Die Grundzüge der Wirtschaftspolitik machen zu Investitionen nur unzureichende Vorgaben.	There is not enough emphasis in the broad guidelines for economic policies on investment.
Es ist ein Fortschritt, das will ich nicht verkennen, wenn alle EU-Mitgliedstaaten 3 % des Bruttoinlandsprodukts für Forschung und Entwicklung investieren sollen und wollen, und auch in Humanressourcen stärker investiert werden soll.	I am not denying that it represents progress that all the EU Member States intend to invest 3% of their GDP in research and development, and that they also intend to invest more in human resources.
Schließlich sind die Humanressourcen der Rohstoff Europas.	After all, human resources are Europe's raw material.
Mehr aber noch muss in Bildung und Qualifizierung investiert werden, wenn die wissensbasierte Gesellschaft europäische Realität werden soll.	However, more needs to be invested in education and training if the knowledge-based society is to become a reality in Europe.
Die Investitionen müssten von 21 % auf 25 % steigen.	Investment would need to rise from 21% to 25%.
Das gilt in erster Linie für die privaten Investitionen, die die Produktionskapazitäten und Jobs schaffen würden, die dieses nachhaltige Wachstum auf eine längere Dauer möglich machen, aber auch den technologischen Fortschritt organisieren könnten und damit wiederum zur Nachfragesteigerung beitragen würden.	This applies primarily to private investment needed to create production capacity and jobs which would make this sustainable growth possible in the longer term, but which would also promote technological progress and thus contribute in turn to increased demand.
Aber auch die öffentlichen Investitionen müssen anziehen.	But public-sector investment also needs to increase.
Wir brauchen hier Investitionen vor allem im Bereich der Infrastrukturmaßnahmen, die durch die Konsolidierungsprozesse im Jahr 2001 mit einem Wert von 2,3 % des Bruttoinlandsprodukts besonders gelitten haben, weil sie besonders stark betroffen waren.	In this field we chiefly need investment in infrastructure, which was particularly hit because of the consolidation process in 2001, with a level of 2.3% of GDP.
Hier sollte eine Zielvorgabe von 3 % für die Stabilitätsprogramme eingeführt werden.	A target of 3% needs to be introduced for stability programmes here.
Ich denke, das wäre eine Überlegung wert.	I think that is worth considering.
Eine Schlussbemerkung: Die Kommission erwähnt zu Recht die Notwendigkeit der Koordinierung der Steuerpolitiken.	By way of conclusion I would like to mention that the Commission is quite right to touch on the need for the coordination of fiscal policies.
Wir wissen, dass die Unternehmen inzwischen auch kritisieren, dass in der EU die Planbarkeit in Bezug auf die Besteuerung und vor allen Dingen in Bezug auf die grenzübergreifenden Wirtschaftstätigkeiten, die wir gerne wollen, nicht gegeben ist.	We know that companies are now critical of the fact that there is no scope for planning in the EU in relation to taxation and above all in relation to cross-border economic activity, something we would like to see.
Von daher müsste in den Grundzügen der Wirtschaftspolitik alles dafür getan werden, dort Koordinierung zu forcieren, wo Störungen beim Funktionieren des Binnenmarktes auftreten.	As much provision as possible should therefore be made in the broad guidelines for economic policies to ensure coordination where there are disruptions in the functioning of the internal market.
