Herr Präsident, sehr geehrter Herr Kommissar!	Mr President, Commissioner.
Ich möchte mich zunächst beim Vorsitzenden unseres außenpolitischen Ausschusses, Elmar Brok, bedanken, dass er in die länderübergreifende Entschließung wichtige Punkte aus den Stellungnahmen der mitberatenden Ausschüsse aufgenommen hat.	I should like to start by thanking the chairman of our Committee on Foreign Affairs, Elmar Brok, for including important points from the various committee opinions in the joint motion.
Als Ko-Verfasserin einer dieser Stellungnahmen, nämlich der des Ausschusses für Grundfreiheiten, und einer Stellungnahme für den Ausschuss für Recht und Binnenmarkt bin ich heute eine der wenigen Vertreterinnen der mitberatenden Ausschüsse, die in dieser Debatte überhaupt zu Wort kommen können. Ich muss daher auch ein bisschen Kritik an unserem parlamentsinternen Verfahren anbringen.	As joint draftsman of an opinion on behalf of the Committee on Fundamental Freedoms and an opinion on behalf of the Committee on Legal Affairs and the Internal Market, I am one of the few members of the committees required to give an opinion who has been able to take the floor in this debate and I do so in order to voice my criticism of our in-house procedure.
Das betrifft zum einen den Zeitpunkt dieser Debatte.	First, the timing of the debate.
Ich denke, dass es besser gewesen wäre, die nächsten Fortschrittsberichte der Kommission abzuwarten.	I think that it would have been better to wait for the Commission's next progress reports.
Zum anderen finde ich es sehr bedauerlich, dass nur wenige Länderberichterstatter des außenpolitischen Ausschusses die Stellungnahmen der mitberatende Ausschüsse berücksichtigt haben und auch die Verfasser dieser Stellungnahmen entgegen den Gepflogenheiten in diesem Haus diesmal nicht automatisch eine Redezeit in dieser Debatte zugestanden bekommen haben.	Secondly, it is a great pity that only a few of those reporting on individual countries for the Committee on Foreign Affairs have taken note of the opinions of the other committees and that the draftsmen of these opinions were not automatically allocated speaking time during the debate, as is our custom in the House.
Dennoch bin ich sehr froh, dass sehr wichtige Punkte aus meinen Ausschüssen in der länderübergreifenden Stellungnahme enthalten sind. Das ist zum einen die Wichtigkeit des Artikels 13 und des Acquis, den wir mittlerweile entwickelt haben, um Diskriminierungen zu bekämpfen.	Nonetheless, I am delighted that a number of very important points raised by my committees have been included in the common opinion, including the all-important Article 13 and the acquis developed in the meantime in order to combat discrimination.
Ich denke, das muss in den Erweiterungsverhandlungen ebenso wichtig genommen werden wie beispielsweise das Recht des Binnenmarktes.	I think enlargement negotiations should attach equal importance to this and, for example, internal market legislation.
Zum anderen glaube ich auch, dass es sehr wichtig ist, darauf hinzuweisen, dass in der Entschließung erstmals die Forderung enthalten ist, dass wir in Zukunft die Sicherung der Außengrenzen der erweiterten Europäischen Union als Gemeinschaftsaufgabe ansehen und nicht als alleinige Aufgabe des Landes, das an der Grenze liegt.	I also believe that it is important to note that the motion calls, for the first time, for the security of the external borders of the enlarged European Union to be a Community responsibility, rather than the sole responsibility of the country on the border.
Abschließend noch eine Bitte, gerade auch als österreichische Abgeordnete.	Finally, one further request, this time in my capacity as an Austrian member.
Ich finde den Bericht des Kollegen Schröder zur Tschechischen Republik sehr gut, und ich möchte das Haus bitten, ihn in allen Punkten zu unterstützen.	I think Mr Schröder has written an excellent report on the Czech Republic and I should like to ask the House to support him on all counts.
