Herr Kommissar, Herr Präsident, meine sehr geehrten Damen und Herren!	Commissioner, Mr President, Lothar was a quite ordinary name hitherto.
Bisher war Lothar ein ganz gewöhnlicher Name.	However, it has now achieved notoriety.
Leider hat aber Lothar inzwischen eine traurige Berühmtheit erlangt. Dieser gleichnamige Orkan fegte über Europa hinweg und forderte vor allem in Frankreich und in Deutschland, aber auch in der Schweiz zahlreiche Opfer und hinterließ eine Schneise der Verwüstung.	The hurricane of the same name swept across Europe claiming numerous victims, mainly in France and Germany, but also in Switzerland, leaving a trail of destruction in its wake.
Der Wind hat gesiegt über Strommasten, Dächer, Verkehrszeichen und letztendlich über den Wald.	The wind triumphed over electricity pylons, roofs, traffic signs and, ultimately over the forest.
Es sind ja nur Schätzungen, wenn wir jetzt hören, daß durch den Sturm in kurzer Zeit ca. 120 Millionen Festmeter Holz in Europa anfallen.	We have heard that in a short space of time the storm left us with approximately 120 million cubic metres of solid timber, and this is only an estimate.
Ich habe Ihnen, Herr Kommissar, sehr aufmerksam zugehört und begrüße es auch außerordentlich, daß Sie sich vor Ort in Frankreich und in Deutschland die Katastrophe einmal ansehen werden.	I have listened to you very attentively Commissioner, and welcome with open arms the fact that you are intending to go and see for yourself the effects the catastrophe has had in France and in Germany.
Wenn Frau Schreyer nun in den kommenden Tagen im Schwarzwald ist, wird der einzelne Landwirt unter Umständen die Frage stellen, wie kann mir denn die Kommission jetzt helfen? Wie kann mir Europa helfen?	If Mrs Schreyer is to visit the Black Forest sometime in the next few days, then any one farmer might ask her how the Commission and Europe would be able to help him as an individual.
Was sagen Sie denn dem Forstwirt, wenn sein Betrieb unter Umständen nicht im Ziel-2-Gebiet liegt, wenn sein Betrieb nicht im 5b-Gebiet liegt?	What would you say to the forestry manager if his enterprise happened not to be in an Objective 2 region, or in a 5b region?
Wie will die Kommission bei dem Besuch vor Ort antworten, wenn Sie dem Waldbauer sagen, wir unterstützen Wegebau, wir unterstützen Dämme, wir wollen das kulturelle Erbe wieder aufbauen, wir wollen touristische Angebote machen usw.?	What answer will the Commission give, when it is on the scene, when you tell the forestry worker that we support road construction and dam-building, and we want to rebuild our cultural heritage and create tourist attractions etc.?
All dies sind gutgemeinte Ratschläge.	All this is well-intentioned advice.
Doch ich komme selbst aus einer Forstwirtschaft im Norden Deutschlands, und ich sage Ihnen, daß wir in unserer Region schon jetzt diese immensen Schäden spüren.	However, I come from an area in Northern Germany where the forestry industry predominates and I can tell you that we are already feeling the effects of the immense damage.
Die notwendige Durchforstung wird nicht fortgeführt, die Wälder werden nicht im erforderlichen Maße gepflegt.	The thinning-out we need is not being attended to; the forests are not being tended to the requisite degree.
Was wir aus Sicht der Kommission dringend brauchen, ist auch ein Ja zu den nationalen Hilfen, damit wir nicht hinterher wieder von irgendwelchen Wettbewerbssituationen reden.	What we need the Commission to do as a matter of urgency is to approve national aid, so as to avoid the competition issue being raised again at a later date.
