(HU) Herr Präsident, meine Damen und Herren! Geht es in dieser Aussprache um Geld und Macht?	(HU) Mr President, ladies and gentlemen, is this debate about money and power?
Nein, geht es nicht.	No, it is not.
Der Motor der europäischen Entwicklung stottert.	The engine of European development is spluttering.
Die Einnahmenseite des Haushaltsplans wartet seit Jahren auf eine Reform.	The revenue side of the budget has been waiting for a reform for years.
Der Vertrag von Lissabon besagte, dass sich Einnahmen aus Eigenmitteln ergeben müssen.	The Treaty of Lisbon said that income had to be provided from our own resources.
Also, warum nicht?	So why not?
Warum können wir dies nicht überdenken?	Why can we not deliberate on this?
Seit Jahren sagen Experten, der europäische Haushalt sei unflexibel, dass er es sei, der die Europäische Union zu einer lahmen Ente mache.	For years, experts have been saying that the European budget is inflexible, that this is what renders the European Union a lame duck.
Warum also schaffen wir nicht einen flexiblen Haushaltsplan?	So why do we not create a flexible budget?
Wir können keinen Herausforderungen einer schnelllebigen Welt begegnen, wenn wir gefesselt sind - gefesselt durch einen Sieben-Jahres-Haushalt - gleichzeitig jedoch sollten wir nicht jene europäischen Grundprinzipien außer Acht lassen, die besagen, dass Meinungsverschiedenheiten in einer offenen Aussprache und in Form von Kompromissen ausgeräumt werden müssen.	We cannot respond to the challenges of a rapidly changing world while hogtied - hogtied by a seven-year budget - but, at the same time, we should not disregard those basic European principles which state that differences of opinion must be resolved in an open debate and through compromise.
Es ist inakzeptabel, dass es Staaten gibt, die noch nicht einmal zu einer Aussprache bereit sind.	It is unacceptable that there are states which are not even willing to engage in a debate.
Dies bedeutet das Ende des europäischen Geistes.	This means the end of the European spirit.
Wir sind weiterhin offen für Diskussionen, und die Verantwortung liegt bei denen, die sich ungern auf Diskussion einlassen.	We continue to be open to discussion, and the responsibility lies with those that are reluctant to engage.
Manche sagen, dass politische Themen nicht mit Haushaltsfragen verknüpft werden dürfen.	Some say that political issues must not be linked to budgetary ones.
Ganz im Gegenteil!	Quite the contrary!
Die Geschichte der gesamten Europäischen Union dreht sich hierum.	The history of the entire European Union has been about this.
Bitte recherchieren Sie selbst!	Please research for yourselves!
Hier repräsentieren wir die Bürger, und wir können ihnen nicht in die Augen sehen, während wir ihnen immerzu mit großartigen Täuschungsmanövern kommen: dem Europa 2020-Programm, dem Lissabon-Programm, und wir haben keine Mittel, sie umzusetzen.	Here, we represent the people, and cannot look them in the eyes while presenting them with magnificent feints again and again: the 2020 programme, the Lisbon Programme, and we have no means to implement them.
So kann es nicht länger weitergehen!	It cannot go on like this any longer!
Es sind nicht die Auseinandersetzungen des Rates mit dem Parlament.	It is not the Council arguing with Parliament.
Es sind die, die nicht in der Lage sind, den Zeitgeist zu verstehen, die sich mit denen streiten, die sich ein Europa wünschen, das funktioniert.	It is those who are unable to comprehend the spirit of the times who are arguing with those wishing to have a functioning Europe.
