, Berichterstatter.	, rapporteur.
Herr Präsident! Wenn wir diese Debatte über die Erdölversorgung der Europäischen Union vor einem halben Jahr gehabt hätten, wäre wahrscheinlich die Aufmerksamkeit sehr viel größer gewesen, und es hätte sicher sehr viele Journalisten gegeben, die am anderen Tag darüber berichtet hätten.	Mr President, if we had held this debate on the oil supply of the European Union six months ago, far more attention would probably have been paid to it and a host of journalists would have been here so that they could report on it the following day.
Ich bezweifle, ob das heute auch der Fall sein wird, denn inzwischen haben sich die Wogen wieder geglättet.	I doubt if this will be the case today because things have calmed down somewhat since.
Erstaunlicherweise waren damals, als die Erdölpreise gar nicht so dramatisch, aber immerhin nach oben gingen, die Straßen voller Demonstranten, und wenn damals Wahlen gewesen wären in dem einen oder anderen Land, dann hätte vermutlich die Regierung erhebliche Schwierigkeiten gehabt, wiedergewählt zu werden, obwohl sie gar nichts dazu kann, aber die Psychologie hat eine große Rolle gespielt.	Surprisingly, back then, when oil prices were indeed rising, albeit not so dramatically, the streets were full of protesters and if a country had held elections, the government would probably have had terrible trouble getting re-elected; even though there is nothing they can do about it, psychologically it makes a huge difference.
Die Menschen waren durcheinander, und viele waren auf der Straße und waren verärgert.	People were confused and many took to the streets in anger.
Was will ich damit sagen?	What exactly is my point here?
Ich will damit sagen, dass die Erdölpolitik außerordentliche Auswirkungen haben kann auf die öffentliche Meinung in unseren Ländern und dass wir vorsichtig sein müssen, wenn wir über Erdöl sprechen.	My point is that oil policy can have an extraordinary effect on public opinion in our countries and we must be take care when talking about oil.
Man gewöhnt sich offenbar an die hohen Preise.	Obviously, people are getting used to higher prices.
Inzwischen steht der Erdölpreis bei 30 $ pro Barrel, und es gibt keinen Aufstand - damals wäre sogar das ein Risiko gewesen.	The price of oil has since risen to 30 dollars a barrel, yet there is no revolt - at one time, even that rise would have constituted a danger.
Ich will damit zum Ausdruck bringen, dass das Thema nicht unbedeutend ist und wir uns deswegen Mühe geben sollten, zu einer Stabilisierung der Preise beizutragen - wohlwissend, dass natürlich die Preise in den nächsten Jahren - der Verknappung des Öls wegen und aus ökologischen Gründen - eher nach oben denn nach unten gehen werden, aber abrupte Veränderungen sind riskant.	What I am trying to say here is that this is not an insignificant issue and we should make an effort to help stabilise prices - knowing full well that prices will, of course, tend to go up before they go down over the next few years, due to the shortage of oil and for ecological reasons, and that abrupt changes are dangerous.
Die Kommission hat damals eine Mitteilung veröffentlicht, zu der ich sie nachträglich beglückwünschen möchte.	The Commission published a communication back then, on which I should now like to congratulate it.
Ich halte sie für außerordentlich hilfreich und intelligent gemacht, und ich glaube, die wichtigste Botschaft - und die möchte ich auch in meinem Bericht rüberbringen - ist: Wir brauchen ein geordnetes Verhältnis mit der OPEC.	I think it is an exceptionally helpful and intelligent communication and I think the most important message - and it is this message which I also want to get across in my report - is that we need proper relations with OPEC.
Wir brauchen einen Dialog mit der OPEC, und vor allem, die Europäische Union muss in diesem Dialog mit einer Stimme sprechen.	We need dialogue with OPEC and, more importantly, we need the European Union to speak with one voice in this dialogue.
Nicht mit 15, sondern mit einer Stimme.	Not with fifteen, with one.
Ich mache Ihnen gerne ein Kompliment, Frau Kommissarin, aber ich hätte es auch sonst gesagt: Es muss die Kommissarin sein, die für die Europäische Union spricht!	I am pleased to pay you the compliment, Commissioner, but I would have said it anyway: it must be the Commissioner who speaks for the European Union.
Ich kann mir durchaus vorstellen, dass man dann den Korridor, den auch die OPEC anstrebt, zwischen ungefähr 22 und 28 $ pro Barrel hält.	I can imagine that the band which OPEC is aiming for will be pegged at between about 22 and 28 dollars a barrel.
Auch 30 $ halte ich noch für keine Katastrophe, wenngleich allein schon der Inflation wegen 25 $ für uns natürlich angenehmer sind als 30 $.	Even 30 dollars would not be a catastrophe, even if, because of inflation, we would, of course, be more comfortable with 25 rather than 30 dollars.
Was sind die Streitpunkte, auch in diesem Parlament?	So where are the bones of contention, including here in Parliament?
Da ist zum einen die Frage der Steuerharmonisierung, der Harmonisierung von Mineralölsteuern.	First, there is the question of tax harmonisation, of the harmonisation of duty on mineral oils.
Ich möchte mich vehement für eine solche Harmonisierung einsetzen, obgleich ich weiß, dass es eine Reihe von Kollegen gibt, die dabei anderer Meinung sind, die glauben, Steuerpolitik muss im Wettbewerb gemacht werden.	I am an ardent advocate of this sort of harmonisation, although I know that many of my fellow members take a different tack, believing that tax policy should be subject to competition.
